"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"travail";-0,817;-0,994;-0,923;-0,013;0;-1,174;-0,747;1,02;31,434;-0,677;-0,958;-0,887;-0,003;-0,677;-1,03;-1,102;-1,174;0,038;-1,247;51,704;-0,817;0,623;2,133;-0,923;-1,32
"mercredi";-1,076;7,047;0,745;-0,156;-0,07;-1,547;0,009;-1,452;-1,263;-0,892;-0,025;0,847;0,315;6,075;0,496;-0,089;-0,132;-1,169;-0,18;0,961;9,758;-1,691;-1,076;-0,014;-0,234
"enquête";-0,854;-1,039;0,013;-0,025;-1,114;-1,227;-0,78;-0,004;-1,002;-0,707;-1,002;-0,927;-0,009;-0,707;-1,076;-1,151;-1,227;0,023;2,958;-0,89;1,938;-1,341;90,228;20,151;-1,379
"samedi";-0,927;-0,002;0,001;6,492;3,445;-1,333;0,058;-1,251;-1,088;0,116;1,053;0,005;3,002;-0,768;-0,006;-1,251;-0,045;-1,008;-1,415;0,012;1,601;-1,457;-0,927;10,16;-1,498
"offrir";-1,227;-1,493;-1,386;3,701;4,847;1,346;-1,121;0,177;5,953;-1,017;2,341;2,803;-0,217;0,004;-1,547;-1,655;-1,763;-1,333;0,06;-1,28;-1,227;11,508;-0,016;-1,386;-1,982
"ligne";-0,817;0,007;-0,923;46,152;0;0,841;-0,747;1,02;0,014;-0,677;-0,958;-0,887;-1,138;0,22;-1,03;-1,102;-1,174;-0,887;14,074;-0,852;-0,817;-1,283;0,077;0,024;-1,32
"heure";-0,964;-1,174;-1,09;18,357;-1,258;-0,063;0,041;-0,035;-1,132;-0,799;-1,132;17,98;-0,048;-0,799;-1,216;-1,301;-0,063;-1,048;0,347;0,005;0,013;-1,515;0,013;17,019;-0,137
"rts";-0,599;2,711;-0,676;-0,887;-0,781;-0,86;-0,547;-0,807;-0,702;-0,496;0,188;-0,65;0,069;-0,496;2,531;-0,807;1,931;-0,65;-0,914;-0,624;-0,599;12,129;22,117;0,222;-0,967
"publier";-0,817;-0,994;-0,923;-0,013;0;15,354;-0,747;0;1,479;-0,677;0,014;-0,887;-0,003;-0,677;-1,03;-1,102;-1,174;0,038;3,256;-0,852;0,077;-0,029;0,077;1,621;0,561
"lancer";-0,78;1,515;-0,882;3,8;-1,018;-0,001;2,806;27,948;-0,916;-0,646;-0,916;-0,848;-1,087;0,266;1,388;-1,052;-0,001;-0,848;0,807;-0,814;-0,78;0,734;-0,78;-0,882;-1,261
