"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"laisser";-0,384;-0,467;0,889;-0,569;-0,501;0,478;-0,351;-0,518;-0,451;-0,318;0,814;-0,417;0,523;1,657;0,683;-0,518;0,478;-0,417;0,397;-0,401;7,673;0,361;-0,384;-0,434;-0,621
"journaliste";-0,278;-0,339;-0,314;-0,412;-0,363;1,094;-0,254;-0,375;9,682;2,844;-0,326;-0,302;-0,387;-0,23;-0,351;-0,375;7,422;-0,302;-0,425;-0,29;-0,278;-0,437;2,12;-0,314;0,85
"israël";-0,384;-0,467;-0,434;-0,569;-0,501;-0,552;-0,351;-0,518;-0,451;-0,318;-0,451;-0,417;-0,535;9,851;-0,484;-0,518;148,006;-0,417;-0,586;-0,401;-0,384;-0,603;-0,384;-0,434;-0,621
"inquiéter";-0,208;-0,253;-0,235;-0,308;-0,271;-0,299;-0,19;2,138;2,654;-0,172;-0,244;-0,226;-0,29;-0,172;-0,262;-0,281;-0,299;-0,226;-0,318;16,15;-0,208;1,658;3,352;-0,235;-0,336
"initialement";-0,313;-0,381;-0,354;-0,464;1,031;-0,45;-0,286;0,96;1,279;2,354;-0,368;-0,34;-0,437;2,354;1,107;-0,423;-0,45;-0,34;0,722;-0,327;-0,313;5,48;-0,313;-0,354;-0,506
"grave";-0,313;-0,381;-0,354;-0,464;1,031;-0,45;2,006;-0,423;-0,368;12,804;-0,368;-0,34;-0,437;-0,26;-0,395;-0,423;16,64;-0,34;-0,478;-0,327;1,72;0,672;-0,313;-0,354;-0,506
"fonds";-0,243;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;-0,328;2,054;-0,201;-0,285;2,325;-0,339;-0,201;1,822;-0,328;-0,349;2,325;8,3;-0,254;-0,243;-0,382;-0,243;-0,275;-0,393
"final";-0,173;-0,211;-0,196;-0,257;3,023;-0,249;4,898;-0,234;-0,203;-0,143;-0,203;-0,188;-0,241;-0,143;-0,218;2,881;-0,249;-0,188;-0,264;-0,181;-0,173;12,595;-0,173;-0,196;-0,28
"faux";-0,208;-0,253;-0,235;-0,308;-0,271;-0,299;-0,19;-0,281;-0,244;-0,172;-0,244;-0,226;-0,29;-0,172;-0,262;-0,281;-0,299;-0,226;48,587;-0,217;3,352;-0,327;3,352;-0,235;-0,336
"expérience";-0,384;-0,467;-0,434;0,436;-0,501;0,478;-0,351;-0,518;-0,451;-0,318;-0,451;0,97;-0,535;-0,318;-0,484;-0,518;0,478;-0,417;-0,586;1,059;1,156;22,42;1,156;-0,434;-0,621
"essentiel";-0,243;-0,296;-0,275;-0,36;1,717;-0,349;-0,222;-0,328;2,054;3,48;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;-0,264;8,3;-0,254;-0,243;7,992;-0,243;-0,275;-0,393
"entrer";-0,349;-0,424;-0,394;13,908;-0,455;-0,501;-0,319;-0,47;1,019;-0,289;-0,409;-0,379;0,685;1,968;-0,44;-0,47;0,633;-0,379;-0,532;1,296;1,406;-0,548;1,406;-0,394;-0,563
"emji_étincelles";2,643;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;2,054;2,325;-0,339;-0,201;-0,306;-0,328;-0,349;-0,264;1,29;-0,254;-0,243;1,22;-0,243;-0,275;1,154
"emji_trophée";-0,384;136,789;-0,434;-0,569;-0,501;-0,552;-0,351;-0,518;-0,451;-0,318;-0,451;-0,417;-0,535;1,657;-0,484;-0,518;-0,552;-0,417;-0,586;-0,401;-0,384;0,361;-0,384;-0,434;0,328
"emji_montagne_enneigée";-0,42;0,59;-0,474;-0,622;115,528;-0,603;-0,384;-0,566;-0,492;-0,348;5,354;-0,456;-0,584;-0,348;0,535;-0,566;-0,603;-0,456;-0,64;-0,438;-0,42;-0,659;-0,42;-0,474;-0,678
"emji_livres";-0,173;3,336;-0,196;-0,257;-0,226;-0,249;-0,158;-0,234;-0,203;-0,143;-0,203;-0,188;2,748;-0,143;-0,218;-0,234;-0,249;-0,188;-0,264;4,119;-0,173;12,595;-0,173;-0,196;-0,28
"emji_graphique_en_baisse";-0,278;-0,339;-0,314;-0,412;-0,363;-0,4;-0,254;1,243;-0,326;-0,23;-0,326;-0,302;-0,387;-0,23;-0,351;-0,375;-0,4;118,797;-0,425;-0,29;-0,278;-0,437;-0,278;-0,314;0,85
"emji_avion";-0,313;-0,381;-0,354;5,964;-0,409;-0,45;-0,286;0,96;1,279;12,804;-0,368;-0,34;-0,437;2,354;-0,395;-0,423;0,832;-0,34;0,722;-0,327;-0,313;-0,492;-0,313;-0,354;-0,506
"emblématique";-0,313;1,19;-0,354;-0,464;-0,409;-0,45;-0,286;-0,423;-0,368;-0,26;1,279;-0,34;0,894;-0,26;-0,395;-0,423;-0,45;-0,34;-0,478;-0,327;-0,313;47,672;-0,313;-0,354;0,625
"déposer";-0,278;-0,339;-0,314;-0,412;-0,363;-0,4;-0,254;-0,375;-0,326;-0,23;-0,326;-0,302;7,741;2,844;1,415;-0,375;-0,4;-0,302;0,964;1,977;-0,278;0,905;-0,278;1,725;-0,449
"décéder";-0,349;55,616;-0,394;-0,517;-0,455;-0,501;-0,319;-0,47;-0,409;1,968;-0,409;-0,379;-0,486;-0,289;0,87;-0,47;-0,501;-0,379;-0,532;-0,364;-0,349;-0,548;-0,349;7,448;0,456
"déclarer";-0,313;-0,381;1,376;-0,464;-0,409;-0,45;-0,286;-0,423;-0,368;-0,26;-0,368;1,481;0,894;2,354;-0,395;-0,423;-0,45;1,481;-0,478;1,595;1,72;-0,492;1,72;-0,354;0,625
"débat";-0,313;-0,381;8,649;-0,464;-0,409;-0,45;11,343;0,96;1,279;-0,26;-0,368;-0,34;-0,437;2,354;-0,395;-0,423;-0,45;-0,34;-0,478;1,595;1,72;-0,492;-0,313;-0,354;-0,506
"droite";-0,278;-0,339;25,614;-0,412;-0,363;-0,4;-0,254;-0,375;-0,326;-0,23;-0,326;-0,302;1,166;-0,23;-0,351;-0,375;-0,4;-0,302;-0,425;28,038;2,12;-0,437;-0,278;-0,314;-0,449
"donner";-0,313;-0,381;-0,354;0,775;1,031;-0,45;-0,286;-0,423;-0,368;-0,26;1,279;-0,34;0,894;-0,26;1,107;-0,423;-0,45;-0,34;-0,478;9,595;-0,313;-0,492;1,72;-0,354;0,625
"diminuer";-0,208;-0,253;-0,235;-0,308;-0,271;-0,299;-0,19;-0,281;-0,244;-0,172;-0,244;-0,226;-0,29;-0,172;-0,262;-0,281;-0,299;110,799;-0,318;-0,217;-0,208;-0,327;-0,208;2,809;-0,336
"croissant";-0,278;1,51;1,725;1,027;-0,363;-0,4;-0,254;1,243;-0,326;-0,23;-0,326;-0,302;-0,387;2,844;-0,351;-0,375;-0,4;-0,302;0,964;-0,29;-0,278;-0,437;11,827;-0,314;-0,449
"cour";-0,313;-0,381;-0,354;-0,464;-0,409;-0,45;-0,286;-0,423;-0,368;-0,26;-0,368;-0,34;-0,437;2,354;-0,395;-0,423;0,832;1,481;-0,478;-0,327;47,953;-0,492;10,128;-0,354;-0,506
"choisir";-0,104;-0,126;-0,117;-0,153;-0,135;5,501;-0,095;-0,14;7,011;-0,086;-0,122;-0,113;-0,144;-0,086;-0,131;-0,14;-0,149;-0,113;-0,158;-0,108;-0,104;4,93;-0,104;-0,117;-0,167
"chat";-0,138;-0,168;-0,156;-0,205;-0,18;18,387;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;24,945;-0,211;-0,144;-0,138;-0,217;-0,138;-0,156;-0,223
"charger";-0,278;-0,339;-0,314;-0,412;1,326;-0,4;-0,254;8,079;-0,326;-0,23;-0,326;-0,302;-0,387;-0,23;22,586;-0,375;-0,4;-0,302;-0,425;-0,29;-0,278;0,905;-0,278;-0,314;0,85
"but";-0,349;-0,424;-0,394;-0,517;-0,455;0,633;1,659;-0,47;-0,409;-0,289;-0,409;-0,379;0,685;-0,289;-0,44;49,711;-0,501;-0,379;-0,532;-0,364;-0,349;0,496;-0,349;-0,394;0,456
"besoin";-0,243;-0,296;-0,275;1,365;1,717;8,969;-0,222;1,62;-0,285;3,48;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;-0,264;-0,371;-0,254;-0,243;-0,382;-0,243;-0,275;1,154
"aérien";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;7,38;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;44,287;-0,15;-0,211;-0,144;-0,138;-0,217;-0,138;-0,156;-0,223
"assurer";-0,313;-0,381;8,649;-0,464;-0,409;-0,45;-0,286;-0,423;65,29;-0,26;-0,368;-0,34;-0,437;-0,26;-0,395;-0,423;0,832;-0,34;-0,478;-0,327;-0,313;0,672;-0,313;-0,354;-0,506
"appel";-0,349;-0,424;-0,394;-0,517;-0,455;-0,501;-0,319;-0,47;-0,409;-0,289;-0,409;-0,379;-0,486;1,968;-0,44;-0,47;-0,501;-0,379;-0,532;8,296;68,746;0,496;1,406;-0,394;-0,563
"vigueur";-0,349;-0,424;1,104;27,165;-0,455;-0,501;-0,319;-0,47;-0,409;-0,289;-0,409;1,196;-0,486;1,968;0,87;-0,47;0,633;-0,379;-0,532;1,296;-0,349;-0,548;-0,349;-0,394;-0,563
"venir";-0,313;-0,381;-0,354;0,775;-0,409;-0,45;2,006;-0,423;1,279;-0,26;-0,368;1,481;0,894;-0,26;-0,395;-0,423;-0,45;-0,34;-0,478;-0,327;1,72;0,672;-0,313;-0,354;5,257
"vd";-0,278;-0,339;-0,314;-0,412;98,419;-0,4;-0,254;-0,375;-0,326;-0,23;-0,326;1,845;-0,387;-0,23;-0,351;-0,375;-0,4;-0,302;-0,425;-0,29;-0,278;-0,437;-0,278;-0,314;0,85
"tôt";-0,313;-0,381;-0,354;-0,464;1,031;6,229;2,006;-0,423;-0,368;-0,26;1,279;1,481;-0,437;-0,26;-0,395;-0,423;6,229;-0,34;-0,478;-0,327;-0,313;-0,492;-0,313;1,376;-0,506
"tribunal";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;5,582;64,302;-0,217;-0,138;-0,156;-0,223
"travers";-0,313;7,835;-0,354;-0,464;-0,409;-0,45;-0,286;-0,423;-0,368;2,354;8,227;-0,34;0,894;-0,26;-0,395;-0,423;0,832;-0,34;0,722;-0,327;-0,313;0,672;-0,313;-0,354;-0,506
"transport";-0,278;-0,339;-0,314;58,293;-0,363;-0,4;-0,254;1,243;-0,326;-0,23;-0,326;-0,302;-0,387;-0,23;-0,351;-0,375;-0,4;-0,302;-0,425;1,977;-0,278;0,905;-0,278;-0,314;-0,449
"transformer";-0,349;-0,424;-0,394;-0,517;-0,455;-0,501;-0,319;-0,47;1,019;-0,289;-0,409;-0,379;0,685;-0,289;-0,44;-0,47;-0,501;-0,379;-0,532;-0,364;-0,349;12,906;-0,349;-0,394;40,703
"traitement";-0,313;-0,381;-0,354;-0,464;-0,409;16,64;-0,286;-0,423;-0,368;-0,26;-0,368;-0,34;-0,437;-0,26;-0,395;-0,423;0,832;-0,34;29,951;1,595;-0,313;-0,492;-0,313;-0,354;-0,506
"tendance";-0,243;-0,296;2,184;-0,36;-0,317;-0,349;-0,222;1,62;2,054;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;31,379;1,29;-0,254;-0,243;-0,382;-0,243;-0,275;-0,393
"tempête";-0,384;-0,467;-0,434;-0,569;-0,501;-0,552;-0,351;-0,518;-0,451;9,851;-0,451;115,975;-0,535;-0,318;-0,484;0,572;-0,552;-0,417;-0,586;1,059;-0,384;-0,603;-0,384;-0,434;-0,621
"température";-0,313;-0,381;-0,354;-0,464;-0,409;-0,45;-0,286;-0,423;-0,368;-0,26;176,683;1,481;-0,437;-0,26;-0,395;-0,423;-0,45;-0,34;-0,478;-0,327;-0,313;-0,492;-0,313;-0,354;-0,506
"sujet";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;4,898;-0,234;-0,203;-0,143;-0,203;-0,188;2,748;-0,143;3,174;-0,234;-0,249;-0,188;-0,264;4,119;-0,173;-0,272;-0,173;-0,196;2,193
"stratégie";-0,313;-0,381;-0,354;-0,464;-0,409;-0,45;-0,286;6,81;1,279;-0,26;-0,368;1,481;-0,437;2,354;-0,395;-0,423;-0,45;-0,34;0,722;1,595;-0,313;0,672;1,72;-0,354;-0,506
"soin";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;2,054;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;8,969;2,325;1,29;2,477;-0,243;-0,382;-0,243;2,184;-0,393
"sentir";-0,313;-0,381;-0,354;5,964;-0,409;-0,45;-0,286;-0,423;-0,368;-0,26;-0,368;9,103;-0,437;2,354;-0,395;-0,423;-0,45;-0,34;-0,478;9,595;-0,313;-0,492;10,128;-0,354;-0,506
"répondre";-0,243;-0,296;-0,275;8,625;10,139;-0,349;-0,222;1,62;2,054;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;2,325;-0,371;-0,254;-0,243;-0,382;-0,243;-0,275;-0,393
"régime";-0,243;-0,296;-0,275;1,365;-0,317;1,445;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;-0,339;3,48;-0,306;-0,328;-0,349;-0,264;8,3;-0,254;2,643;-0,382;-0,243;-0,275;1,154
"rices";-0,278;-0,339;-0,314;-0,412;-0,363;1,094;-0,254;-0,375;1,613;-0,23;1,613;-0,302;-0,387;14,843;1,415;-0,375;-0,4;-0,302;0,964;-0,29;-0,278;-0,437;2,12;-0,314;-0,449
"retraite";-0,278;-0,339;-0,314;-0,412;-0,363;1,094;13,197;1,243;-0,326;-0,23;-0,326;-0,302;1,166;-0,23;1,415;-0,375;-0,4;-0,302;-0,425;-0,29;-0,278;6,573;-0,278;-0,314;-0,449
"quotidien";-0,313;-0,381;-0,354;-0,464;-0,409;-0,45;-0,286;17,972;1,279;-0,26;8,227;-0,34;-0,437;2,354;-0,395;-0,423;-0,45;-0,34;-0,478;-0,327;-0,313;0,672;-0,313;-0,354;0,625
"position";-0,243;-0,296;12,108;-0,36;-0,317;-0,349;-0,222;-0,328;2,054;-0,201;-0,285;-0,264;-0,339;-0,201;1,822;-0,328;1,445;-0,264;1,29;-0,254;-0,243;-0,382;2,643;-0,275;-0,393
"plateforme";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;1,53;-0,201;-0,306;1,62;-0,349;-0,264;-0,371;-0,254;14,021;20,699;-0,243;-0,275;-0,393
"part";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;-0,158;-0,234;-0,203;-0,143;-0,203;-0,188;-0,241;-0,143;3,174;2,881;-0,249;-0,188;-0,264;-0,181;4,357;-0,272;-0,173;-0,196;12,184
"parent";-0,349;-0,424;-0,394;-0,517;0,804;-0,501;-0,319;5,802;-0,409;-0,289;-0,409;-0,379;-0,486;1,968;-0,44;-0,47;-0,501;1,196;4,825;1,296;-0,349;-0,548;1,406;-0,394;0,456
"officiellement";-0,278;-0,339;1,725;-0,412;-0,363;-0,4;2,447;-0,375;-0,326;-0,23;-0,326;-0,302;-0,387;2,844;8,826;-0,375;1,094;-0,302;0,964;1,977;-0,278;-0,437;-0,278;-0,314;-0,449
"obtenir";-0,278;-0,339;10,158;-0,412;-0,363;-0,4;-0,254;-0,375;1,613;-0,23;-0,326;-0,302;1,166;-0,23;-0,351;-0,375;1,094;1,845;-0,425;1,977;-0,278;-0,437;-0,278;-0,314;0,85
"nécessiter";-0,313;-0,381;-0,354;0,775;7,129;6,229;-0,286;-0,423;8,227;-0,26;-0,368;-0,34;-0,437;-0,26;1,107;-0,423;0,832;-0,34;-0,478;-0,327;-0,313;-0,492;-0,313;-0,354;-0,506
"new";-0,349;-0,424;-0,394;0,584;-0,455;-0,501;-0,319;-0,47;-0,409;-0,289;-0,409;-0,379;47,981;-0,289;-0,44;-0,47;-0,501;-0,379;0,538;-0,364;-0,349;12,906;-0,349;-0,394;-0,563
"naissance";-0,173;-0,211;-0,196;-0,257;-0,226;2,623;-0,158;-0,234;-0,203;-0,143;-0,203;-0,188;-0,241;-0,143;-0,218;-0,234;-0,249;19,216;13,029;-0,181;-0,173;-0,272;-0,173;-0,196;-0,28
"motion";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;-0,158;-0,234;-0,203;-0,143;-0,203;-0,188;-0,241;25,911;-0,218;-0,234;-0,249;-0,188;-0,264;48,146;-0,173;-0,272;-0,173;-0,196;-0,28
"moment";-0,349;-0,424;-0,394;-0,517;6,088;-0,501;-0,319;-0,47;-0,409;-0,289;-0,409;-0,379;-0,486;-0,289;-0,44;-0,47;-0,501;-0,379;-0,532;1,296;-0,349;0,496;1,406;1,104;24,54
"ministère";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;-0,285;3,48;-0,285;-0,264;1,53;-0,201;-0,306;-0,328;1,445;-0,264;-0,371;-0,254;14,021;-0,382;-0,243;12,108;-0,393
"midi";-0,138;-0,168;-0,156;3,541;-0,18;-0,199;-0,126;4,017;-0,162;7,38;4,814;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;-0,217;-0,138;-0,156;-0,223
"meilleur";-0,349;17,758;-0,394;-0,517;-0,455;-0,501;1,659;-0,47;18,562;-0,289;-0,409;-0,379;-0,486;-0,289;-0,44;5,802;-0,501;1,196;-0,532;-0,364;-0,349;-0,548;-0,349;-0,394;-0,563
"manifester";-0,243;-0,296;12,108;-0,36;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;-0,339;-0,201;1,822;-0,328;1,445;-0,264;1,29;2,477;-0,243;-0,382;2,643;-0,275;-0,393
"léman";-0,349;-0,424;-0,394;93,318;-0,455;-0,501;-0,319;-0,47;-0,409;-0,289;1,019;-0,379;-0,486;-0,289;-0,44;-0,47;-0,501;-0,379;-0,532;-0,364;-0,349;0,496;-0,349;-0,394;0,456
"long";-0,243;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;1,53;-0,201;1,822;-0,328;-0,349;-0,264;21,399;-0,254;-0,243;-0,382;-0,243;-0,275;1,154
"jouer";-0,278;-0,339;-0,314;1,027;-0,363;1,094;-0,254;-0,375;-0,326;-0,23;-0,326;1,845;-0,387;-0,23;-0,351;1,243;-0,4;-0,302;0,964;-0,29;-0,278;0,905;-0,278;1,725;0,85
"interroger";-0,349;-0,424;7,448;-0,517;-0,455;-0,501;-0,319;0,742;-0,409;-0,289;-0,409;-0,379;-0,486;-0,289;-0,44;0,742;0,633;-0,379;-0,532;-0,364;-0,349;-0,548;68,746;-0,394;-0,563
"installer";-0,349;-0,424;-0,394;0,584;6,088;-0,501;-0,319;-0,47;7,07;-0,289;1,019;1,196;0,685;1,968;-0,44;-0,47;-0,501;-0,379;-0,532;-0,364;-0,349;0,496;-0,349;-0,394;-0,563
"image";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;1,445;-0,264;65,867;-0,254;-0,243;-0,382;-0,243;-0,275;1,154
"garder";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;-0,285;3,48;-0,285;-0,264;-0,339;17,471;1,822;-0,328;-0,349;-0,264;1,29;2,477;2,643;-0,382;-0,243;-0,275;-0,393
"fête";-0,384;-0,467;-0,434;4,306;27,957;0,478;-0,351;-0,518;-0,451;-0,318;-0,451;0,97;-0,535;-0,318;-0,484;-0,518;-0,552;0,97;-0,586;-0,401;-0,384;0,361;-0,384;0,889;-0,621
"froid";-0,278;-0,339;-0,314;1,027;-0,363;-0,4;-0,254;-0,375;-0,326;-0,23;151,749;-0,302;-0,387;-0,23;-0,351;-0,375;-0,4;-0,302;-0,425;-0,29;-0,278;-0,437;-0,278;-0,314;-0,449
"football";-0,313;-0,381;-0,354;-0,464;-0,409;-0,45;-0,286;-0,423;-0,368;-0,26;-0,368;-0,34;-0,437;-0,26;-0,395;153,474;-0,45;-0,34;-0,478;1,595;-0,313;-0,492;-0,313;-0,354;-0,506
"fan";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;6,562;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;4,017;-0,199;-0,15;-0,211;-0,144;-0,138;3,268;-0,138;-0,156;3,142
"exprimer";-0,278;1,51;-0,314;-0,412;-0,363;-0,4;13,197;1,243;-0,326;-0,23;-0,326;1,845;-0,387;-0,23;8,826;-0,375;-0,4;-0,302;-0,425;-0,29;-0,278;-0,437;-0,278;-0,314;0,85
"environnement";-0,278;1,51;1,725;1,027;-0,363;-0,4;-0,254;-0,375;1,613;14,843;-0,326;-0,302;-0,387;-0,23;-0,351;-0,375;-0,4;-0,302;6,84;-0,29;-0,278;-0,437;-0,278;-0,314;-0,449
"entraîner";-0,349;-0,424;1,104;-0,517;-0,455;-0,501;-0,319;0,742;1,019;-0,289;1,019;-0,379;-0,486;1,968;0,87;-0,47;-0,501;-0,379;4,825;-0,364;1,406;-0,548;-0,349;1,104;-0,563
"emji_feu";-0,313;-0,381;-0,354;-0,464;7,129;0,832;-0,286;-0,423;-0,368;31,608;8,227;-0,34;-0,437;-0,26;1,107;-0,423;-0,45;-0,34;-0,478;-0,327;-0,313;-0,492;-0,313;-0,354;-0,506
"dénoncer";-0,243;-0,296;-0,275;-0,36;-0,317;-0,349;-0,222;-0,328;2,054;-0,201;-0,285;-0,264;-0,339;-0,201;10,581;-0,328;-0,349;-0,264;1,29;2,477;2,643;1,22;-0,243;-0,275;-0,393
"difficile";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;-0,174;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;-0,217;116,981;-0,156;-0,223
"culturel";-0,243;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;1,53;-0,201;-0,306;-0,328;-0,349;-0,264;-0,371;-0,254;-0,243;63,913;-0,243;-0,275;-0,393
"continuer";-0,243;1,933;-0,275;-0,36;-0,317;1,445;-0,222;-0,328;-0,285;3,48;-0,285;-0,264;-0,339;3,48;1,822;-0,328;-0,349;-0,264;1,29;-0,254;-0,243;1,22;-0,243;-0,275;-0,393
"conserver";-0,349;-0,424;1,104;-0,517;0,804;-0,501;-0,319;0,742;7,07;-0,289;-0,409;1,196;0,685;1,968;-0,44;-0,47;-0,501;-0,379;-0,532;-0,364;-0,349;0,496;-0,349;1,104;-0,563
"concevoir";-0,313;-0,381;-0,354;-0,464;-0,409;6,229;-0,286;-0,423;-0,368;-0,26;-0,368;1,481;-0,437;-0,26;-0,395;-0,423;-0,45;1,481;5,715;-0,327;-0,313;5,48;-0,313;-0,354;0,625
"comprendre";-0,243;-0,296;-0,275;1,365;10,139;-0,349;-0,222;-0,328;2,054;-0,201;2,054;-0,264;-0,339;-0,201;-0,306;-0,328;1,445;-0,264;-0,371;-0,254;-0,243;-0,382;-0,243;-0,275;1,154
"comité";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;-0,158;-0,234;-0,203;-0,143;-0,203;-0,188;-0,241;-0,143;3,174;-0,234;2,623;3,9;-0,264;-0,181;-0,173;-0,272;-0,173;3,698;2,193
"carte";-0,243;-0,296;-0,275;-0,36;48,044;-0,349;-0,222;-0,328;-0,285;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;-0,264;1,29;-0,254;-0,243;-0,382;-0,243;-0,275;7,702
"carrière";-0,384;15,67;-0,434;-0,569;-0,501;-0,552;41,97;-0,518;-0,451;-0,318;0,814;-0,417;-0,535;-0,318;-0,484;0,572;-0,552;0,97;-0,586;-0,401;-0,384;0,361;-0,384;-0,434;-0,621
"bilan";-0,313;-0,381;-0,354;-0,464;1,031;-0,45;-0,286;6,81;-0,368;31,608;-0,368;-0,34;-0,437;-0,26;-0,395;-0,423;6,229;1,481;-0,478;-0,327;-0,313;-0,492;-0,313;-0,354;-0,506
"augmentation";-0,243;-0,296;-0,275;-0,36;1,717;-0,349;-0,222;-0,328;11,562;-0,201;-0,285;-0,264;-0,339;-0,201;1,822;-0,328;-0,349;2,325;1,29;-0,254;-0,243;-0,382;2,643;-0,275;-0,393
"arrivée";-0,349;0,942;1,104;0,584;-0,455;-0,501;-0,319;-0,47;1,019;11,177;-0,409;1,196;-0,486;-0,289;-0,44;-0,47;-0,501;-0,379;-0,532;-0,364;-0,349;4,615;-0,349;-0,394;0,456
"appeler";-0,278;1,51;1,725;-0,412;-0,363;-0,4;-0,254;-0,375;-0,326;-0,23;-0,326;-0,302;-0,387;-0,23;-0,351;-0,375;-0,4;1,845;0,964;-0,29;-0,278;-0,437;2,12;25,614;-0,449
"adopter";-0,173;-0,211;3,698;-0,257;-0,226;-0,249;-0,158;-0,234;-0,203;-0,143;-0,203;-0,188;-0,241;61,227;-0,218;-0,234;-0,249;-0,188;-0,264;-0,181;4,357;-0,272;-0,173;-0,196;-0,28
"actuel";-0,349;-0,424;-0,394;-0,517;-0,455;-0,501;-0,319;0,742;18,562;-0,289;-0,409;-0,379;0,685;1,968;-0,44;-0,47;-0,501;-0,379;-0,532;40,498;-0,349;-0,548;-0,349;-0,394;-0,563
"accès";-0,243;-0,296;-0,275;8,625;1,717;-0,349;-0,222;-0,328;11,562;-0,201;-0,285;-0,264;-0,339;-0,201;-0,306;-0,328;-0,349;-0,264;8,3;-0,254;-0,243;-0,382;-0,243;-0,275;-0,393
"étudiant";-0,138;-0,168;-0,156;-0,205;-0,18;3,69;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;-0,115;4,389;-0,187;-0,199;-0,15;-0,211;-0,144;-0,138;3,268;-0,138;-0,156;3,142
"établir";-0,208;-0,253;-0,235;-0,308;-0,271;-0,299;-0,19;-0,281;-0,244;4,338;2,654;-0,226;-0,29;-0,172;-0,262;-0,281;11,047;-0,226;-0,318;-0,217;-0,208;1,658;-0,208;2,809;-0,336
"électronique";-0,173;-0,211;-0,196;-0,257;-0,226;-0,249;-0,158;2,881;-0,203;-0,143;3,511;-0,188;-0,241;-0,143;-0,218;-0,234;-0,249;-0,188;-0,264;4,119;4,357;-0,272;4,357;-0,196;-0,28
"voiture";-0,278;-0,339;-0,314;1,027;-0,363;-0,4;-0,254;-0,375;-0,326;-0,23;-0,326;-0,302;-0,387;2,844;1,415;1,243;-0,4;1,845;0,964;-0,29;-0,278;0,905;-0,278;1,725;-0,449
"visible";-0,243;-0,296;-0,275;1,365;-0,317;-0,349;-0,222;-0,328;2,054;-0,201;2,054;2,325;-0,339;-0,201;-0,306;-0,328;-0,349;2,325;1,29;-0,254;-0,243;1,22;-0,243;-0,275;-0,393
"union";-0,138;-0,168;-0,156;-0,205;-0,18;-0,199;-0,126;-0,187;-0,162;-0,115;-0,162;-0,15;-0,193;7,38;-0,174;-0,187;-0,199;5,306;3,401;5,582;-0,138;-0,217;-0,138;-0,156;-0,223
