"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"réseau";1;1;1;1;0,99;1;1;1;1;0,639;1;0,845;1;1;1;1;1;1;0;1;0;1;0,781;0,876;1
"prochain";1;1;1;0;1;1;1;0,012;0,066;1;1;1;0,54;0,167;0,45;0,51;1;1;1;1;1;1;1;1;0,211
"partir";1;0,218;0;0,003;0,26;0,324;1;0,979;1;1;1;1;0,039;0,606;0,926;1;1;1;1;1;1;1;1;1;1
"suite";1;1;1;1;1;1;0,643;0,941;1;0,572;1;1;0,27;1;0,001;0,941;0,29;1;1;0,741;0,709;1;1;0;1
"marquer";1;1;0;1;1;1;0,898;1;0,39;1;1;0,331;0,129;1;0,008;1;1;1;1;1;0,97;0,659;1;1;0,211
"voir";1;0,97;0,911;0,419;0;1;1;1;1;0,672;1;1;1;1;1;0,345;1;1;0,444;0,848;0,011;0,468;1;0,911;1
"vaudois";1;1;0,876;1;1;1;1;0,041;0,906;1;1;0,845;1;1;0;1;1;1;1;1;0,781;0,007;1;0,203;0,454
"population";1;1;1;0,038;0,429;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,304;1;1;0;0,346;1
"partie";1;1;0,078;1;1;0,817;1;0,769;1;1;0,088;0,609;1;0,429;0,718;1;0,817;0;1;1;1;1;0,552;0,637;0,908
"groupe";1;1;1;1;1;1;1;1;1;0,391;1;0,565;0,745;1;0,003;1;1;0,565;0,814;0,046;0,509;0,836;1;0,592;0,015
"français";1;0;1;0,974;1;1;0,606;1;1;1;1;0,733;1;0,538;0,014;1;1;1;1;0,703;0;1;1;1;1
"emji_drapeau_territoires_palestiniens";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"violence";1;1;0,062;1;1;1;1;1;1;1;1;1;1;1;1;1;0,769;0,001;1;1;0;0;0,509;0,592;1
"rendre";1;0,004;1;1;1;1;1;1;0,665;1;0,665;1;0,151;1;0,112;0,769;1;1;0,194;1;0,552;0,018;0,552;1;1
"international";1;0,645;0,592;1;1;1;0,451;1;1;1;1;1;0,745;1;0,091;1;0,137;0,053;1;0,537;1;0,176;0,509;1;0,19
"demander";1;1;1;1;0,102;1;1;1;0,619;1;1;1;0,125;0,391;0,671;1;1;1;0,163;0,046;0,509;0,836;0,509;0,592;0,858
"ancien";1;1;0,179;1;0,953;1;1;1;0,869;1;1;1;1;1;0,926;1;1;0,809;1;0,008;0;1;1;1;0,074
"nuit";1;1;1;0;1;1;1;1;1;0;0,032;0,001;1;0,703;1;1;1;1;1;1;1;1;1;0,253;1
"ministre";1;1;0;1;1;1;1;1;1;0,135;1;1;1;0,763;0;1;0,001;1;1;0,944;1;1;1;1;1
"emji_balance_à_poids";1;1;0,723;1;1;1;1;1;1;1;1;1;0,018;1;0,01;1;0,225;1;1;0,664;0;1;0,633;1;1
"désormais";1;1;0,592;0,15;0,102;0,769;1;1;1;1;0,619;1;0,125;1;1;1;0,769;1;1;1;0,509;1;0,038;0,062;0,858
"donald";1;0,934;1;1;1;1;1;1;1;1;1;1;0;1;0,962;1;0,359;1;1;1;1;1;1;1;1
"couper";1;1;0,944;1;1;1;0;1;1;1;1;1;1;0,703;0,003;0;1;0,913;1;1;1;1;1;1;1
"animal";1;0,063;1;1;1;0,111;1;1;0,572;1;1;1;1;1;1;1;1;0,041;0,007;1;1;0,145;0,029;1;0,806
"rapport";1;1;0,546;1;1;1;1;0,671;0,001;1;0,572;1;1;0,012;1;1;1;0;0,763;1;1;1;0,466;1;1
"france";1;1;1;0,841;0,744;1;1;1;0,665;1;1;0,609;1;0,429;0,718;1;1;1;1;1;0;0,209;1;1;0,001
"fois";1;0,011;0,135;0,032;1;0,028;0,067;1;1;1;1;1;0,926;1;0,848;1;1;1;1;1;1;1;0,672;1;0,003
"européen";1;1;0,036;0,686;1;0,664;1;1;1;1;1;1;0,642;0,314;1;1;1;0,03;0,106;0,447;0,421;0,729;1;0,498;1
"droit";1;1;0,293;1;1;1;1;1;1;1;1;1;0;1;1;0,389;1;1;1;0,004;1;0,481;0,236;0,293;1
"créer";1;0,779;1;1;1;0,225;0,569;0,858;0,751;1;1;1;0,884;1;1;0,858;0,908;1;0,955;0,088;1;0;1;1;1
"centre";1;1;0,763;0,974;0,874;1;1;1;0;0,046;1;0,733;1;1;1;1;0,95;0,733;0,296;0,105;0,672;1;1;0,763;0,336
"équipe";1;1;1;1;1;0,394;1;1;0,001;1;1;1;1;1;1;0;1;1;1;1;1;0,096;0,815;1;0,493
"sécurité";1;1;0,095;0,21;0,789;1;1;1;0,709;0,029;1;1;1;0,466;1;1;0,015;0,652;0,227;0,072;1;1;0,593;1;1
"réduire";1;1;1;0,001;1;0,015;1;0,815;1;1;0,709;0,083;0,839;0,466;0,134;1;1;0,083;0,911;1;1;1;1;1;1
"nombre";1;1;1;1;0,833;1;0,569;0,858;0;1;1;0,694;0,884;0,037;1;1;1;0;1;1;1;1;1;0,114;1
"mesure";1;1;1;1;0,148;1;1;0,163;0,709;0,466;1;1;1;0,029;0,134;1;1;0,652;0,911;0;0,593;1;1;1;1
"israélien";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,848;1;0;1;1;1;1;1;1;1;1
"décision";1;0,934;0,203;1;0,99;1;1;1;1;1;1;1;0,003;0,002;0,001;1;0,359;1;1;0,163;1;1;0,781;0,876;1
"chiffre";1;1;0,546;1;1;1;1;0,671;1;1;0,572;1;1;0,353;1;1;1;0;0,763;0,493;1;0,784;0,029;1;0,806
"également";1;1;1;0,887;1;0,015;1;1;1;0,466;1;0,652;0,178;0,466;1;1;1;1;0,227;0,072;1;0,243;1;1;0,028
"soir";1;0,167;1;0,974;1;1;1;1;1;1;0,15;1;0,238;0,046;0;0,02;1;1;1;0,703;1;1;1;0,135;1
"remporter";1;0,011;0;1;0,874;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"présenter";1;0,692;0,637;0,013;0,744;0,011;1;0,769;0,088;1;1;1;0,793;1;1;1;1;1;1;0,581;1;0,209;1;1;0,908
"poste";1;0,86;0,156;1;1;0,991;1;0,001;0;1;1;1;1;1;0;1;1;0,772;1;1;1;1;1;1;1
"emji_gyrophare";1;1;0,592;1;1;1;1;1;1;0;1;0,565;1;1;0,671;1;0,769;1;0,814;1;1;1;1;0;1
"début";1;1;1;1;0,99;0,055;0,712;1;0,906;1;0,021;0,014;1;0,639;1;1;0,359;1;1;0,813;0,781;0,43;1;0,876;1
"causer";1;1;1;1;1;0,817;1;1;1;0;1;0,068;1;1;0,718;1;0,817;1;0,864;1;1;1;1;1;1
"saison";1;1;1;0,347;0,028;1;0;1;0,869;1;0,869;0,809;1;1;1;1;1;0,809;1;1;1;1;1;1;1
"revenir";1;0,645;1;1;0,696;1;0,026;0,113;0,619;0,391;0,619;1;1;0,391;1;0,721;1;0,565;0,814;0,537;1;1;1;1;0,19
"retour";1;0,736;0,681;0,018;0,789;1;0,531;1;1;0,466;0,107;1;0,839;0,029;1;0,815;0,864;1;0,911;0,623;1;1;1;1;0,955
"plan";1;1;0,681;1;1;1;1;0;1;1;0,709;1;0,013;1;0,134;1;0;1;0,911;1;1;1;1;1;0,955
"famille";1;0,006;1;1;1;1;1;0,815;0,709;1;1;1;0,178;0,466;0,763;1;1;0,083;0,911;1;0,062;0,933;0,593;0,681;0,955
"attendre";1;1;0,062;1;1;0,769;0,451;1;1;0,391;0;0,001;0,745;1;0,671;1;1;1;1;0,537;1;1;1;1;0,858
"affaire";1;1;0,546;1;1;1;1;1;1;1;1;1;0,101;1;0,072;1;0,718;0,52;0,763;1;0;0,784;0,029;1;1
"vie";1;0;1;1;1;0,194;0,531;1;1;0,029;1;1;1;1;1;1;1;1;0,227;1;1;0,243;0;1;1
"sexuel";1;1;0,293;1;1;0,426;1;1;1;1;1;1;0,019;1;1;1;0,426;1;0,463;0,255;0,236;1;0,236;0,293;1
"rencard";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"record";1;1;1;1;1;1;0,41;0,671;0,055;1;0;0,52;1;1;1;0,091;1;0,52;1;1;1;0,784;1;0,546;0,806
"proposer";1;1;1;0,122;1;1;0,41;0,091;1;1;1;1;1;1;1;0,671;1;1;0;0,493;1;0,145;1;1;0,157
"politique";1;1;0,002;1;0,744;1;1;1;1;1;0,665;1;0,009;0,022;0,005;1;1;0,609;1;0,001;1;1;1;1;1
"palestinien";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"ouvrir";1;1;1;0,74;0,647;1;1;1;0;1;0;1;1;1;1;1;0,718;1;0,763;0,493;1;1;0,466;0,546;1
"nombreux";1;1;0,546;0,74;0,002;1;1;1;1;1;0,055;0,52;1;1;1;0,671;1;0,52;1;1;0,466;0,784;0,466;1;0,157
"membre";1;1;0,135;1;1;1;1;1;0,15;0,046;1;1;1;0;1;1;0,001;0,119;1;1;1;1;1;0,763;0,336
"emji_globe_tourné_sur_l";1;0,164;1;0,243;1;1;1;1;0,152;0,062;1;1;1;1;0,177;1;1;1;0,256;0,116;1;1;1;1;1
"baisser";1;1;1;1;1;1;1;0,053;0,472;1;1;0,424;0,587;1;0,041;1;1;0;0,651;1;1;1;1;1;1
"artiste";1;1;1;1;1;1;1;1;0,665;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0
"accord";1;0,275;0,003;0,379;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,207;1;1;1;1;1
"train";1;1;1;0;1;1;1;1;1;0,275;0,472;1;1;0,275;1;1;1;1;1;1;1;1;1;0,448;1
"toucher";1;1;0,763;1;1;1;1;1;1;0;1;0,119;1;0,538;1;1;1;0,733;0,002;0,703;1;1;0,672;0,763;0,336
"soutenir";1;1;0,448;1;1;0,608;1;0,001;0,03;1;1;0,424;1;0,275;0,519;1;1;1;1;1;0,375;0,09;1;1;1
"région";1;0,645;1;0,15;0,102;1;1;1;1;0,016;1;0,053;0,745;1;0,671;1;0,137;1;1;0,537;1;1;1;0,592;0,858
"risque";1;0,496;1;1;0,542;1;1;1;1;1;0,472;0,424;1;1;1;1;1;1;0;0,4;0,375;1;0,375;1;1
"raison";1;1;0,498;1;1;0,664;0,013;0,619;0,523;0,008;0,523;0,03;1;1;1;1;0,664;1;0,708;1;1;1;1;0,498;1
"mener";1;1;0,681;1;1;0,015;1;1;1;1;1;1;1;1;1;1;1;1;0,911;0,072;1;1;0;0;1
"matin";1;1;1;0,006;1;1;0,41;1;1;0,353;0,572;1;1;0,353;1;1;0,718;1;1;1;1;1;1;0;0,806
"manifestation";1;1;0,398;1;0,486;1;1;1;1;1;1;1;1;0,236;0;1;0,55;1;0,591;1;1;1;1;1;0,002
"lieu";1;0,645;1;1;0,102;0,769;1;1;0,619;0,391;0,619;0,565;1;1;1;0,721;1;1;0,814;0,537;0,509;0,836;1;0,592;0,19
"emji_urne_électorale";1;1;0;1;1;1;1;0,721;1;1;1;1;0,745;1;0,671;1;1;1;1;0,537;1;1;1;1;1
"célèbre";1;0;1;0,932;1;0,908;1;1;1;1;0,751;1;1;1;1;1;1;1;1;1;1;0;1;0,723;0
"concerner";1;1;1;0,686;0,063;0,664;1;0,07;1;1;1;0,473;1;1;0,572;1;0,664;0,473;0,106;0,447;1;1;0,421;1;1
"berner";1;0,048;0,498;0,004;1;1;1;0,619;1;0,008;0,523;1;1;1;1;1;1;1;0,106;0,447;1;0,729;1;1;1
"1er";1;1;0,681;0,001;0,009;1;0,531;1;0,709;1;0,107;0,652;1;0,466;0,763;0,815;1;1;1;1;1;0,933;1;1;0,955
"utiliser";1;1;0,546;1;0,647;0;1;1;1;1;1;1;0,694;1;0,622;1;1;1;0,133;1;0,466;1;0,466;0,546;1
"niveau";1;1;0,095;1;0,789;0,194;0,044;0,163;1;1;0,709;0,652;1;1;1;1;1;0;1;0,002;1;1;1;1;1
"majeur";1;0,82;0;0,974;1;0,95;1;0,9;0,792;0,046;1;1;0,238;1;1;1;1;1;0,998;0,004;1;0,316;1;0,763;1
"lier";1;1;1;1;1;1;0,368;0,619;1;1;0,042;1;0,079;1;0,572;0,619;1;1;0,708;1;1;1;0;0,498;0,75
"géant";1;1;1;0,15;1;1;0;0,113;0,619;1;1;1;1;1;1;1;1;1;0,163;1;1;0,012;0,509;1;1
"expliquer";1;0,645;1;1;1;0,769;1;1;1;1;0;0,565;1;1;1;1;0,769;1;0;0,537;1;0,836;1;1;1
"etat";1;1;0,637;0,841;1;1;1;0,769;1;0,429;1;1;1;1;0;1;0;1;1;0,581;0,001;1;1;1;1
"emji_main_avec_index_pointant_à_droite";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"augmenter";1;1;1;0,686;0,001;0,088;1;1;0,523;0,314;0,523;1;1;1;1;1;1;0,03;0,708;1;1;1;0,021;1;1
"afrique_et_l";1;0,164;1;0,243;1;1;1;1;0,152;0,062;1;1;1;1;0,177;1;1;1;0,256;0,116;1;1;1;1;1
"accuser";1;1;1;1;1;1;1;1;1;1;1;1;0,043;1;0,029;1;0,001;1;1;1;0;0,611;1;1;1
"titre";1;0;1;1;1;1;1;0,564;1;1;1;1;0,06;1;1;0,564;0,608;1;1;1;1;1;1;1;0
"suivre";1;1;0,448;1;0,542;1;1;1;1;1;1;1;0,06;1;0,519;1;1;1;0,651;0,018;1;0,672;0,014;0,448;0,692
"seulement";1;1;1;1;1;0,426;1;0,389;1;0,161;0,008;1;1;1;1;0,389;1;0,005;0,463;1;1;1;0,236;1;1
"résultat";1;1;0;1;1;0,088;1;0,619;0,523;1;1;1;1;1;0,572;1;1;1;1;1;1;1;0,421;1;1
"précédent";1;1;1;1;0,486;0,55;1;1;0;1;0,42;0,014;1;1;1;1;1;0,014;0,591;1;1;1;1;1;1
"mètre";1;1;1;1;0,102;0,769;1;1;1;1;0,002;0;1;1;1;1;1;1;1;0,537;1;0,012;1;1;1
"montrer";1;0,597;0,546;1;1;0,005;1;0,091;0,572;1;1;1;0,694;1;1;1;0,718;0,52;1;1;1;0,145;0,029;1;1
"inclure";1;1;1;0,004;0,595;1;1;0,002;0,523;1;1;0,473;1;1;0,572;1;1;1;0,708;1;1;1;0,421;0,498;0,75
"guerre";1;0,332;1;1;1;1;1;1;1;0,161;1;1;1;1;0,351;1;0;1;1;0,255;0,236;1;1;0,293;1
"gouvernement";1;1;0,001;1;1;1;1;1;0,619;1;1;1;0,745;1;0;1;1;1;0,814;0,046;0,509;1;1;1;1
"entreprise";1;1;1;1;1;0,022;1;0,389;0,313;0,161;1;1;1;0,161;1;1;1;0,005;1;0,255;1;0,481;1;1;1
"emji_symbole_d_avertissement";1;1;1;1;0,595;1;1;1;0,042;1;1;0,473;1;1;0,572;1;0,088;0;1;1;0,421;1;0,021;0,498;1
"cas";1;1;1;1;0,008;1;1;0,327;0,258;1;1;1;1;1;1;1;1;0,003;1;0,207;1;0,412;0,19;1;1
"attaque";1;1;0,448;1;1;1;1;1;1;0,005;1;1;0,587;1;1;1;0,002;1;1;0,4;1;1;0,375;0;1
"association";1;0,332;1;1;1;1;1;0,389;1;1;1;1;1;0,161;1;0,016;1;1;1;1;0;1;1;1;0,499
"émission";1;1;1;1;1;1;1;0,026;0,367;0,198;0,367;1;1;1;1;1;1;1;1;0,304;1;0,048;0,006;1;0,567
"tour";1;1;0;0,74;0,647;1;1;1;1;1;1;0,52;1;1;0,622;1;1;1;0,133;1;1;0,008;1;1;0,806
