elles;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1
fort;0;0;0;0;1;0;0;0;0;1;0;6;0;1;1;0;0;1;0;0;0;3;0;0;1
e;0;0;0;0;2;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;3;0;1
cependant;0;0;0;1;1;1;0;1;2;1;1;1;2;2;1;0;1;0;1;1;0;1;2;0;0
aussi;0;0;0;2;1;0;0;2;1;0;0;0;0;0;0;1;1;1;2;2;0;0;0;0;1
16;1;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;1;2;1;0;0
notre;0;1;0;2;0;4;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0
8;1;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;4;0;1;0;1;1;0;1
nous;0;0;0;0;1;1;0;0;3;0;2;0;0;0;0;0;0;0;1;1;0;0;1;0;3
lui;0;0;1;0;0;0;0;0;1;0;0;1;3;0;1;0;1;0;1;0;0;2;0;1;1
durant;0;2;0;2;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;1;0;1;1;0
2023;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;3;0;0;1;0;2;1;1
vers;0;0;1;0;0;0;0;1;0;2;0;3;0;0;0;0;1;0;2;1;0;1;0;1;0
toute;0;1;0;3;2;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0
parmi;0;0;0;2;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;0;2;1;2
25;0;0;0;1;0;2;1;1;0;1;0;1;0;0;0;0;0;2;0;0;1;3;2;0;0
18;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;2;0;1;1;1;1;0;0
12;2;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;2;0;1;2;1;0;2;0
si;0;0;0;2;3;2;0;0;2;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;1
force;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0;1;0;1;1
aujourd_hui;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0
7;0;0;1;0;0;0;0;0;2;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;1
200;0;0;1;0;0;2;0;0;2;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;3
13;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;2;1;1;0;1;0;0;1;0
tous;0;1;2;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;1
nos;0;0;0;0;0;3;1;0;1;1;1;1;0;0;1;0;0;0;2;0;0;1;2;0;0
40;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;1;1;0;1
300;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;3;1;1;1;0;0;0;0;1
14;2;1;0;5;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1
certains;0;0;0;1;0;0;0;1;2;0;0;0;0;2;1;0;0;0;2;1;0;0;1;0;0
19;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0
100;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;0
tandis_que;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;1;1;1
plein;0;0;0;2;0;0;1;0;2;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0
