"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"133";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"134";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"135";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"136";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"137";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"138";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"139";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"140";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"141";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"142";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"143";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"144";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"145";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"146";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"147";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"148";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"149";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"150";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"151";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"152";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"153";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"154";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"155";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"156";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"157";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"158";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"159";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"160";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"161";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"162";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"163";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"164";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"165";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"166";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"167";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"168";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"169";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"170";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"171";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"172";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"173";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"174";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"175";3;4;7;9;10;12;15;17;19;21;23;23;23;23;23;23;23;23;23
"176";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"177";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"178";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"179";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"180";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"181";3;4;7;9;10;12;14;14;14;14;14;14;14;14;14;14;14;14;14
"182";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"183";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"184";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"185";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"186";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"187";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"188";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"189";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"190";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"191";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"192";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"193";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"194";3;4;7;9;10;12;15;17;19;21;22;24;24;24;24;24;24;24;24
"195";3;4;7;9;10;12;15;17;19;21;22;24;24;24;24;24;24;24;24
"196";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"197";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"198";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"199";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"200";3;4;7;9;10;12;15;17;19;21;23;23;23;23;23;23;23;23;23
"201";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"202";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"203";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"204";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"205";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"206";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"207";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"208";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
