"";"";"";"";"htag_metier";""
"128";"htag_dog";"-0.497482063900294";"0.915060340372991";"0.81532611391254";"333"
"129";"htag_car";"-0.497482063900294";"0.915060340372991";"0.81532611391254";"334"
"130";"diverses";"-0.470932664273009";"1.03625497661003";"0.81532611391254";"335"
"131";"htag_vigne";"-0.401414385844017";"0.609517096295777";"0.81532611391254";"336"
"132";"htag_soldat";"-0.401414385844017";"0.609517096295777";"0.81532611391254";"337"
"133";"htag_fusee";"-0.408734198363752";"0.941487345141552";"0.81532611391254";"338"
"134";"htag_jeu";"-0.433836250680044";"0.834930466074746";"0.81532611391254";"339"
"135";"htag_igerslausanne";"-0.433836250680044";"0.834930466074746";"0.81532611391254";"340"
"136";"faire";"-0.418099604441957";"0.219027719111612";"0.815148383896834";"342"
"137";"sans";"-0.153392626038311";"0.192852364322426";"0.815078118541787";"343"
"138";"qui";"-0.311029986706034";"-0.0712637976843225";"0.814408531040754";"351"
"139";"monsieur";"-0.135238762945167";"0.373436140546865";"0.814309332892453";"352"
"140";"dire";"-0.370117365892647";"-0.214744390005177";"0.814127469620567";"353"
"141";"presque";"-0.492272200964866";"0.984859469876219";"0.814028271472266";"354"
"142";"htag_pollution";"-0.518997971702519";"0.931359769328678";"0.814028271472266";"355"
"143";"htag_swisswatch";"-0.452437072550113";"0.951180022905098";"0.814028271472266";"356"
"144";"htag_jeunes";"-0.376728457494496";"-0.364093459990339";"0.814028271472266";"357"
"145";"htag_jeune";"-0.492272200964866";"0.984859469876219";"0.814028271472266";"358"
"146";"htag_geneva";"-0.486782341575065";"0.735881783241889";"0.814028271472266";"359"
"147";"aucun";"-0.408944087621951";"-0.168615473903549";"0.814028271472266";"360"
"148";"avec";"0.0234814435994169";"-0.1535279923839";"0.81385054145656";"361"
"149";"falloir";"-0.413423503471274";"0.186742551513869";"0.813408283045383";"362"
"150";"oui";"-0.425221217270102";"0.271680509683727";"0.813346284202695";"364"
"151";"htag_neuchatel";"-0.375555128124081";"-0.526693411865417";"0.813346284202695";"365"
"152";"htag_vieillesse";"-0.488765712427601";"0.776912089945052";"0.813065222782508";"375"
"153";"avoir";"-0.215494290622678";"0.0746774377731767";"0.813040423245433";"376"
"154";"htag_game";"-0.515676368230036";"0.746290318267458";"0.813032156733074";"377"
"155";"son";"-0.0220400684395549";"-0.177249513421233";"0.812449367611805";"378"
"156";"htag_90s";"-0.471130012874181";"0.588826130744397";"0.812432834587088";"379"
"157";"aussi";"-0.155812373868019";"0.553418093467447";"0.812362569232041";"380"
"158";"htag_nature";"0.207239302121154";"0.265850952094078";"0.812118707117467";"381"
"159";"htag_fashion";"-0.109797252699989";"0.909301989823242";"0.811771513598413";"383"
"160";"chacun";"-0.424677017794477";"0.456868097546768";"0.811271389600728";"384"
"161";"comme";"-0.420640428581015";"0.11719859873365";"0.811263123088369";"385"
"162";"personne";"0.0810290214293731";"0.432265951458016";"0.811184591220964";"386"
"163";"pouvoir";"-0.371557333339155";"-0.313273780838578";"0.810986194924361";"387"
"164";"encore";"-0.210688870321067";"0.187452312655827";"0.810961395387286";"388"
"165";"htag_switzerland";"-0.432096729296226";"0.413639684807052";"0.810936595850211";"389"
"166";"devoir";"-0.452695226506806";"0.633393690795666";"0.81088699677606";"390"
"167";"où";"-0.474935132310858";"0.662024019567521";"0.810841530958089";"391"
"168";"htag_enfants";"-0.459149374490581";"0.446354575400862";"0.810647267917666";"393"
"169";"rien";"-0.440082344253946";"0.334334278290585";"0.81062246838059";"395"
"170";"htag_archives";"-0.314809196884734";"0.0520903963392264";"0.810593535587336";"396"
"171";"htag_chanson";"-0.333958765826831";"-0.866315850687223";"0.810395139290733";"397"
"172";"avant";"-0.441479038421001";"0.397089404695474";"0.810238075555923";"399"
"173";"htag_velo";"-0.568093787173539";"1.05772818614384";"0.809754484582955";"400"
"174";"htag_raclette";"-0.540082334936826";"0.906265377782205";"0.809754484582955";"401"
"175";"htag_freestyle";"-0.414035462546379";"-0.740875720344906";"0.809754484582955";"402"
"176";"htag_cimetiere";"-0.547402147456561";"1.23823562662798";"0.809754484582955";"403"
"177";"htag_champignons";"-0.5076604701008";"0.680852008003236";"0.809754484582955";"404"
"178";"htag_portrait";"0.330274964305022";"0.604046928957511";"0.80951475572456";"406"
"179";"ni";"-0.41919189269295";"0.856693612745547";"0.80951475572456";"407"
"180";"htag_insolite";"-0.452047780386129";"0.555930716000614";"0.80951475572456";"408"
"181";"htag_lacleman";"-0.457695311427576";"0.72362345304042";"0.80951475572456";"409"
"182";"celui";"-0.3148935987395";"-0.649243289306059";"0.80951475572456";"410"
