"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"transport";-0,381;-1,132;0,497;5,404;-0,679;-0,381;-0,723;1,513;-0,036
"tradition";-0,444;-1,322;3,564;-0,601;8,3;-0,444;-0,844;-0,006;-0,132
"tenter";-0,317;-0,942;-0,473;-0,428;0,539;1,778;0,454;2,363;-1,234
"technique";-0,381;-1,132;-0,568;-0,514;21,206;1,243;-0,723;-1,089;-0,036
"station";-0,381;1,393;0,497;5,404;0,284;-0,381;-0,723;-1,089;-1,482
"sportif";-0,253;10,57;-0,378;-0,342;-0,452;-0,253;-0,481;-0,725;0,07
"soldat";-0,317;0,066;-0,473;-0,428;0,539;1,778;-0,602;2,363;-1,234
"soigner";-0,381;-1,132;-0,568;-0,514;21,206;-0,381;-0,723;-1,089;0,704
"simplement";-0,19;-0,564;-0,283;-0,257;-0,339;-0,19;-0,36;-0,543;12,234
"sexe";-0,444;-1,322;-0,664;-0,601;-0,793;0,879;-0,844;26,938;-1,731
"seulement";-0,19;-0,564;-0,283;-0,257;1,783;-0,19;1,612;0,755;-0,739
"service";-0,444;-1,322;0,288;-0,601;-0,793;80,253;-0,844;-1,272;-1,731
"scolaire";-0,381;-1,132;-0,568;-0,514;-0,679;-0,381;-0,723;21,536;-0,036
"réaction";-0,444;16,375;-0,664;-0,601;-0,793;-0,444;-0,844;0,957;-1,731
"retraité";-0,317;0,066;-0,473;-0,428;4,931;-0,317;-0,602;2,363;-1,234
"pêcheur";-0,317;0,066;32,512;-0,428;-0,565;-0,317;-0,602;-0,907;-1,234
"préparer";-0,253;-0,753;-0,378;1,628;0,978;-0,253;-0,481;-0,725;2,321
"profession";1,243;-1,132;-0,568;-0,514;0,284;39,829;-0,723;-1,089;-1,482
"postal";-0,253;-0,753;22,475;1,628;-0,452;-0,253;-0,481;-0,725;-0,987
"plante";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;-0,602;-0,907;20,424
"pilote";-0,19;-0,564;-0,283;2,695;1,783;-0,19;-0,36;0,755;-0,739
"philippe";-0,444;16,375;-0,664;-0,601;0,135;-0,444;-0,844;-0,006;-1,731
"paysan";-0,381;0,003;25,823;-0,514;-0,679;-0,381;-0,723;0,009;-1,482
"partie";-0,444;-1,322;0,288;0,402;2,637;-0,444;-0,844;-1,272;2,377
"particulier";-0,444;-0,012;-0,664;-0,601;-0,793;-0,444;-0,844;-0,006;11,881
"participer";-0,444;9,044;-0,664;-0,601;-0,793;-0,444;0,095;0,957;-1,731
"parcourir";-0,381;-1,132;25,823;-0,514;0,284;-0,381;-0,723;-1,089;-0,036
"novembre";-0,381;11,725;-0,568;-0,514;-0,679;-0,381;0,224;-1,089;-0,036
"nati";-0,253;10,57;-0,378;-0,342;-0,452;-0,253;-0,481;-0,725;0,07
