"";"X.rts_a";"X.rts_i"
"rente";0,2645;-0,2645
"retraite";0,5277;-0,5277
"combat";-0,282;0,282
"continuer";-2,4403;2,4403
"double";0,812;-0,812
"journée";1,3469;-1,3469
"lit";0,321;-0,321
"21";0,6092;-0,6092
"h";1,1411;-1,1411
"épuiser";-0,2681;0,2681
"reportage";4,6444;-4,6444
"prendre";-0,6852;0,6852
"nouvelle";-2,4036;2,4036
"population";-2,967;2,967
"colère";0,3871;-0,3871
"survivre";-0,4642;0,4642
"défendre";-2,4597;2,4597
"conseil";-2,7662;2,7662
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";9,7107;-9,7107
"regarder";-0,3201;0,3201
"abe";0,6378;-0,6378
"situation";-1,6083;1,6083
"produit";1,0045;-1,0045
"bio";0,3478;-0,3478
"emji_visage_riant_aux_larmes";25,8571;-25,8571
"bonjour";2,7792;-2,7792
"notre";0,5832;-0,5832
"rts";0,7115;-0,7115
"ch";0,3617;-0,3617
"pub";0,8283;-0,8283
"ah";3,7303;-3,7303
"accord";-1,6208;1,6208
"croire";1,8731;-1,8731
"madame";9,7764;-9,7764
"fédéral";-5,1892;5,1892
"jamais";3,4934;-3,4934
"participer";-0,8394;0,8394
"problème";-6,6461;6,6461
"largement";-0,9342;0,9342
"remplacer";0,6252;-0,6252
"téléphone";1,3585;-1,3585
"portable";1,8243;-1,8243
"poids";1,6804;-1,6804
"danger";-0,5274;0,5274
"mental";1,1601;-1,1601
"physique";-4,7575;4,7575
"médecin";-1,3726;1,3726
"tromper";0,7599;-0,7599
"énorme";2,4051;-2,4051
"cours";1,2369;-1,2369
"base";-2,602;2,602
"art";-0,7459;0,7459
"plastique";17,9039;-17,9039
"école";1,2005;-1,2005
"patron";-1,3625;1,3625
"obligation";-1,0435;1,0435
"cantonal";-0,3077;0,3077
"lever";1,2601;-1,2601
"possible";0,7186;-0,7186
"propre";0,3421;-0,3421
"boîte";11,703;-11,703
"production";0,387;-0,387
"franchise";0,3497;-0,3497
"changement";2,5215;-2,5215
"avant";4,5286;-4,5286
"industriel";1,2546;-1,2546
"etc";0,4495;-0,4495
"laisser";-1,5497;1,5497
"s";-1,2045;1,2045
"occuper";-0,4486;0,4486
"preuve";-0,2553;0,2553
"portugais";-0,315;0,315
"spécialiste";0,4632;-0,4632
"piquer";0,4615;-0,4615
"quoi";-0,8337;0,8337
"fr";1,6651;-1,6651
"bosser";-0,4445;0,4445
"pompe";2,6941;-2,6941
"déchet";0,7605;-0,7605
"hasard";0,4662;-0,4662
"quitter";-0,5498;0,5498
"dingue";1,4381;-1,4381
"morale";-0,3647;0,3647
"elon";0,2667;-0,2667
"job";-0,4413;0,4413
"carton";2,5668;-2,5668
"refuser";-0,5835;0,5835
"demander";0,4001;-0,4001
"énergie";-3,5067;3,5067
"installation";0,6378;-0,6378
"évolution";2,9608;-2,9608
"pratique";2,8875;-2,8875
"entreprise";-17,9191;17,9191
"nombreux";0,4576;-0,4576
"accepter";-0,2959;0,2959
"type";-1,1877;1,1877
"raison";0,4949;-0,4949
"notamment";0,4265;-0,4265
"lier";-1,4505;1,4505
"cet";-1,1728;1,1728
"changer";0,8205;-0,8205
"septembre";2,3087;-2,3087
"grâce";0,3283;-0,3283
"action";-0,5304;0,5304
"effet";-0,3505;0,3505
"créateur";0,2219;-0,2219
"société";-1,258;1,258
"fabrication";0,2219;-0,2219
"réussir";-0,6366;0,6366
"obtenir";-0,2687;0,2687
"norme";-0,3285;0,3285
"contribuer";-1,3183;1,3183
"rassurer";0,4017;-0,4017
"agence";-0,5357;0,5357
"produire";-1,5212;1,5212
"uniquement";-2,0963;2,0963
"réserver";-0,7343;0,7343
"sentir";-2,0688;2,0688
"liquide";0,321;-0,321
"inflation";-0,3285;0,3285
"oublier";0,654;-0,654
"vite";4,0719;-4,0719
"lancer";0,8606;-0,8606
"projet";-2,0448;2,0448
"propriétaire";1,4321;-1,4321
"banque";-0,829;0,829
"instant";0,2455;-0,2455
"solution";-1,163;1,163
"valoir";2,4504;-2,4504
"sale";2,8223;-2,8223
"business";0,6865;-0,6865
"autoriser";-0,6449;0,6449
"heureusement";0,9723;-0,9723
"bénéfice";-0,6209;0,6209
"etre";-0,3226;0,3226
"vouloir";-3,5952;3,5952
"ect";0,5243;-0,5243
"cacher";-0,2931;0,2931
"pourtant";-0,3365;0,3365
"vaccin";8,0891;-8,0891
"contre";0,7804;-0,7804
"covid";7,6122;-7,6122
"19";2,7808;-2,7808
"virus";-0,3383;0,3383
"multiplier";2,171;-2,171
"dose";1,1076;-1,1076
"servir";-0,272;0,272
"sanitaire";-0,3647;0,3647
"plan";0,819;-0,819
"désormais";0,6378;-0,6378
"entrer";-0,2844;0,2844
"phase";0,4615;-0,4615
"suffire";-0,7205;0,7205
"grippe";1,2533;-1,2533
"saisonnier";1,2533;-1,2533
"4";-1,2159;1,2159
"balancer";-0,7806;0,7806
"risque";-1,475;1,475
"personne";-6,1531;6,1531
"décennie";0,819;-0,819
"bloquer";-0,7153;0,7153
"économie";-4,9098;4,9098
"mondial";0,2979;-0,2979
"autant";-1,212;1,212
"contaminer";1,8243;-1,8243
"ceinture";8,073;-8,073
"sécurité";0,3118;-0,3118
"sauver";-0,4757;0,4757
"accident";-1,5289;1,5289
"arrêter";-0,6861;0,6861
"sauf";1,7124;-1,7124
"également";-0,3084;0,3084
"nouveau";-1,5142;1,5142
"pneu";-1,4477;1,4477
"risquer";0,4091;-0,4091
"lorsqu";-0,9916;0,9916
"quelque";-0,842;0,842
"détruire";0,4576;-0,4576
"stabilité";-0,593;0,593
"économique";-4,9215;4,9215
"classe";-2,6013;2,6013
"populaire";-0,8829;0,8829
"ainsi";-0,5722;0,5722
"santé";-2,4026;2,4026
"différence";1,1669;-1,1669
"prouver";-0,5438;0,5438
"efficacité";-0,2681;0,2681
"après";1,726;-1,726
"utilisation";0,3183;-0,3183
"condamner";0,3366;-0,3366
"capitaliste";-1,1431;1,1431
"sacré";3,1054;-3,1054
"tempête";0,5301;-0,5301
"novembre";-0,6966;0,6966
"panneau";0,9315;-0,9315
"routier";-0,3226;0,3226
"coucher";1,4377;-1,4377
"direction";0,6412;-0,6412
"allemand";0,488;-0,488
"excuser";1,0144;-1,0144
"voleur";6,6103;-6,6103
"naître";0,7866;-0,7866
"façon";-2,6927;2,6927
"diminuer";-0,6088;0,6088
"quasiment";0,307;-0,307
"disparaître";1,3585;-1,3585
"ca";0,4002;-0,4002
"50";-4,5738;4,5738
"1970";2,3505;-2,3505
"poser";-1,2587;1,2587
"250";0,6378;-0,6378
"minimum";-2,6849;2,6849
"fromage";1,6228;-1,6228
"puis";2,7236;-2,7236
"vacance";1,659;-1,659
"rentrer";1,3469;-1,3469
"boutique";1,1823;-1,1823
"commencer";-0,3402;0,3402
"utiliser";0,9551;-0,9551
"soir";1,2061;-1,2061
"5";-0,6078;0,6078
"goutte";-0,3383;0,3383
"sous";-0,4267;0,4267
"langue";-1,9979;1,9979
"nuit";0,5242;-0,5242
"complet";0,4632;-0,4632
"big";0,3943;-0,3943
"pharma";0,2875;-0,2875
"fibre";2,8223;-2,8223
"exceptionnel";0,807;-0,807
"lourd";0,5754;-0,5754
"agriculteur";1,6175;-1,6175
"durer";2,139;-2,139
"7";1,0644;-1,0644
"dommage";6,8478;-6,8478
"parce_que";-1,6697;1,6697
"ajouter";-0,4128;0,4128
"bâle";0,3042;-0,3042
"emji_visage_souriant_avec_coeurs";3,1054;-3,1054
"cff";-1,1375;1,1375
"confédération";-0,4854;0,4854
