"";"V1"
"1277";10
"1278";9
"1279";9
"1280";9
"1281";1
"1282";9
"1283";9
"1284";5
"1285";2
"1286";2
"1287";6
"1288";7
"1289";11
"1290";7
"1291";7
"1292";7
"1293";11
"1294";1
"1295";1
"1296";1
"1297";1
"1298";1
"1299";1
"1300";0
"1301";10
"1302";10
"1303";10
"1304";1
"1305";11
"1306";1
"1307";1
"1308";1
"1309";1
"1310";1
"1311";1
"1312";1
"1313";0
"1314";0
"1315";1
"1316";2
"1317";2
"1318";11
"1319";8
"1320";8
"1321";11
"1322";9
"1323";9
"1324";9
"1325";9
"1326";7
"1327";9
"1328";7
"1329";11
"1330";6
"1331";6
"1332";6
"1333";11
"1334";5
"1335";5
"1336";5
"1337";5
"1338";11
"1339";0
"1340";10
"1341";0
"1342";6
"1343";6
"1344";0
"1345";7
"1346";4
"1347";5
"1348";2
"1349";11
"1350";7
"1351";5
"1352";7
"1353";11
"1354";1
"1355";9
"1356";9
"1357";9
"1358";9
"1359";11
"1360";1
"1361";1
"1362";1
"1363";4
"1364";1
"1365";1
"1366";1
"1367";11
"1368";8
"1369";4
"1370";5
"1371";8
"1372";7
"1373";11
"1374";1
"1375";10
"1376";0
"1377";7
"1378";5
"1379";2
"1380";2
"1381";2
"1382";11
"1383";5
"1384";5
"1385";4
"1386";10
"1387";5
"1388";4
"1389";4
"1390";4
"1391";4
"1392";7
"1393";7
"1394";7
"1395";7
"1396";1
"1397";6
"1398";1
"1399";0
"1400";1
"1401";3
"1402";5
"1403";3
"1404";9
"1405";7
"1406";11
"1407";5
"1408";5
"1409";5
"1410";5
"1411";2
"1412";4
"1413";4
"1414";11
"1415";5
"1416";11
"1417";2
"1418";11
"1419";7
"1420";8
"1421";10
"1422";5
"1423";10
"1424";11
"1425";2
"1426";10
"1427";10
"1428";10
"1429";10
"1430";8
"1431";10
"1432";0
"1433";7
"1434";7
"1435";7
"1436";11
"1437";9
"1438";9
"1439";9
"1440";9
"1441";7
"1442";7
"1443";7
"1444";11
"1445";6
"1446";4
"1447";11
"1448";10
"1449";3
"1450";3
"1451";3
"1452";10
"1453";10
"1454";10
"1455";10
"1456";3
"1457";0
"1458";5
"1459";11
"1460";2
"1461";7
"1462";2
"1463";2
"1464";11
"1465";9
"1466";8
"1467";8
"1468";8
"1469";9
"1470";11
"1471";11
"1472";7
"1473";5
"1474";7
"1475";7
"1476";4
"1477";7
"1478";11
"1479";1
"1480";7
"1481";9
"1482";8
"1483";2
"1484";8
"1485";9
"1486";6
"1487";1
"1488";0
"1489";9
"1490";7
"1491";9
"1492";7
"1493";7
"1494";11
"1495";9
"1496";6
"1497";11
"1498";9
"1499";9
"1500";9
"1501";11
"1502";7
"1503";11
"1504";7
"1505";7
"1506";9
"1507";9
"1508";11
"1509";7
"1510";11
"1511";0
"1512";1
"1513";11
"1514";5
"1515";0
"1516";8
"1517";11
"1518";11
"1519";4
"1520";5
"1521";5
"1522";5
"1523";5
"1524";2
"1525";5
"1526";7
"1527";5
"1528";11
"1529";4
"1530";10
"1531";0
"1532";7
"1533";8
"1534";5
"1535";5
"1536";11
"1537";3
"1538";8
"1539";7
"1540";8
"1541";3
"1542";3
"1543";3
"1544";0
"1545";6
"1546";6
"1547";6
"1548";11
"1549";1
"1550";10
"1551";0
"1552";1
"1553";1
"1554";0
"1555";0
"1556";4
"1557";0
"1558";4
"1559";5
"1560";5
"1561";10
"1562";5
"1563";8
"1564";11
"1565";7
"1566";5
"1567";11
"1568";10
"1569";2
"1570";10
"1571";1
"1572";5
"1573";1
"1574";8
"1575";7
"1576";5
"1577";5
"1578";5
"1579";1
"1580";0
"1581";5
"1582";6
"1583";10
"1584";5
"1585";3
"1586";3
"1587";3
"1588";9
"1589";5
"1590";4
"1591";4
"1592";5
"1593";11
"1594";6
"1595";6
"1596";7
"1597";6
"1598";11
"1599";2
"1600";2
"1601";2
"1602";11
"1603";3
"1604";5
"1605";11
"1606";4
"1607";5
"1608";5
"1609";10
"1610";2
"1611";2
"1612";2
"1613";2
"1614";11
"1615";3
"1616";5
"1617";5
"1618";11
"1619";1
"1620";1
"1621";0
"1622";0
"1623";5
"1624";8
"1625";8
"1626";11
"1627";6
"1628";6
"1629";4
"1630";7
"1631";11
"1632";1
"1633";5
"1634";7
"1635";7
"1636";1
"1637";1
"1638";8
"1639";0
"1640";0
"1641";4
"1642";5
"1643";11
"1644";5
"1645";5
"1646";6
"1647";11
"1648";2
"1649";10
"1650";2
"1651";11
"1652";0
"1653";11
"1654";8
"1655";9
"1656";9
"1657";11
"1658";1
"1659";1
"1660";1
"1661";7
"1662";1
"1663";1
"1664";1
"1665";1
"1666";0
"1667";7
"1668";11
"1669";2
"1670";2
"1671";2
"1672";11
"1673";5
"1674";5
"1675";10
"1676";11
"1677";2
"1678";5
"1679";5
"1680";3
"1681";3
"1682";6
"1683";11
"1684";8
"1685";3
"1686";8
"1687";8
"1688";3
"1689";3
"1690";9
"1691";9
"1692";7
"1693";8
"1694";11
"1695";0
"1696";7
"1697";7
"1698";0
"1699";2
"1700";2
"1701";2
"1702";2
"1703";3
"1704";9
"1705";2
"1706";3
"1707";0
"1708";4
"1709";0
"1710";2
"1711";1
"1712";7
"1713";0
"1714";0
"1715";0
"1716";0
"1717";0
"1718";0
"1719";9
"1720";11
"1721";4
"1722";4
"1723";9
"1724";4
"1725";4
"1726";4
"1727";9
"1728";7
"1729";9
"1730";8
"1731";8
"1732";8
"1733";10
"1734";10
"1735";3
"1736";10
"1737";11
"1738";0
"1739";0
"1740";9
"1741";8
"1742";3
"1743";7
"1744";5
"1745";11
"1746";6
"1747";6
"1748";7
"1749";6
"1750";5
"1751";11
"1752";9
"1753";8
"1754";7
"1755";11
"1756";3
"1757";8
"1758";8
"1759";7
"1760";3
"1761";8
"1762";11
"1763";1
"1764";7
"1765";5
"1766";1
"1767";1
"1768";4
"1769";0
"1770";4
"1771";4
"1772";4
"1773";4
"1774";4
"1775";11
"1776";2
"1777";2
"1778";5
"1779";8
"1780";11
"1781";10
"1782";10
"1783";10
"1784";5
"1785";10
"1786";10
"1787";4
"1788";7
"1789";4
"1790";7
"1791";11
"1792";0
"1793";8
"1794";3
"1795";11
"1796";6
"1797";6
"1798";7
"1799";6
"1800";3
"1801";3
"1802";3
"1803";3
"1804";11
"1805";10
"1806";10
"1807";5
"1808";5
"1809";4
"1810";4
"1811";4
"1812";7
"1813";9
"1814";9
"1815";11
"1816";5
"1817";5
"1818";0
"1819";5
"1820";5
"1821";7
"1822";7
"1823";6
"1824";7
"1825";7
"1826";10
"1827";6
"1828";1
"1829";6
"1830";2
"1831";1
"1832";1
"1833";1
"1834";1
"1835";1
"1836";0
"1837";9
"1838";7
"1839";6
"1840";8
"1841";1
"1842";6
"1843";6
"1844";6
"1845";7
"1846";10
"1847";7
"1848";10
"1849";11
"1850";5
"1851";0
"1852";7
"1853";7
"1854";7
"1855";5
"1856";0
"1857";4
"1858";5
"1859";4
"1860";11
"1861";7
"1862";10
"1863";10
"1864";10
"1865";10
"1866";10
"1867";10
"1868";11
"1869";9
"1870";9
"1871";9
"1872";5
"1873";11
"1874";1
"1875";1
"1876";6
"1877";11
"1878";5
"1879";5
"1880";5
"1881";5
"1882";8
"1883";8
"1884";11
"1885";0
"1886";10
"1887";5
"1888";9
"1889";7
"1890";9
"1891";6
"1892";5
"1893";6
"1894";5
"1895";11
"1896";3
"1897";3
"1898";3
"1899";11
"1900";2
"1901";2
"1902";2
"1903";2
"1904";11
"1905";5
"1906";5
"1907";5
"1908";5
"1909";9
"1910";7
"1911";8
"1912";8
"1913";8
"1914";11
"1915";5
"1916";5
"1917";5
"1918";5
"1919";7
"1920";5
"1921";5
"1922";5
"1923";11
"1924";3
"1925";11
"1926";1
"1927";1
"1928";1
"1929";1
"1930";0
"1931";0
"1932";8
"1933";8
"1934";8
"1935";8
"1936";11
"1937";0
"1938";0
"1939";11
"1940";9
"1941";11
"1942";0
"1943";0
"1944";0
"1945";8
"1946";8
"1947";8
"1948";7
"1949";7
"1950";6
"1951";3
"1952";5
"1953";8
"1954";11
"1955";8
"1956";3
"1957";10
"1958";8
"1959";11
"1960";0
"1961";0
"1962";0
"1963";10
"1964";11
"1965";10
"1966";10
"1967";0
"1968";10
"1969";11
"1970";5
"1971";5
"1972";5
"1973";11
"1974";2
"1975";2
"1976";2
"1977";11
"1978";1
"1979";3
"1980";5
"1981";5
"1982";1
"1983";0
"1984";7
"1985";6
"1986";5
"1987";11
"1988";9
"1989";3
"1990";7
"1991";5
"1992";11
"1993";6
"1994";6
"1995";6
"1996";7
"1997";6
"1998";0
"1999";5
"2000";10
"2001";5
"2002";4
"2003";11
"2004";10
"2005";7
"2006";0
"2007";3
"2008";3
"2009";11
"2010";2
"2011";2
"2012";4
"2013";2
"2014";7
"2015";0
"2016";1
"2017";7
"2018";7
"2019";10
"2020";10
"2021";0
"2022";10
"2023";11
"2024";1
"2025";0
"2026";6
"2027";2
"2028";11
"2029";5
"2030";7
"2031";5
"2032";5
"2033";2
"2034";2
"2035";2
"2036";7
"2037";5
"2038";10
"2039";5
"2040";7
"2041";7
"2042";11
"2043";4
"2044";5
"2045";5
"2046";4
"2047";5
"2048";5
"2049";6
"2050";7
"2051";6
"2052";8
"2053";8
"2054";8
"2055";8
"2056";11
"2057";7
"2058";5
"2059";5
"2060";7
"2061";11
"2062";7
"2063";5
"2064";5
"2065";5
"2066";11
"2067";2
"2068";2
"2069";8
"2070";2
"2071";2
"2072";1
"2073";10
"2074";10
"2075";10
"2076";2
"2077";0
"2078";6
"2079";8
"2080";6
"2081";6
"2082";6
"2083";4
"2084";5
"2085";5
"2086";10
"2087";1
"2088";10
"2089";10
"2090";10
"2091";8
"2092";7
"2093";8
"2094";5
"2095";7
"2096";7
"2097";7
"2098";6
"2099";9
"2100";9
"2101";11
"2102";2
"2103";2
"2104";2
"2105";2
"2106";2
"2107";11
"2108";7
"2109";11
"2110";1
"2111";1
"2112";1
"2113";0
"2114";8
"2115";8
"2116";8
"2117";8
"2118";8
"2119";2
"2120";5
"2121";4
"2122";2
"2123";10
"2124";11
"2125";8
"2126";8
"2127";11
"2128";10
"2129";9
"2130";9
"2131";0
"2132";8
"2133";9
"2134";7
"2135";7
"2136";5
"2137";5
"2138";11
"2139";1
"2140";7
"2141";4
"2142";2
"2143";4
"2144";5
"2145";11
"2146";8
"2147";9
"2148";6
"2149";9
