place;28;12;4;3;10;8;24;4;7;4;6
fédéral;0;2;6;17;7;13;19;10;28;0;9
femme;5;0;10;37;19;5;9;5;6;6;4
projet;2;3;3;2;6;7;49;9;8;16;5
novembre;14;13;9;5;3;4;23;6;14;10;5
viser;0;2;17;2;15;9;34;11;11;3;7
état;10;3;15;4;11;6;5;30;17;3;5
prendre;14;6;10;7;23;4;20;9;7;8;2
américain;12;2;11;1;5;6;1;57;3;6;3
voir;17;3;1;8;7;2;19;4;9;21;12
mondial;51;4;2;2;9;10;4;3;1;15;1
franc;2;3;4;3;3;40;32;3;8;2;3
président;1;0;8;0;1;4;6;50;25;2;5
groupe;18;2;8;3;6;5;2;6;13;16;3
fin;13;8;9;3;8;11;10;21;8;9;4
cliquer;0;0;0;0;1;1;0;0;0;0;108
national;14;3;6;6;6;10;22;12;17;3;1
jeune;6;0;3;22;24;7;5;5;5;16;2
passer;15;13;5;11;7;13;7;11;6;10;3
offrir;1;9;0;7;13;7;19;4;1;23;6
?;34;2;3;8;7;1;3;2;1;17;4
heure;8;14;15;2;16;9;4;9;6;3;6
enfant;5;0;17;16;26;0;9;2;2;7;6
social;2;3;1;4;37;6;14;9;1;10;8
unir;12;1;6;1;5;8;2;47;0;9;5
près_de;4;6;15;6;11;32;3;7;3;6;1
police;0;1;43;3;1;4;8;2;12;2;6
homme;9;1;20;13;11;3;0;14;7;4;4
décembre;15;20;2;1;3;6;8;7;2;19;6
aller;19;5;3;5;5;8;17;12;2;12;3
service;1;12;5;5;11;4;29;6;2;4;9
devenir;14;5;0;2;8;6;10;1;11;22;6
photo;0;0;2;1;0;1;0;1;2;8;77
équipe;50;0;2;2;13;3;5;1;2;5;2
nouvelle;13;8;4;8;5;2;17;3;6;21;4
demander;2;6;2;3;7;9;16;9;18;2;8
révéler;2;1;5;9;35;5;6;3;4;18;3
retrouver;6;2;3;4;10;1;5;2;3;9;21
jeudi;13;20;13;1;3;2;7;12;6;1;2
ville;6;10;3;1;5;5;27;6;4;13;5
travail;1;4;0;6;13;14;27;6;1;8;2
politique;2;1;5;2;9;1;12;21;23;4;7
partir;3;8;0;2;5;7;9;14;28;4;6
initiative;1;2;0;2;5;5;34;3;19;3;9
fois;15;10;0;8;9;10;6;4;3;13;4
lausanne;2;25;0;3;6;3;16;1;12;6;3
prochain;12;6;1;2;1;9;15;13;5;5;8
prix;8;0;1;0;2;34;7;5;0;9;2
international;6;3;8;4;8;3;6;21;3;13;6
indiquer;3;7;14;4;12;12;12;5;4;0;7
santé;0;0;2;11;46;3;4;2;2;2;4
étude;0;2;0;14;45;3;2;0;2;8;6
semaine;10;10;9;1;4;8;10;13;3;4;2
mesure;1;2;1;4;9;12;30;8;5;1;8
trump;0;0;6;0;1;1;1;64;0;2;3
sécurité;0;4;13;8;10;3;12;10;10;4;4
lundi;10;11;13;1;1;3;10;9;7;6;4
dimanche;9;9;16;2;4;2;5;10;13;4;1
désormais;4;9;6;8;7;4;19;8;4;1;1
temps;14;4;1;4;5;8;14;1;4;13;7
jean;1;2;0;1;2;0;5;1;3;4;55
situation;1;4;13;8;14;5;8;6;9;0;9
population;0;1;8;15;9;9;14;0;9;1;7
