"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"cours";1;1;0,348;0,859;0,045;1;1;0,003;0,296;1;1
"agir";1;0,638;1;1;0,187;1;0,003;1;0,94;1;0,365
"victoire";0;1;1;1;1;1;1;0,48;0,235;1;1
"plan";1;1;0,006;1;0,305;1;0,027;0;1;1;1
"mener";1;1;0;1;0,011;1;0,723;1;1;1;1
"vaudois";1;1;1;1;1;1;0;1;0;1;1
"saison";0;0,059;1;1;1;1;1;1;1;1;1
"raison";1;0,017;0,916;0,008;0,81;0,949;0,066;0,762;1;1;1
"organisation";1;1;1;0,119;0;1;0,903;1;0,059;1;1
"niveau";1;0,005;1;0,003;0,935;1;1;1;0,001;1;1
"communiqué";1;1;0,851;0,107;0,099;0,219;1;1;0,052;1;1
"publier";1;1;1;0,044;0,062;0,001;1;0,796;1;1;1
"importance";1;1;1;0;0;1;1;1;1;1;1
"complet";0,628;1;1;1;1;1;1;1;0,794;1;0
"bott";1;1;1;1;1;1;1;1;1;1;0
"utiliser";1;1;0,28;1;0;1;1;1;1;0,053;1
"train";1;0;1;1;1;1;1;1;1;1;1
"renforcer";1;0,003;1;1;0,13;0,949;0,162;0,762;0,847;1;0,81
"proposer";1;1;1;1;0,469;0,024;0,57;1;0,816;0,033;1
"local";1;0,424;0,378;1;1;1;1;0,989;0,686;0,001;1
"habitant";1;0,557;0;1;1;1;0,006;1;1;1;1
"venir";0,099;0,052;1;1;1;1;0,012;1;1;0,023;1
"seulement";0;1;1;0,001;0,086;0,851;1;1;1;1;1
"seul";0,286;1;1;0,007;1;0,024;0,019;1;1;1;1
"réduire";1;0,004;1;0,397;0;0,121;0,685;1;1;1;1
"zurich";1;0;1;0,2;1;1;0;1;1;1;1
"zone";1;0,53;0;0,119;0,114;1;0,31;1;1;1;1
"voix";1;1;1;1;1;1;1;1;0;1;1
"revenir";0,01;0,923;1;1;1;0,462;0,041;1;1;1;1
"retour";0;0,059;0,851;1;1;1;0,532;1;1;1;1
"membre";1;1;0;0,853;0,395;1;1;1;0,002;1;1
"etats";1;1;1;1;1;0,981;1;0;0,076;1;1
"armée";1;1;0;1;1;1;1;0,727;1;1;1
"site";1;1;1;1;0,363;0,015;0,23;1;1;0,355;0,639
"juger";1;1;1;1;1;0,001;0,144;0,392;0;1;1
"entreprise";1;1;1;1;1;0;0;0,989;1;1;1
"emji_caméra";1;0,913;1;1;0,982;0,679;1;0,851;1;0,713;0,007
"directeur";1;1;1;0;0,358;0,574;0,007;1;1;1;1
"attaque";1;1;0;1;1;1;1;1;1;1;1
"titre";0;1;1;1;1;1;1;0,878;1;0,008;1
"petit";0,856;1;1;0;0,073;1;1;1;1;0,07;1
"participer";0,395;0,424;1;1;1;1;0;0,285;1;1;1
"lier";1;1;1;1;0;0,884;1;0,364;0,784;1;1
"frapper";1;0,864;0;1;1;1;1;1;1;1;1
"famille";1;0,708;1;1;0,395;0,609;0,262;0,002;1;0,423;1
"soir";0,395;0;0,045;1;1;1;1;0,285;0,007;0,977;1
"poste";1;1;1;1;1;0;0,206;1;0,328;1;1
"michael";1;1;1;1;1;1;1;1;1;1;0
"image";1;1;1;0,592;0,639;1;1;1;0,719;0;0,073
"critique";1;1;1;1;0,001;0,404;1;0,001;1;1;1
"course";0;1;1;1;1;1;0,611;1;1;1;1
"conseiller";1;0,923;1;1;0,031;1;0,111;1;0;1;1
"confirmer";1;1;0,007;0,951;1;1;0,355;0,916;0,004;0,895;1
"affirmer";1;1;0;1;1;1;0,611;0,074;0,588;0,24;1
"élevé";1;0;0,614;0,164;0,434;0,005;1;1;1;1;1
"remporter";0;1;1;1;1;1;1;1;0,007;1;1
"présenter";1;0,803;1;1;0,044;1;0;0,916;1;1;1
"minute";0;0,398;1;1;1;1;1;1;1;1;1
"condition";1;1;1;1;0;1;0;1;0,686;1;1
"commun";1;1;1;1;1;1;0;1;0,001;1;0,844
"annonce";1;0,676;0,999;1;1;0;1;1;0,192;0,387;1
"affaire";1;1;0,927;0,75;0,932;1;1;0;0,04;1;1
"rencontre";0,02;1;1;1;1;1;1;0;0,172;1;1
"mètre";1;0;1;0,785;1;1;0,448;1;1;0,049;1
"manifestation";1;1;0;1;1;1;1;1;0;0,767;1
"laurent";1;1;1;1;1;1;1;1;1;1;0
"journée";1;0,323;1;0;1;1;0,292;0,016;1;1;0,434
"israël";1;1;0;1;1;1;1;0,006;0,107;1;1
"haut";0,019;1;0,734;1;1;1;0,921;0,486;1;1;1
"guerre";1;0,772;0,005;1;1;1;1;0;1;0,853;1
"donner";0,362;0,833;1;1;1;1;0,695;0,097;0,006;0,573;1
"compte";1;1;1;1;0,004;0,044;0,695;1;1;0,126;1
"augmenter";1;0,348;1;0;0,798;0;1;1;1;1;1
"ajouter";1;1;1;0,951;1;0,714;1;0,005;0,621;0,037;1
"âge";0,674;1;1;0;0,882;0,47;1;0,295;1;1;1
"professionnel";1;1;1;0,132;0;1;1;1;1;0,724;1
"poursuivre";0,661;0,833;1;1;0,298;0,749;1;1;0,028;1;0,889
"meilleur";0;1;1;1;1;1;1;1;1;1;1
"impact";1;1;1;1;0;1;0,262;1;0,522;0,423;1
"proche";1;0,612;0,478;1;0,121;1;1;0;1;1;1
"objectif";1;1;1;0,951;0,013;1;0;1;1;1;1
"marché";1;1;1;0,819;1;0,246;0;1;1;0,004;1
"espèce";1;1;1;0;1;0,956;1;1;1;1;1
"dénoncer";1;1;0,001;1;1;0,322;1;0;0,256;1;1
"campagne";0,421;1;1;0,357;0,612;0,993;0,448;1;0,458;0,352;1
"assurer";1;1;0,251;1;0,395;0;0,889;0,802;0,974;1;1
"ap";1;1;1;1;1;1;1;1;1;1;0
"aide";1;1;0;1;0,101;1;1;0,074;0,256;1;1
"accueillir";1;0,004;0,025;1;1;0,37;0,266;0,98;1;0,859;1
"système";1;1;0,649;1;0,473;1;0;1;0,588;1;1
"réaliser";0,031;1;1;0,001;0,705;1;1;1;1;0,07;1
"précédent";0,944;1;1;0,182;1;0;0,323;1;1;1;1
"palestinien";1;1;0;1;1;1;1;0,878;1;1;1
"majeur";1;0,612;0,927;1;0,041;1;0,752;1;0,007;1;1
"janvier";1;0,676;1;1;1;1;0;0,002;0,192;1;1
"inscrire";0,016;1;1;1;1;0;1;0,684;1;1;1
"humain";1;1;1;0,887;0;1;1;1;1;0,006;1
"côté";0,039;1;0,146;1;1;1;0,334;0,088;0,794;0,256;1
"billet";0;0,546;0,852;1;1;0;1;1;1;1;1
"émission";1;1;1;0,017;1;1;0,105;1;1;0,073;0,815
"édition";0,003;1;1;1;1;1;1;1;1;0;1
"sortir";0,031;1;0,813;1;1;1;1;0,239;0,105;0,001;1
"recevoir";1;1;0,478;0,75;0,932;1;0,752;0,032;0,426;0,636;1
"histoire";0;1;1;1;1;1;1;0,938;1;0;1
"général";0,459;1;0,227;0,386;0,358;1;1;0,153;0,055;1;1
"di";1;1;1;1;1;1;1;1;1;1;0
"deuxième";0;1;1;0,785;1;1;1;1;0,009;1;1
"concerner";1;0,323;1;0,443;0,434;0;0,934;1;0,555;1;1
"but";0;1;1;1;1;1;1;1;1;1;1
"éviter";1;1;1;1;0;0,539;1;1;0,172;1;1
"économique";1;1;1;0,252;1;0;1;0,017;0,334;1;0,195
"vert";0,811;1;1;1;1;1;0,091;0,763;0;1;1
"udc";1;1;1;1;1;1;1;1;0;1;1
"secteur";1;0,676;1;1;0,358;0,019;0,029;0,763;1;1;1
"produit";1;1;1;1;0,001;1;0,044;0,266;1;0,256;1
"pari";0;1;0,253;1;1;1;1;1;1;0,239;1
"majorité";1;1;1;1;0,751;0,005;1;1;0;1;1
"joueur";0;1;1;1;1;1;1;1;1;1;1
"chiffre";1;1;1;0,032;1;0;0,844;1;1;1;1
"changement";1;0,018;1;1;0,073;0,609;0,528;1;0,522;1;1
"cessez_le_feu";1;1;0;1;1;1;1;0,763;1;1;1
"accuser";1;1;0;1;1;1;1;0;1;1;1
"romand";1;0,059;1;1;0,932;0;0,001;1;1;1;1
"gauche";1;1;0,964;1;1;1;0,798;0,008;0;1;1
"europe";0,039;0,546;1;1;0,086;0,88;0,044;1;1;1;1
"enregistrer";1;0;1;0,001;1;1;1;1;0,939;1;1
"comprendre";1;0,579;1;0,715;0;0,179;1;1;1;1;1
"cause";1;0,254;1;0,027;0,003;1;0,798;1;0,047;1;1
"tour";0,001;1;1;1;1;1;0,767;1;0;0,663;1
"rappeler";1;1;1;1;0,005;1;0,844;1;0,939;0,059;1
"phénomène";1;1;1;0,103;0,011;1;1;1;1;0;1
"neige";0,988;0;1;1;1;1;1;1;1;1;1
"match";0;1;1;1;1;1;1;1;1;1;1
"km";1;0;0;1;1;1;1;1;1;1;1
"jouer";0;1;1;1;0,033;1;1;1;1;0,997;1
"inclure";1;0,232;1;1;0,932;0,504;0;1;1;1;1
"emji_drapeau_états_unis";1;1;1;1;1;1;1;0;1;1;1
"débat";0,312;1;1;1;1;1;0,002;1;0,028;0,55;0,832
"dollar";0,448;1;1;1;1;0;1;0,447;1;0,002;1
"baisser";1;1;1;0;1;0;1;1;1;1;1
"artiste";1;1;1;1;1;1;1;1;1;0;1
"vol";1;0;0,488;1;0,757;0;1;1;1;0,513;1
"vidéo";0,674;1;1;1;1;1;1;0,295;1;0;1
"the";0;1;1;1;1;1;1;1;1;0;1
"susciter";0,089;1;1;1;0,389;0,802;0,029;0,213;1;1;1
"soutien";1;1;0,112;1;0,003;0,123;0,266;0,525;1;1;1
"sexuel";1;1;1;1;0;1;1;0;1;1;1
"saint";0;0,001;1;1;1;1;0,158;1;0,006;1;1
"recherche";1;1;0,852;1;0;1;0,044;1;1;0,55;1
"long";1;0,171;1;1;0,005;1;1;1;0,756;0,079;1
"justice";1;1;1;1;1;0,721;0,003;0,001;0,639;1;0,309
"géant";0;0,514;1;1;1;0,14;1;1;1;0,079;1
"exprimer";1;1;1;1;1;1;1;0;0;1;1
"euses";1;0,612;1;0,33;0,011;1;0,019;1;1;1;1
"crise";1;1;0,052;1;0,121;1;0,001;0,325;0,154;1;1
"considérer";1;0,171;0,813;1;0,432;0;1;1;0,756;1;0,432
"climatique";1;0,005;1;1;0,195;1;0,002;0,565;1;1;1
"cantonal";1;0,211;0,008;1;1;1;0,003;1;0;1;1
"élection";1;1;1;1;1;1;1;1;0;1;1
"école";1;1;1;0,571;0,678;1;0;1;1;1;1
"sujet";1;1;1;1;0,058;1;0,97;0,98;0,717;0,859;0,058
"rôle";1;1;1;1;0;1;1;0,165;1;0,149;1
"nolfi";1;1;1;1;1;1;1;1;1;1;0
"matin";1;0;0;1;1;1;1;1;1;1;1
"manquer";0,94;1;1;1;0,003;1;0,029;0,525;1;1;0,389
"loi";1;1;1;1;1;0,436;0,011;0;0;1;1
"imago";0,851;1;1;1;0,437;1;1;1;1;0,795;0
"hiver";0,841;0;1;0,006;1;0,091;0,204;1;1;1;1
"euro";0;1;1;1;1;0;1;0,409;1;1;1
"emji_drapeau_france";0,696;0,508;1;1;1;0,269;1;0,1;0,223;1;1
"charger";1;1;1;1;0,021;0,403;0,036;1;1;1;1
"causer";1;0;0;0,018;0,52;1;1;1;1;1;1
"bâle";1;0;1;1;1;0,403;1;1;1;0,906;1
"urgence";1;0,031;0,112;1;0;1;1;1;1;1;1
"total";0,039;0,546;1;0,277;1;0,436;0,002;1;1;1;1
"salvatore";1;1;1;1;1;1;1;1;1;1;0
"parlement";1;1;1;1;1;0,47;0,003;0,295;0;1;0,882
"oeuvre";1;1;1;1;1;1;1;1;1;0;0,982
"fermer";1;0;0,57;0,96;1;0,009;1;1;1;1;1
"expérience";1;1;1;1;0,009;1;1;1;1;0;1
"epa";1;1;1;1;1;1;1;1;1;1;0
"célèbre";0,078;1;1;0,88;1;1;1;1;0,024;0;1
"augmentation";1;1;1;1;0,52;0;1;1;1;1;1
"1er";0,891;0,135;0,317;1;1;1;0,005;0,938;0,678;0,811;1
"officiel";1;1;0,025;0,607;1;1;1;1;0;0,859;0,73
"milliard";1;0,293;1;1;1;0;0,661;1;1;1;1
"imposer";0;1;1;1;1;1;0,299;1;1;1;1
"cadre";1;0,354;0,058;0,028;1;1;1;1;0,046;1;1
"besoin";1;1;1;0,002;0,832;0,042;0,658;1;0,794;0,55;1
"vente";1;0,089;1;1;0,523;0;0,15;1;1;0,306;1
"valoir";0,448;0,417;1;1;1;1;0;1;1;1;1
"office";1;1;0,653;0;1;0,276;0,429;1;1;1;1
"obtenir";0,537;1;0,348;1;1;0,802;0,565;1;0;1;1
"marque";0,94;1;1;1;1;1;1;0,063;0,717;0;1
"emji_ballon_de_football";0;1;1;1;1;1;1;1;1;1;1
"eau";1;0;0,179;1;0,012;1;0,661;1;1;1;1
"champion";0;1;1;1;1;1;1;1;1;1;1
"berner";0,94;0;0,025;1;1;1;0;1;1;1;1
"battre";0;1;1;1;1;0,802;1;0,98;1;0,859;1
"étranger";1;1;1;1;1;0,553;0,303;0,017;0;1;1
"week_end";0;0;1;1;1;1;1;1;1;1;1
"vaud";1;0;1;1;1;0,802;0;1;0,717;1;1
"sud";1;0,984;0;1;1;1;1;0,486;1;1;0,348
"reconnaître";1;1;1;0,88;1;0,005;1;0;1;0,972;1
