"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"62";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;72;72;72;72
"63";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"64";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
"65";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;55;55;55;55;55;55;55;55;55;55;55;55;55
"66";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;77;77
"67";2;4;7;7;7;7;15;15;15;15;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;79
"68";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;64;64;64;64;64;64;64;64
"69";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;65;65;65;65;65;65;65;65
"70";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;70;70;70;70;70
"71";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;77;77
"72";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;54;54;54;54;54;54;54;54;54;54;54;54;54
"73";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;66;66;66;66;66;66;66
"74";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63;63;63;63;63;63
"75";2;4;6;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
"76";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;64;64;64;64;64;64;64;64
"77";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62;62;62;62;62;62
"78";2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56;56;56;56;56;56
"79";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"80";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59;59;59;59;59;59
"81";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;69;69;69;69;69;69
"82";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;43;43;43;43;43;43;54;54;54;54;54;54;54;54;54;54;54;54;54
"83";2;4;6;8;11;12;12;12;12;21;21;21;27;27;27;27;27;27;27;27;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"84";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;73;73;73;73
"85";2;4;6;8;11;13;13;17;17;17;17;17;17;17;17;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;66;66;66;66;66;66;66
"86";2;4;6;8;11;12;12;12;12;21;21;21;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;72;72;72;72
"87";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61;61;61;61;61;61
"88";2;4;6;9;9;9;9;9;18;18;18;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;58;58;58;58;58;58;58;58;58;58;58
"89";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;34;34;34;34;34;34;34;49;49;49;49;49;49;60;60;60;60;60;60;60;60;60;60
"90";2;4;7;7;7;7;14;14;14;14;14;14;14;14;14;14;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;76;76
"91";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63;63;63;63;63;63
"92";2;4;6;8;11;13;13;16;16;16;16;16;16;16;30;30;30;30;30;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;75;75;75
"93";2;4;7;7;7;7;15;15;15;15;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"94";2;4;6;9;9;9;9;9;18;18;18;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63;63;63;63;63;63
