"";"*rts_a";"*rts_i"
"emji_montagne_enneigée";9;2
"4";9;36
"emji_biceps_contracté_peau_légèrement_mate";7;18
"pendant";22;0
"emji_skieur";4;9
"ouiiiii";11;1
"exister";21;3
"visage";9;1
"printemps";11;0
"emji_v_de_la_victoire";16;31
"élégance";18;1
"emji_fleur_de_cerisier";32;3
"vérité";9;2
"espérer";29;9
"lucidité";14;1
"laisser";9;1
"yes";7;6
"autres";23;5
"seul";10;2
"omg";8;3
"façon";19;1
"quelqu_un";15;2
"emji_mains_levées_peau_claire";20;18
"mieux";40;17
"naturel";36;1
"wow";25;8
"comment";32;5
"it";23;3
"réponse";14;1
"cool";20;9
"voilà";36;3
"merveille";15;4
"chouette";32;0
"émotion";20;1
"emji_cornes_avec_les_doigts_peau_claire";4;9
"donc";16;2
"emji_poing_levé";14;8
"emji_bouquet";12;3
"80";29;1
"rip";15;51
"emji_biceps_contracté_peau_mate";3;10
"neuch";8;5
"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";31;12
"bonnard";10;0
"emji_applaudissements_peau_légèrement_mate";13;38
"emji_poing_levé_peau_claire";9;4
"donner";21;4
"ici";12;10
"exemple";16;3
"celui";11;2
"souhaiter";17;12
"sincère";13;9
"gentillesse";19;1
"concert";12;3
"où";34;3
"venir";21;5
"exactement";22;8
"voyage";12;4
"emji_drapeau_brésil";11;53
"santé";8;2
"emji_visage_retenant_ses_larmes";187;20
"good";9;1
"game";10;2
"ohhh";10;6
"gentil";29;0
"garder";9;1
"chance";29;6
"bénir";22;3
"emji_mains_en_prière_peau_mate";16;9
"maturité";12;0
"emji_mains_qui_forment_un_coeur";71;34
"talentueux";8;6
"emji_trace_de_rouge_à_lèvres";24;2
"acteur";26;13
"best";20;7
"tête";12;1
"90";18;0
"emji_visage_souriant";38;2
"emji_poignée_de_main";13;2
"ct";10;0
"coeur";83;13
"soir";6;4
"emji_mains_levées_peau_légèrement_mate";8;6
"emji_mains_en_prière_peau_légèrement_mate";20;21
"maman";15;2
"exprimer";15;1
"arrière";19;0
"ta";7;4
"sinon";5;6
"moins";26;12
"pareil";27;2
"retraite";7;3
"sans";34;11
"doute";6;4
"emji_croix_latine";9;6
"intelligent";20;2
"emji_conifère";11;5
"mère";15;1
"mêmes";10;0
"60";15;1
"valoir";12;7
"amen";12;3
"cenovis";1;12
"oeil";21;1
"amuser";14;0
"to";13;6
"humain";24;4
"fin";16;5
"genre";13;3
"celle";10;0
"prendre";19;5
"france";9;4
"mettre";15;5
"emji_poing_levé_peau_légèrement_mate";6;4
"presque";10;1
"20";6;4
"charmant";23;0
"métier";5;5
