"";"X.rts_a";"X.rts_i"
"emji_étourdissement";-1,7592;1,7592
"emji_confettis";-0,5316;0,5316
"emji_téléphone_portable";0,6387;-0,6387
"emji_mains_qui_forment_un_coeur_peau_légèrement_mate";0,2208;-0,2208
"emji_homme_avec_la_paume_sur_le_visage_peau_légèrement_mate";-4,8913;4,8913
"emji_personne_qui_hausse_les_épaules_peau_claire";-1,1646;1,1646
"emji_soleil_avec_visage";0,4623;-0,4623
"emji_pouce_vers_le_bas_peau_claire";-1,1045;1,1045
"emji_bouton_coché";-1,2155;1,2155
"emji_visage_qui_fait_un_salut_militaire";-0,706;0,706
"emji_doigts_croisés";-7,6515;7,6515
"emji_personne_qui_hausse_les_épaules";-3,4399;3,4399
"emji_coeur_battant";0,5911;-0,5911
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";-0,5003;0,5003
"emji_coeur_avec_bandages";-4,5657;4,5657
"emji_main_qui_écrit";-3,647;3,647
"emji_pop_corn";-4,8913;4,8913
"emji_tête_qui_parle";0,2567;-0,2567
"emji_symbole_d_avertissement";-3,4699;3,4699
"emji_femme_avec_la_paume_sur_le_visage";-6,3651;6,3651
"emji_drapeau_brésil";-3,2415;3,2415
"emji_point_d_interrogation_rouge";-3,2415;3,2415
"emji_double_point_d_exclamation";-0,8855;0,8855
"emji_visage_déguisé";-2,8421;2,8421
"emji_argent_dans_les_yeux_et_la_bouche";-1,6916;1,6916
"emji_empreintes_d_animaux";-0,5316;0,5316
"emji_drapeau_île_clipperton";-0,9729;0,9729
"emji_croix";-1,4944;1,4944
"emji_arc_en_ciel";-0,5003;0,5003
"emji_drapeau_israël";-25,0218;25,0218
"emji_drapeau_italie";3,2201;-3,2201
"emji_coeurs_qui_tournent";0,6892;-0,6892
"emji_femme_qui_hausse_les_épaules_peau_légèrement_mate";-3,9065;3,9065
"emji_billet_avec_des_ailes";-3,0753;3,0753
"emji_renard";12,9565;-12,9565
"emji_applaudissements_peau_légèrement_mate";-3,3899;3,3899
"emji_pêche";-0,6631;0,6631
"emji_index_pointant_vers_l_utilisateur";-4,6985;4,6985
"emji_chat";0,5917;-0,5917
"emji_visage_avec_des_valises_sous_les_yeux";-6,1703;6,1703
"emji_chaînons";-7,1199;7,1199
"emji_ninja_peau_mate";-10,4441;10,4441
"emji_drapeau_territoires_palestiniens";-36,5981;36,5981
"emji_drapeau_sénégal";-7,1199;7,1199
"emji_langue";-6,6451;6,6451
