"";"banalfreq";"X.rts_a";"X.rts_i"
"vaud";124;0,2853;-0,2853
"sensibiliser";13;0,2794;-0,2794
"espace";114;-1,1816;1,1816
"entièrement";67;-0,3492;0,3492
"consacrer";22;-1,9064;1,9064
"lausanne";296;-0,827;0,827
"ses";1352;0,54;-0,54
"indignation";23;-1,5702;1,5702
"conduire";94;-0,4949;0,4949
"genève";590;-1,507;1,507
"comparer";180;0,3837;-0,3837
"grèce";11;0,2522;-0,2522
"72";24;0,489;-0,489
"turquie";44;0,3498;-0,3498
"toute";1050;-0,2979;0,2979
"côte";23;0,3879;-0,3879
"87";17;1,197;-1,197
"quelques";423;-0,6618;0,6618
"voyage";116;-0,3551;0,3551
"destination";17;-0,4702;0,4702
"recommander";33;0,4734;-0,4734
"chacun";310;0,9881;-0,9881
"donner";1333;-1,6152;1,6152
"goût";128;1,5942;-1,5942
"hasard";93;-0,5563;0,5563
"découverte";32;0,7578;-0,7578
"notre";1343;-1,3075;1,3075
"urbain";15;-0,2979;0,2979
"vent";57;0,3816;-0,3816
"remonter";61;1,9993;-1,9993
"image";315;0,5396;-0,5396
"gros";544;-0,6323;0,6323
"carrément";75;1,0835;-1,0835
"éclater";39;1,156;-1,156
"bagnole";20;0,9929;-0,9929
"réseau";265;0,3273;-0,3273
"perdre";589;-0,9715;0,9715
"taper";108;0,3494;-0,3494
"facebook";11;-0,356;0,356
"street";11;1,3129;-1,3129
"minute";122;0,4989;-0,4989
"roller";25;1,9442;-1,9442
"lorsque";171;-0,4663;0,4663
"descendre";63;-0,6243;0,6243
"affronter";23;-0,8279;0,8279
"bus";101;-0,321;0,321
"emji_visage_en_pleine_réflexion";551;0,852;-0,852
"rip";44;-1,0954;1,0954
"redescendre";18;-0,5685;0,5685
"bord";64;-0,5435;0,5435
"recyclage";28;0,9966;-0,9966
"naïf";44;-0,4986;0,4986
"réchauffement";82;-0,8885;0,8885
"grippe";19;-0,2583;0,2583
"rassurant";18;0,2569;-0,2569
"repos";23;1,1571;-1,1571
"essence";40;-0,2822;0,2822
"électrique";58;-0,2686;0,2686
"exactement";385;1,2561;-1,2561
"écologie";58;-1,4271;1,4271
"vélo";147;-0,827;0,827
"écolo";26;0,9934;-0,9934
"difficulté";77;0,3113;-0,3113
"entourer";52;0,6898;-0,6898
"mégot";16;0,6681;-0,6681
"terre";381;-1,384;1,384
"herbe";17;1,6603;-1,6603
"impeccable";11;1,3129;-1,3129
"bâton";33;0,8806;-0,8806
"inclure";37;-1,8808;1,8808
"quatre";41;0,7091;-0,7091
"dessus";239;-0,4669;0,4669
"ho";32;1,2989;-1,2989
"mètre";33;0,3273;-0,3273
"véritable";89;-0,594;0,594
"bras";90;1,071;-1,071
"retour";193;0,4669;-0,4669
"certainement";167;1,3732;-1,3732
"écrire";551;-1,7599;1,7599
"ok";334;0,5751;-0,5751
"ca";746;0,9783;-0,9783
"berger";14;0,3929;-0,3929
"hyper";101;0,8978;-0,8978
"sensible";44;0,3498;-0,3498
"différence";286;-0,7342;0,7342
"emji_coeur_noir";15;1,7279;-1,7279
"culturel";68;-1,6211;1,6211
"qqn";37;-1,5116;1,5116
"boisson";12;-0,2419;0,2419
"préciser";74;-0,8526;0,8526
"niveau";682;-0,6253;0,6253
"élevé";137;-0,2947;0,2947
"conclusion";50;-1,7305;1,7305
"chef";91;-0,5747;0,5747
"changement";186;-0,6522;0,6522
"vivement";86;-0,6886;0,6886
"sérieux";220;-1,1659;1,1659
"courir";161;0,4759;-0,4759
"helvétique";23;-0,3719;0,3719
"emji_visage_de_geek";105;-0,3021;0,3021
"emji_cotillons";37;1,7823;-1,7823
"sembler";394;0,4045;-0,4045
"mémoire";91;0,8429;-0,8429
"revenir";537;-0,6332;0,6332
"hahah";18;0,9973;-0,9973
"nord";116;1,049;-1,049
"2021";38;0,792;-0,792
"identique";22;0,4717;-0,4717
"férié";18;0,9973;-0,9973
"façon";429;0,6881;-0,6881
"diviser";51;-1,2626;1,2626
"différents";109;1,2486;-1,2486
"accorder";49;-1,9447;1,9447
"malgré";196;0,9563;-0,9563
"arriver";830;0,3405;-0,3405
"celle_ci";35;-0,3857;0,3857
"coucher";58;1,858;-1,858
"langue";337;-1,0878;1,0878
"pur";122;1,3937;-1,3937
"toutes";933;1,4814;-1,4814
"tendre";56;0,7149;-0,7149
"adolescent";27;0,6155;-0,6155
"confiance";104;-1,1852;1,1852
"page";77;-0,8866;0,8866
"svp";201;0,3728;-0,3728
"oups";28;-0,5726;0,5726
"désolé";147;1,0046;-1,0046
"doute";221;-0,6299;0,6299
"cerveau";149;1,5988;-1,5988
"détendre";27;1,1477;-1,1477
"utiliser";829;1,2683;-1,2683
"envoyer";250;-0,8956;0,8956
"décevoir";47;1,4378;-1,4378
"prêt";158;1,8952;-1,8952
"armoire";13;1,8203;-1,8203
"savoyard";24;0,7121;-0,7121
"haut";316;-0,3222;0,3222
"descente";30;1,6579;-1,6579
"louper";38;1,0239;-1,0239
"emji_visage_roulant_des_yeux";453;1,938;-1,938
"emji_fondue";22;0,9912;-0,9912
"posts";16;-0,9684;0,9684
"intégralité";12;1,0404;-1,0404
"version";66;1,3525;-1,3525
"long";305;-0,9737;0,9737
"oeil";365;0,8518;-0,8518
"bio";75;-1,7806;1,7806
"envie";290;1,6189;-1,6189
"dos";128;0,9721;-0,9721
"moment";733;-0,9016;0,9016
"célèbre";16;0,2344;-0,2344
"nul";75;-0,3899;0,3899
"grimper";17;-0,7436;0,7436
"pilier";30;-1,7242;1,7242
"pont";30;-0,5357;0,5357
"mur";81;-0,5544;0,5544
"fribourg";84;0,4908;-0,4908
"escalade";15;-0,8303;0,8303
"artificiel";44;0,6377;-0,6377
"créatif";22;1,7782;-1,7782
"pis";60;-0,3484;0,3484
"champion";94;-0,319;0,319
"artiste";96;-1,9954;1,9954
"tennis";10;1,0744;-1,0744
"we";12;1,5621;-1,5621
"lover";16;0,4144;-0,4144
"you";24;-0,6629;0,6629
"emji_tête_à_l_envers";110;0,7495;-0,7495
"crier";101;-0,9904;0,9904
"direct";152;-1,8744;1,8744
"tour";138;0,4902;-0,4902
"mauvais";412;0,3691;-0,3691
"quotidien";113;-1,6555;1,6555
"cuisinier";11;1,3129;-1,3129
"pousser";138;-1,9881;1,9881
"aberrant";34;-1,1608;1,1608
"bêtement";16;0,2344;-0,2344
"suivant";71;1,0639;-1,0639
"sacrifier";11;0,2522;-0,2522
"foutre";374;-0,8078;0,8078
"crever";68;-0,3912;0,3912
"avenir";111;-1,3188;1,3188
"restauration";20;-1,1334;1,1334
"numéro";50;-1,7305;1,7305
"maltraiter";44;0,6377;-0,6377
"cure";14;0,6582;-0,6582
"emji_visage_qui_vomit";96;1,4628;-1,4628
"politesse";15;0,3042;-0,3042
"emji_tête_de_fou";111;1,4317;-1,4317
"beurre";35;0,489;-0,489
"horrifier";12;-0,794;0,794
"sucre";37;1,7823;-1,7823
"secret";67;1,0442;-1,0442
"extra";27;0,8555;-0,8555
"mdrrrr";26;0,9934;-0,9934
"lendemain";52;1,8722;-1,8722
"12";136;1,0132;-1,0132
"répondre";441;1,9953;-1,9953
"pertinent";80;-1,2919;1,2919
"hein";318;1,2046;-1,2046
"efficace";71;-1,6527;1,6527
"bah";515;-0,2958;0,2958
"vrmt";21;-0,3995;0,3995
"veille";21;1,1659;-1,1659
"jpp";16;0,6681;-0,6681
"signe";70;-0,3767;0,3767
"hauteur";54;0,3109;-0,3109
"précision";46;1,3013;-1,3013
"tjr";33;-0,408;0,408
"loto";10;1,0744;-1,0744
"typiquement";16;1,9749;-1,9749
"fois";1138;-1,3333;1,3333
"hahahaha";17;0,8267;-0,8267
"présent";135;-0,5239;0,5239
"satisfaire";48;1,0613;-1,0613
"tel";150;-0,6438;0,6438
"x";97;0,5114;-0,5114
"connerie";121;-1,1494;1,1494
"présenter";153;-1,2744;1,2744
"insta";67;0,3425;-0,3425
"tort";61;0,5267;-0,5267
"men";17;-0,7436;0,7436
"porte";257;-0,2983;0,2983
"malheur";25;0,6011;-0,6011
"janvier";28;-0,254;0,254
"emji_poignée_de_main";17;0,3271;-0,3271
"bernard";52;1,8722;-1,8722
"profondeur";15;0,523;-0,523
"chercher";437;-1,3035;1,3035
"diversité";29;-0,4606;0,4606
"attitude";24;0,7121;-0,7121
"facile";300;-1,4692;1,4692
"passionnant";20;0,9929;-0,9929
"envisager";21;-0,9048;0,9048
"auprès_de";33;-0,7912;0,7912
"e";238;-0,806;0,806
"30";281;0,4812;-0,4812
"catastrophique";34;-0,4738;0,4738
"normalement";48;0,3779;-0,3779
"tiers";32;-0,503;0,503
"what";11;0,8339;-0,8339
"25";158;0,3601;-0,3601
"réparer";22;-1,0289;1,0289
"traumatisme";31;1,842;-1,842
"développer";114;-0,8845;0,8845
"1ere";17;1,6603;-1,6603
"main";318;0,8567;-0,8567
"mm";26;0,5057;-0,5057
"bébé";108;0,4293;-0,4293
"réflexe";19;-0,6741;0,6741
"balancer";79;-1,6546;1,6546
"tôt";83;0,5397;-0,5397
"résumé";50;1,5783;-1,5783
"association";82;-1,247;1,247
"enlever";148;-1,7711;1,7711
"rythme";52;0,2982;-0,2982
"doré";11;1,953;-1,953
"chalet";26;0,9934;-0,9934
"emji_biceps_contracté_peau_légèrement_mate";17;0,3271;-0,3271
"emji_biceps_contracté_peau_moyennement_claire";21;0,3687;-0,3687
"aîné";25;1,5151;-1,5151
"répéter";128;-0,7307;0,7307
"preuve";252;-1,7989;1,7989
"inutile";140;-1,0976;1,0976
"peur";336;0,2935;-0,2935
"océan";18;-0,8675;0,8675
"marin";10;-0,2622;0,2622
"spécialiste";36;-0,8316;0,8316
"barbare";12;-0,461;0,461
"emji_visage_boudeur";287;-1,5526;1,5526
"naissance";57;0,995;-0,995
"phénomène";63;-0,6243;0,6243
"propre";413;-0,3997;0,3997
"jeter";126;-0,5422;0,5422
"nager";11;1,953;-1,953
"flotte";16;1,9749;-1,9749
"parfaitement";100;0,5801;-0,5801
"terrifiant";16;1,4369;-1,4369
"mer";48;0,5079;-0,5079
"env";14;-1,0982;1,0982
"brutal";26;-0,2686;0,2686
"liquide";26;1,7059;-1,7059
"pendant";566;-1,1982;1,1982
"bb";28;-0,8049;0,8049
"seul";1115;-0,9946;0,9946
"trois";117;0,2871;-0,2871
"renoncer";21;-0,6169;0,6169
"dignité";38;-0,4238;0,4238
"reposer";120;0,4058;-0,4058
"sûr";634;-0,6967;0,6967
"content";227;0,3045;-0,3045
"ptit";18;0,9973;-0,9973
"définir";43;0,2878;-0,2878
"type";254;-0,5554;0,5554
"salutation";20;1,37;-1,37
"derrière";249;0,3743;-0,3743
"malade";131;-0,3873;0,3873
"voici";47;0,4327;-0,4327
"celle";251;1,2673;-1,2673
"conversation";34;1,0112;-1,0112
"excuser";132;-0,5005;0,5005
"mélanger";67;-1,5252;1,5252
"boule";31;0,6433;-0,6433
"moto";56;0,7149;-0,7149
"tomber";308;1,0681;-1,0681
"chui";10;0,3437;-0,3437
"intéresser";179;-1,4828;1,4828
"blâmer";38;-1,3049;1,3049
"dégager";39;0,2594;-0,2594
"connaissance";126;1,5858;-1,5858
"agression";58;-1,1823;1,1823
"meme";275;-0,3809;0,3809
"normal";435;-1,5022;1,5022
"insulter";114;1,9339;-1,9339
"réciproque";10;0,6421;-0,6421
"insulte";26;0,7235;-0,7235
"sexisme";22;0,2983;-0,2983
"bcp";202;-0,8055;0,8055
"eh";118;1,2111;-1,2111
"debut";17;0,8267;-0,8267
"pétard";10;1,6702;-1,6702
"féministe";105;0,7847;-0,7847
"vierge";26;0,336;-0,336
"vide";95;1,0155;-1,0155
"propos";272;-1,0975;1,0975
"vérité";253;0,6355;-0,6355
"irrespectueux";15;0,3042;-0,3042
"vulgaire";20;1,8283;-1,8283
"franchise";26;-0,8683;0,8683
"déranger";163;-1,7488;1,7488
"waw";12;1,5621;-1,5621
"spirituel";11;1,953;-1,953
"ramasser";59;-0,5327;0,5327
"terriblement";20;1,8283;-1,8283
"lumière";102;0,4889;-0,4889
"ramener";97;0,6191;-0,6191
"réaction";78;-0,3259;0,3259
"comportement";128;-0,4423;0,4423
"signaler";34;-0,6581;0,6581
"plaire";159;1,1951;-1,1951
"plaie";14;-0,6992;0,6992
"silence";73;-0,6409;0,6409
"harcèlement";55;-0,742;0,742
"rdv";19;0,3485;-0,3485
"influence";48;-0,9856;0,9856
"expo";13;0,8272;-0,8272
"site";110;-1,6231;1,6231
"parc";40;-0,7394;0,7394
"activité";103;0,291;-0,291
"thème";23;1,1571;-1,1571
"amical";10;1,0744;-1,0744
"laid";10;1,6702;-1,6702
"résister";27;-1,314;1,314
"pire";454;0,4368;-0,4368
"parallèle";35;-1,2741;1,2741
"adresse";51;-0,2633;0,2633
"office";34;-1,488;1,488
"foyer";90;-1,9341;1,9341
"prince";40;1,2947;-1,2947
"moderne";66;-0,4065;0,4065
"nuit";152;1,094;-1,094
"avance";143;1,5723;-1,5723
"nécessiter";20;-1,1334;1,1334
"emji_coeur_jaune";16;1,9749;-1,9749
"aborder";27;-1,7204;1,7204
"supposer";51;0,3423;-0,3423
"banaliser";28;-0,8049;0,8049
"standard";32;0,5528;-0,5528
"fil";44;0,8258;-0,8258
"ainsi";311;-0,6324;0,6324
"violet";13;1,8203;-1,8203
"ooh";13;0,5056;-0,5056
"quels";96;-0,3879;0,3879
"souffrir";114;0,3064;-0,3064
"co";57;0,2831;-0,2831
"confirmer";119;-0,7634;0,7634
"emji_yeux";106;-0,6038;0,6038
"math";11;0,8339;-0,8339
"emji_femme_qui_hausse_les_épaules";76;0,6863;-0,6863
"note";47;0,5758;-0,5758
"ahhhh";11;1,3129;-1,3129
"anglais";116;1,2012;-1,2012
"tourner";213;-0,2941;0,2941
"vers";275;0,9718;-0,9718
"grace";14;-0,6992;0,6992
"merde";191;1,7837;-1,7837
"moral";53;-1,4625;1,4625
"sinon";387;-0,707;0,707
"résumer";33;-1,0516;1,0516
"ménage";115;-0,4831;0,4831
"esclave";36;-0,3117;0,3117
"tranquille";104;-1,1852;1,1852
"ambition";11;0,2522;-0,2522
"vomir";35;0,3434;-0,3434
"misogynie";16;0,6681;-0,6681
"apparemment";134;-1,3374;1,3374
"incapable";76;0,3484;-0,3484
"habitude";149;0,3558;-0,3558
"35";65;1,2386;-1,2386
"expérience";123;1,8592;-1,8592
"renouveler";11;-0,356;0,356
"course";159;1,4841;-1,4841
"lessive";14;0,6582;-0,6582
"divers";33;-1,7334;1,7334
"extérieur";57;1,2089;-1,2089
"infirmier";40;-0,9631;0,9631
"30ans";13;1,2593;-1,2593
"valoir";385;0,928;-0,928
"aise";37;0,5043;-0,5043
"misogyne";25;1,1512;-1,1512
"stérile";14;-0,6992;0,6992
"déplaire";44;-0,3641;0,3641
"fameux";139;0,8424;-0,8424
"progrès";47;0,5758;-0,5758
"catastrophe";87;-0,317;0,317
"2005";28;0,7349;-0,7349
"2008";29;1,1461;-1,1461
"journal";67;1,0442;-1,0442
"répartir";13;-0,5757;0,5757
"préjugé";18;0,4345;-0,4345
"actuel";290;1,5014;-1,5014
"familial";57;-1,0953;1,0953
"conserver";24;1,332;-1,332
"auparavant";19;-0,2583;0,2583
"généralisé";16;0,6681;-0,6681
"évoquer";36;0,4198;-0,4198
"pape";11;0,8339;-0,8339
"abandonner";68;1,147;-1,147
"carrière";55;0,271;-0,271
"cest";201;0,7358;-0,7358
"désolant";10;-0,5203;0,5203
"trans";19;-0,6741;0,6741
"retourner";182;0,6078;-0,6078
"bobo";32;1,2989;-1,2989
"raisonnement";87;-0,6141;0,6141
"ect";58;0,7272;-0,7272
"fermeture";20;0,6896;-0,6896
"insultant";24;0,489;-0,489
"désaccord";11;0,2522;-0,2522
"story";14;1,019;-1,019
"excellence";12;-0,461;0,461
"euh";66;0,4959;-0,4959
"emji_coeur_violet";42;1,9223;-1,9223
"amalgame";17;0,8267;-0,8267
"rarement";48;1,5798;-1,5798
"soumettre";77;0,6254;-0,6254
"recherche";128;-1,6221;1,6221
"honnête";68;-1,3748;1,3748
"vice";18;-0,3502;0,3502
"perfection";15;1,7279;-1,7279
"cesse";50;-1,4308;1,4308
"boire";124;1,9639;-1,9639
"constamment";33;-1,0516;1,0516
"intensité";13;-0,5757;0,5757
"humanisme";13;-0,5757;0,5757
"emji_homme_avec_la_paume_sur_le_visage";37;-1,8808;1,8808
"endroit";185;0,8521;-0,8521
"ensemble";181;0,3023;-0,3023
"totalité";22;-1,4201;1,4201
"remarquable";13;0,5056;-0,5056
"briser";39;0,6963;-0,6963
"craquer";12;1,5621;-1,5621
"somme";47;-0,8998;0,8998
"fumée";38;-0,5849;0,5849
"cigarette";63;-0,3774;0,3774
"mortel";31;-1,8682;1,8682
"impossible";140;0,5871;-0,5871
"abuser";70;-0,9204;0,9204
"lucide";23;0,8411;-0,8411
"vin";91;0,4786;-0,4786
"qualité";219;-1,359;1,359
"forcément";184;-1,3405;1,3405
"nu";59;1,2161;-1,2161
"conscience";162;-1,0868;1,0868
"ressortir";28;-0,254;0,254
"puissance";53;1,1951;-1,1951
"appui";12;-1,2741;1,2741
"fuite";35;-1,6156;1,6156
"clé";42;-0,6997;0,6997
"entretien";38;-1,3049;1,3049
"dépression";37;-1,1943;1,1943
"ceci";114;-0,4457;0,4457
"psy";46;-0,6304;0,6304
"générosité";13;1,8203;-1,8203
"appel";79;-1,2129;1,2129
"clair";218;-1,0737;1,0737
"solitude";50;-0,4318;0,4318
"interroger";48;1,0613;-1,0613
"souligner";43;-1,0009;1,0009
"livrer";25;0,6011;-0,6011
"comble";13;-0,3238;0,3238
"quelqu_un";374;0,3128;-0,3128
"instruit";15;1,2227;-1,2227
"probablement";129;-0,5669;0,5669
"consulter";40;-0,9631;0,9631
"sincérité";11;1,3129;-1,3129
"douleur";37;0,359;-0,359
"parmi";94;-1,1924;1,1924
"saluer";22;-0,7194;0,7194
"profond";60;0,3485;-0,3485
"concurrence";35;-0,2625;0,2625
"vincent";25;1,1512;-1,1512
"cent";19;0,5557;-0,5557
"carré";21;0,835;-0,835
"dimension";19;-0,4318;0,4318
"ouïr";10;0,6421;-0,6421
"goûter";35;0,489;-0,489
"intérieur";91;0,8429;-0,8429
"caractère";25;1,5151;-1,5151
"certe";13;0,5056;-0,5056
"allah";27;1,4958;-1,4958
"dépendre";150;0,6355;-0,6355
"divin";25;1,9442;-1,9442
"prévenir";35;-1,2741;1,2741
"physiquement";29;0,6295;-0,6295
"seconde";106;0,9969;-0,9969
"albert";13;1,2593;-1,2593
"théorie";66;-1,4318;1,4318
"certain";187;-0,5251;0,5251
"paraître";125;0,3908;-0,3908
"possession";19;0,3485;-0,3485
"ironie";38;-1,6356;1,6356
"mâle";20;0,9929;-0,9929
"apparaître";53;0,3555;-0,3555
"cruauté";13;0,2794;-0,2794
"légalement";12;-1,9552;1,9552
"psychologie";11;0,2522;-0,2522
"perturbateur";11;0,8339;-0,8339
"prédateur";29;1,4806;-1,4806
"sexuel";65;-0,2732;0,2732
"appareil";32;1,0057;-1,0057
"contacter";28;-1,4468;1,4468
"autrement";83;-0,6575;0,6575
"concept";87;-0,6141;0,6141
"indicateur";11;-0,6528;0,6528
"pain";162;1,0178;-1,0178
"suite";248;1,093;-1,093
"machine";107;0,5651;-0,5651
"infernal";10;1,0744;-1,0744
"64";16;1,9749;-1,9749
"redonner";25;-0,5276;0,5276
"auto";57;0,6419;-0,6419
"apporter";164;-1,9988;1,9988
"forêt";79;1,9849;-1,9849
"texte";75;-0,3014;0,3014
"jaloux";37;0,8987;-0,8987
"f";45;-0,9481;0,9481
"1940";16;0,4144;-0,4144
"1945";20;-0,3252;0,3252
"tribune";23;1,5394;-1,5394
"inquiétude";10;-0,9248;0,9248
"lausannois";18;-0,3502;0,3502
"réunir";43;0,2878;-0,2878
"ouvrage";21;0,835;-0,835
"tirer";194;1,1738;-1,1738
"exemplaire";26;-1,5737;1,5737
"centrale";25;-1,0612;1,0612
"bibliothèque";13;0,2794;-0,2794
"décès";23;-0,8279;0,8279
"ré";10;0,3437;-0,3437
"édition";29;0,6295;-0,6295
"passage";145;1,5811;-1,5811
"angle";10;-0,2622;0,2622
"ohlala";10;1,6702;-1,6702
"taliban";15;-1,2595;1,2595
"fribourgeois";31;1,146;-1,146
"v";53;-0,3478;0,3478
"mini";28;0,3538;-0,3538
"inapproprié";12;-0,2419;0,2419
"romain";27;-0,3269;0,3269
"scolaire";78;1,1921;-1,1921
"emji_applaudissements_peau_moyennement_claire";40;-0,2822;0,2822
"personnalité";35;0,8895;-0,8895
"9";112;-0,5529;0,5529
"avril";36;1,2944;-1,2944
"marquer";63;1,0245;-1,0245
"cinéma";85;-0,6353;0,6353
"durant";109;-0,7487;0,7487
"aïe";39;0,908;-0,908
"emji_visage_stupéfait";15;1,2227;-1,2227
"voiler";43;0,9269;-0,9269
"challenge";17;1,197;-1,197
"cou";25;1,9442;-1,9442
"renseignement";11;0,2522;-0,2522
"lgbt";30;-0,7498;0,7498
"be";15;-0,2979;0,2979
"like";23;0,5864;-0,5864
"emji_oeil";15;0,523;-0,523
"boucle";29;1,4806;-1,4806
