"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"mass";"chi.distance";"inertie"
"bio";1,01893229014766;-0,228426440776764;0,397308508813929;0,125480022778449;0,13384272438607;-0,114976015324015;0,147287560662046;0,887934257479609;-0,199059018976062;0,346228929218547;0,109347806455481;0,116635365515377;-0,100194236439301;0,128351679573806;0,849172860705637;0,0327050266017465;0,0879085420973015;0,00806553408069646;0,00827455229774444;0,00570828291809522;0,00816520129878464;0,00413598844268258;0,000207865020084287;0,000628846137879415;6,27245917864451e-05;7,13638385788456e-05;5,26627062085613e-05;8,64213019992807e-05;0,0039837187148177;0,658004056737221;0,00172482805745227
"lien";1,06070164733505;0,0188551954599103;0,370736208378656;0,14518308544694;0,111514575917299;-0,110347904255422;0,372664574812445;0,881637908966559;0,0156721309335161;0,30814988960784;0,120673812652543;0,092689096672973;-0,0917193782163159;0,309752716335486;0,859169722907199;0,000208051504614416;0,0714648317756259;0,0100809861686275;0,00536296873846239;0,00490914866385853;0,0488042902416176;0,00418972749115347;1,32391885517893e-06;0,000511834195611694;7,8493073256726e-05;4,63086972899147e-05;4,5344797684528e-05;0,000517172604898766;0,00372391097254698;0,680981102128169;0,00172690882849181
"diffuser";4,05062437019808;1,41992969741196;-0,477611805898684;-0,619397344280753;-0,197467589537655;0,231977084305033;-0,0345389097665448;0,926125600811522;0,324649516701907;-0,109200083806084;-0,141617608839158;-0,0451485433571372;0,0530387162426514;-0,00789689826444017;0,891753293259998;0,0839751464720137;0,00844152238596308;0,0130592415536324;0,00119685611400714;0,00154410375188856;2,9836462500164e-05;0,068204968723066;0,00838119135606096;0,000948248530563999;0,0015948166073351;0,000162092798826966;0,000223698072819598;4,95894533795385e-06;0,00415692387633152;2,55258909211635;0,0270853149314269
"aller";-0,62251028173862;0,417453913702412;-1,21626377217248;0,801058769974623;0,0710339341666348;-0,484419805774325;0,32067851488102;-0,357899162348427;0,240006326668028;-0,699265213804196;0,460551851392806;0,0408394628688663;-0,278506954499451;0,184367351392992;0,184161169491129;0,0634655994289415;0,478663639642166;0,190990718743462;0,00135421075018656;0,0588754604565206;0,0224892014875948;0,00117460524642421;0,000528221352064703;0,00448388453472527;0,00194503597067325;1,5294335594669e-05;0,000711283379919045;0,000311701294424558;0,00303109032649173;0,863234512853808;0,00225868917003276
"samedi";4,09819284434542;1,35352849984427;-0,488537817024928;-0,306371780683864;-0,0923882535386447;0,223930870060588;0,143302279506917;0,93922713552524;0,310202751321129;-0,111963490227939;-0,0702145313572802;-0,0211736143278394;0,0513206570873984;0,0328421317901689;0,909757415672783;0,0760487251624831;0,00880252137389426;0,00318432100967005;0,000261110208563539;0,00143401695366505;0,00051188961894463;0,0712708101569893;0,00777430766386453;0,00101279905902058;0,000398312958514824;3,62209994114596e-05;0,000212791780872825;8,71431213546422e-05;0,00424352645708842;2,55688318585302;0,0277426976425736
"fête";-0,209197336486452;-1,01090962233635;-0,260889526621328;-0,501735667806459;-2,14011265942318;-0,210496877671771;-0,5180216136881;-0,0834905164878065;-0,403453351313685;-0,10412083485243;-0,200242368039082;-0,854117525004465;-0,0840091625020522;-0,206742078102258;0,0116257740288831;0,208041771117897;0,0123109836807807;0,041883023428737;0,687119638845478;0,00621421707754227;0,0328045918206799;0,000151601370375078;0,00354009964330901;0,000235778453626745;0,000872048775783123;0,0158658775267112;0,000153490726628786;0,000929579604219356;0,00346410323027626;1,15458659472889;0,00461789280238211
"aimer";-0,786266304134442;1,04378280811681;1,19936009050876;0,39883931392508;0,0585944084460609;-0,501255241361025;0,739457005630018;-0,387991347168142;0,515065564609189;0,591836804921289;0,196811438948488;0,0289140248665931;-0,247349651572379;0,364892808300041;0,211834963393243;0,286084875489558;0,335604202692151;0,0341375801321749;0,000664385546079357;0,0454529102419753;0,0862210825048182;0,00203448156565817;0,00358537602145735;0,00473384046200718;0,000523492364824169;1,12986558104672e-05;0,000826860573802042;0,00179945208284939;0,00329089806876245;1,01660476697094;0,00340109462065174
"heure";-0,408732224706365;-0,200578438088493;-0,495356331625843;0,886851661903331;-0,579423210154747;-0,394133698228837;1,97248043774827;-0,172399031251313;-0,0846019137375324;-0,208936184950551;0,374064872143589;-0,244394726124095;-0,166241523547509;0,831971878102498;0,0572212316433335;0,0105600078076407;0,057224864178818;0,168717413687161;0,0649412633033088;0,028090023844507;0,613245195535232;0,000491912104568815;0,000118461776572673;0,000722512205731499;0,00231585689681335;0,000988556570524387;0,00045740076649384;0,0114560568656955;0,00294448774573482;1,01681414034516;0,00304433825791977
"clip";4,37475728313216;1,52462977448023;-0,490612936999229;-0,438283170475472;-0,228170632142017;0,281248899152222;-0,0338616424131021;0,932106303469569;0,324844769955544;-0,104532293232343;-0,0933826677607873;-0,0486151049582208;0,0599242094537349;-0,00721472033677885;0,899546649813237;0,0837261004390286;0,00770306649891402;0,00565462555753105;0,00138192594217902;0,00196283121096077;2,48005381527303e-05;0,0745849621446525;0,00905883066730952;0,000938039960837917;0,000748605368363334;0,000202891026391613;0,000308265562253846;4,46847555305064e-06;0,00389711613406079;2,74488033818479;0,0293623073692651
"passer";-0,385930038292157;0,695112213428796;-0,00248363215450823;-0,137728955736098;-0,476377477757947;-0,726351978665788;2,38698269075991;-0,144803238648956;0,26081022398349;-0,000931873510486438;-0,0516767208237574;-0,178739654223422;-0,272531569129278;0,895610058627718;0,0418403583364215;0,104017012162426;1,17983878382336e-06;0,00333739212877597;0,0360022949250711;0,078245254223439;0,736556508385083;0,000490152921913488;0,00159009938441149;2,02996700267146e-08;6,24259183709994e-05;0,000746821603011248;0,00173623568742053;0,0187505050582422;0,00329089806876245;1,12277357717336;0,00414857358731699
"femme";-0,0277734056135645;-0,0870666847832787;-0,474442552537217;0,0424667480747611;-0,0678922332386856;0,837864103445629;-0,729270372932945;-0,0228782512022924;-0,071720894208588;-0,390820486656559;0,0349818435562811;-0,0559260030379807;0,690187789669214;-0,600734062595505;0,000990271160023176;0,00745789354472676;0,196758279097394;0,001450014572664;0,00334183928686598;0,475804509827593;0,314197192510734;1,67004862599718e-06;1,64125045447969e-05;0,000487346790633996;3,90453081329615e-06;9,97955168904497e-06;0,00151991048723207;0,00115145768779284;0,00216506451892266;0,525210463766939;0,000597224454945621
"jour";-0,121288199464725;0,00351815051115274;1,242893924484;0,61612122050208;0,424549735742781;-0,369069434705963;-0,20049949383373;-0,0800487379209905;0,00232193658968259;0,820294888238876;0,406632519282108;0,280197667051556;-0,243581342486811;-0,132327229738911;0,00983029646566369;6,33832718869024e-06;0,702857912475735;0,158869434481918;0,0680199300881383;0,0480541837641354;0,0123619043972214;3,82198683538447e-05;3,21573993741863e-08;0,00401347183039551;0,000986244111075533;0,000468283913014458;0,000353889965274563;0,000104442834574128;0,0025980774227072;0,727975125301019;0,00137684537037421
"18h45";4,37475728313216;1,52462977448023;-0,490612936999229;-0,438283170475472;-0,228170632142018;0,281248899152222;-0,0338616424131022;0,932106303469569;0,324844769955544;-0,104532293232343;-0,0933826677607874;-0,0486151049582208;0,0599242094537349;-0,00721472033677887;0,899546649813237;0,0837261004390285;0,00770306649891401;0,00565462555753105;0,00138192594217902;0,00196283121096077;2,48005381527304e-05;0,0712700749382235;0,00865621597098465;0,000896349295911787;0,000715334018658296;0,000193873647440875;0,00029456487059812;4,26987663958174e-06;0,00372391097254698;2,74488033818479;0,0280573159306311
"romand";0,387480803484725;-1,08513302648057;-0,148695546202831;-0,0720411184570286;-0,670303586039715;-0,36065537678393;0,399776043428545;0,267760022314508;-0,749857130396139;-0,102752761972394;-0,0497824184117976;-0,463198438584233;-0,249222905669233;0,276256375403776;0,102361861987445;0,615205292615919;0,0102636918684352;0,00221603790772311;0,172993742151037;0,0468174919187199;0,0501418815507189;0,000468094693902317;0,00367112606440803;6,89333295730578e-05;1,61805853422903e-05;0,00140080092738177;0,000405525489643519;0,000498272439281004;0,00311769290724864;0,720713076223586;0,00161941492826084
"premier";0,413992052652848;-1,36814486206955;0,0218639454813411;0,618495788043233;0,674527562870953;-0,161100483317584;-0,366575681625164;0,237380475975066;-0,784485780535613;0,0125366507685252;0,354641649793675;0,386769922046973;-0,0923740182080476;-0,210192222839684;0,0786832617003557;0,658534936395852;0,000149425703203552;0,109989274414484;0,117963394590143;0,00629038983677304;0,0283893173591882;0,000519496811993605;0,00567365659706032;1,44895851046912e-06;0,00115950432094507;0,00137910800706175;7,86669957894315e-05;0,000407311038586937;0,00303109032649173;0,878278245209168;0,00233810025636696
"enfant";-0,200839489991252;1,1289927890535;-0,850895320524544;1,36165123081777;-0,121192224878443;-0,186275941207691;-0,531322364435217;-0,0977119507489149;0,549274885156704;-0,413975566534241;0,66246731660522;-0,0589621528564411;-0,0906265276504464;-0,258497692399798;0,014264139608719;0,345418825431702;0,174328953055694;0,410636571041659;0,00293323184725902;0,0064780817135277;0,0459401973014386;0,000132743312385723;0,00419466002199034;0,0023826853872557;0,00610163460870588;4,8335247605223e-05;0,000114189971279712;0,000929031894696728;0,00329089806876245;1,00070856794553;0,00329556337078586
"homme";-0,444139522373995;0,0664550168063641;-0,576911678617367;0,457212718141756;0,0779137613671987;0,588450154557412;0,486397487356596;-0,384760205703214;0,0575703008814789;-0,499781363637549;0,396085578113028;0,0674970664410067;0,509777200874602;0,421368484138777;0,231174825694977;0,00396619028717266;0,265576869943671;0,153432301401474;0,00401771893584812;0,214242973241939;0,127589120494919;0,000375830790453035;8,41412693272287e-06;0,000634121059006874;0,000398281487128484;1,15659645473686e-05;0,000659740093251071;0,000450750441287765;0,00190525677665194;0,549705966078834;0,000575724108525038
"rencontre";-0,437766137809319;1,18741594250768;2,24827616668706;0,496552094668506;-0,0499109288356984;-0,0176435943695456;-0,32711230211156;-0,165310033360746;0,44839413585371;0,848998074586334;0,187508891724177;-0,0188474543786869;-0,0066626057200968;-0,123524733652026;0,0389586914432687;0,21965550319534;0,699663527272046;0,0313926635681706;0,000285996586320954;3,34102471784326e-05;0,0100102076876723;0,000564279250716601;0,00415159999114295;0,0148836368353308;0,000726004625657673;7,33501582975951e-06;9,16608500685904e-07;0,00031506742691198;0,00294448774573482;1,31983999002721;0,0051292316944099
