"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"météo";-0,303;0,042;-0,288;11,095;-1,294;-0,717;-0,479
"moustache";-0,303;0,042;-0,288;-0,722;0,001;0,302;0,865
"mini";-0,38;10,66;-0,36;-0,903;-0,052;-0,897;-0,6
"mener";-0,38;19,085;-0,36;-0,903;-1,619;-0,897;-0,6
"maître";-0,38;-1,321;8,926;0,088;-0,052;-0,897;0,459
"mars";-0,38;19,085;-0,36;-0,903;-1,619;-0,897;-0,6
"lumière";-0,38;10,66;-0,36;-0,903;-0,052;-0,897;-0,6
"luc";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"lapin";-0,303;-1,056;12,062;0,296;0,001;-0,717;-0,479
"joux";-0,38;19,085;-0,36;-0,903;-1,619;-0,897;-0,6
"joli";-0,303;-1,056;-0,288;0,296;1,428;-0,717;0,865
"jazz";-0,303;15,255;-0,288;-0,722;-1,294;-0,717;-0,479
"interviewer";-0,38;-0,002;8,926;-0,903;-1,619;2,41;-0,6
"interdiction";-0,227;-0,791;-0,216;16,726;-0,97;-0,537;-0,359
"instrument";-0,227;-0,791;3,421;0,762;-0,97;-0,537;1,621
"indispensable";-0,303;-1,056;-0,288;-0,722;12,445;-0,717;-0,479
"imier";1,984;-1,056;-0,288;3,754;0,001;-0,717;-0,479
"idole";-0,38;-0,002;-0,36;0,088;-0,052;0,092;0,459
"htag_liberté";-0,227;-0,791;-0,216;-0,541;9,326;-0,537;-0,359
"helvète";-0,38;-0,002;-0,36;-0,903;-1,619;0,092;12,821
"hardy";1,984;2,071;-0,288;0,296;-1,294;-0,717;-0,479
"gymnastique";-0,38;-0,002;-0,36;2,383;0,664;-0,897;-0,6
"glace";-0,303;2,071;-0,288;0,296;0,001;-0,717;-0,479
"geste";-0,303;-1,056;-0,288;11,095;0,001;-0,717;-0,479
"fumeur";-0,227;-0,791;-0,216;0,762;2,916;-0,537;-0,359
"foule";1,293;10,66;-0,36;-0,903;-1,619;-0,897;-0,6
"fondateur";-0,227;0,285;-0,216;0,762;-0,97;-0,537;1,621
"fleur";-0,38;-1,321;-0,36;-0,903;15,569;-0,897;-0,6
"festif";-0,38;4,672;-0,36;0,088;-0,052;-0,897;-0,6
"fer";-0,303;-1,056;-0,288;22,32;-1,294;-0,717;-0,479
