"";"";"";"";"*postDate_29-9-2025";""
"104";"*a_0451";"4.62847976579404";"0.631885011622477";"1.47371342662195";"149"
"105";"*postLikes_436";"4.62847976579404";"0.631885011622477";"1.47371342662195";"150"
"106";"*postDate_8-7-2023";"4.62847976579404";"0.631885011622477";"1.47371342662195";"151"
"107";"*a_0333";"4.62847976579404";"0.631885011622477";"1.47371342662195";"152"
"108";"*postLikes_516";"4.62847976579404";"0.631885011622477";"1.47371342662195";"153"
"109";"*postDate_16-12-2022";"4.62847976579404";"0.631885011622477";"1.47371342662195";"154"
"110";"*a_0262";"4.62847976579404";"0.631885011622477";"1.47371342662195";"155"
"111";"*postDate_17-8-2022";"4.62847976579404";"0.631885011622477";"1.47371342662195";"156"
"112";"*a_0880";"-0.201942607739154";"-2.5882834770927";"1.38166300451023";"163"
"113";"*postDate_26-6-2025";"-0.201942607739154";"-2.5882834770927";"1.38166300451023";"164"
"114";"*a_0669";"-0.201942607739154";"-2.5882834770927";"1.38166300451023";"165"
"115";"*postLikes_256";"-0.201942607739154";"-2.5882834770927";"1.38166300451023";"166"
"116";"*postDate_15-7-2024";"-0.201942607739154";"-2.5882834770927";"1.38166300451023";"167"
"117";"*postLikes_700";"-0.201942607739154";"-2.5882834770927";"1.38166300451023";"168"
"118";"*postComments_134";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"177"
"119";"*postComments_52";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"178"
"120";"*a_0710";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"179"
"121";"*postComments_50";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"182"
"122";"*postComments_62";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"183"
"123";"*a_0385";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"184"
"124";"*postDate_17-3-2023";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"185"
"125";"*a_0361";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"186"
"126";"*postLikes_392";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"187"
"127";"*postDate_3-2-2023";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"188"
"128";"*postLikes_656";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"190"
"129";"*postDate_15-11-2022";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"191"
"130";"*a_0271";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"192"
"131";"*postLikes_802";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"193"
"132";"*postDate_31-8-2022";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"194"
"133";"*a_0096";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"195"
"134";"*postLikes_829";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"196"
"135";"*postDate_12-11-2021";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"197"
"136";"*a_0007";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"198"
"137";"*postComments_132";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"199"
"138";"*postDate_4-7-2021";"-0.471765252077531";"0.869654939141833";"1.37067190933272";"200"
"139";"*a_0939";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"202"
"140";"*postLikes_964";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"203"
"141";"*postDate_28-9-2025";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"204"
"142";"*postLikes_4400";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"205"
"143";"*postLikes_653";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"206"
"144";"*postComments_57";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"207"
"145";"*postDate_29-1-2024";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"209"
"146";"*a_0560";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"210"
"147";"*postDate_14-1-2024";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"211"
"148";"*a_0544";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"212"
"149";"*postDate_17-12-2023";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"213"
"150";"*a_0447";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"214"
"151";"*postLikes_469";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"215"
"152";"*postDate_30-6-2023";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"216"
"153";"*a_0368";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"217"
"154";"*postDate_15-2-2023";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"218"
"155";"*a_0358";"-0.55095963730146";"0.237258830281555";"1.36690644154042";"219"
