"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"franc";-0,612524599237367;0,502890246889568;0,870817941806049;1,17496387471509;0,33229595731852;-0,769004946910745;-2,4946530968415;1,572347069469;1,2180719336833;-0,16580167726837;0,136125220962568;0,235718003042814;0,318045971378223;0,089947778654941;-0,208158676703309;-0,675267031191945;0,425611937366354;0,329714708420965;0,0477891806327532;0,0273145263966057;0,0769434294417963;0,131601031514257;0,00949173316332552;0,0438858006279759;0,424066187462573;0,150204586977493;0,0887035237832181;0,00104729156443089;0,000705938652611455;0,0021167778022275;0,00385362600396054;0,000308226980104237;0,00165074048612331;0,0173716415427789;0,00690108484641451;0,00414158337592043;0,00279139011227591;1,69621513198034;0,00803123626500582
"pays";-0,255478732089593;0,292590573178387;-0,576818784026217;0,572153296944982;-0,366441441363415;-0,131831487060578;1,15307916293615;-0,074023754712384;0,599436147744671;-0,156732127724839;0,179499650367753;-0,353869124809885;0,351006922891417;-0,224805980214837;-0,080876514843858;0,707395676986459;-0,0454123929743979;0,367744516746138;0,0400130703524959;0,0445018194012241;0,162482072718413;0,150191354369858;0,0555538842085174;0,00620745985018193;0,436055159240279;0,00160228011563532;0,103392899743396;0,000101217949491511;0,000132760442145116;0,000515972814350045;0,000507659877186609;0,000208236663278483;2,69517104717501e-05;0,00206189373487616;8,49748195167669e-06;0,000557229227751026;0,00155077228459773;0,773171797052624;0,000927043340607877
"femme";-0,447291998763608;-0,0277777976537732;0,0101704131336105;-0,785028153656541;-0,405439288887948;-0,901045445710252;0,967951824852079;-0,962937285225138;0,515037570211042;-0,225832452907933;-0,0140246823056791;0,00513492159796977;-0,396351452814018;-0,204701513480913;-0,454927214769627;0,488707456219401;-0,486175674324607;0,260036392651798;0,0864612112223785;0,000282747914454703;3,56082420618955e-05;0,199313755003106;0,0479406159419375;0,204416379411596;0,216609425034757;0,191134423883052;0,0538058333466563;0,000484010616845097;1,86667301391134e-06;2,50236016935946e-07;0,0014908813894487;0,000397671339370054;0,00196411096794072;0,00226662729819145;0,0022432032997825;0,000641727203673894;0,00241920476397246;0,920879197662295;0,00205153038712232
"décembre";0,236828628851157;-0,950632929007359;0,0348569285800454;0,37319822942785;1,79134235101476;0,955067947109422;0,147362152514615;-0,46543898035091;0,332001657672589;0,100348239864647;-0,402799026646464;0,0147694619821222;0,158130313996895;0,759021630076259;0,4046782177834;0,0624398017217804;-0,197214258551334;0,140674639469065;0,0147939948528328;0,202119168865596;0,000255287519201327;0,0274931158379837;0,571198607162705;0,140174445251056;0,00306421887112766;0,0272550144497263;0,013646147189767;0,000111333638247789;0,00179384001630293;2,41177191496188e-06;0,000276463084817234;0,0063696444012934;0,00181061677780943;4,31052247254949e-05;0,000430014901170091;0,000218795559972403;0,00198498852428509;1,17872816150119;0,00275794321189201
"canton";-0,635640766006198;0,335735315428142;0,788010206192701;1,019390543865;0,446142639533417;-0,763581573495955;-1,25019713113651;0,231070660377483;0,268125810947204;-0,294858466921513;0,155739539835598;0,365538986393802;0,472870761337217;0,206954842666365;-0,354207131089415;-0,579936387265934;0,107188123092756;0,124377116424923;0,128619396374362;0,0304257833956829;0,157463882362158;0,247566532689578;0,0427605554077395;0,108137694321878;0,266177159287894;0,00810730371744138;0,0107416924432635;0,00112783098153977;0,000314640474607874;0,00173334184156528;0,00290069280078547;0,000555607373391416;0,00162753904051952;0,00436292283366965;0,000149042506911971;0,000200677084071975;0,00279139011227591;1,07295300256543;0,0032135268629203
"viser";-0,65487205282549;0,32764342406914;0,708548754238116;0,918723826485446;0,130713898540766;0,0995621001980044;-1,27101553852337;-0,0268224245054101;0,394164222670517;-0,341335470856163;0,170775836203484;0,369313091937462;0,478861525006552;0,0681313088768298;0,0518942230072083;-0,662484657018922;-0,0139805094118099;0,205448117627562;0,171112157483035;0,0363191435829105;0,159566499800742;0,25203779013416;0,00460070491583247;0,0023043014627571;0,344826378205022;0,000136920307549935;0,0290961041079896;0,00111730110005698;0,000279679235785715;0,00130796700946345;0,00219901034134275;4,45144331873009e-05;2,5825302116815e-05;0,00420880720582155;1,87436158840232e-06;0,000404773168302526;0,00260529743812419;0,958381041493358;0,00239295064010567
"notamment";-0,323909384354256;-0,0264270394484626;0,169496043236112;-0,695610311528848;-0,0345963303121786;-0,0194027934056113;-0,353051484430189;0,547063786479577;0,196926408046171;-0,311322434491673;-0,0254000984686035;0,16290951533303;-0,668579257357433;-0,0332519349469844;-0,0186488109661171;-0,339332087746784;0,525805172852864;0,189273950462587;0,145884047769078;0,000823422071194587;0,0318210246624263;0,503524395407177;0,00112313950670703;0,000304980805085331;0,0927187642855614;0,198490866411639;0,0253093590811355;0,000273340744957238;1,81950954583742e-06;7,48473521650833e-05;0,00126063492532851;3,1182963206323e-06;9,80812137058185e-07;0,000324738212744315;0,000779710255694412;0,00010103346118793;0,00260529743812419;0,51338339635698;0,000686658736400419
"face";0,54982599056715;0,599150621377934;0,494806119248762;0,369234119500654;-0,566982256348505;0,565837861220673;0,798886194696633;0,472847537517222;-0,245946992195951;0,340569206494023;0,371121509702738;0,306489198932034;0,228708306348241;-0,351196015564161;0,350487162677452;0,494840262327748;0,292887774327987;-0,152342692795162;0,169482403580296;0,170651789219767;0,109339855447003;0,0572012455672493;0,121625856058124;0,104578241485464;0,191414451829145;0,0597888495332589;0,0159173072796914;0,000712593980294002;0,000846181734985885;0,000577114176201772;0,000321362553819867;0,000757758042462227;0,000754702216813464;0,00150439351026121;0,000527028234102836;0,000142585265980332;0,00235717387258855;0,808509539946259;0,00154085551113431
"dimanche";0,547919013677135;1,09655791976563;-0,484169588142808;0,334436945090986;-0,00599110972157219;-0,215531782232966;-0,490237812505384;0,337697069886644;0,269955689191779;0,359520324071275;0,719513009835735;-0,317690758833804;0,219442793331076;-0,00393110232512467;-0,141422462557059;-0,321672460389895;0,221581943632107;0,177133033241119;0,163648361707808;0,55578497883574;0,101790728045879;0,0456283921132022;1,32040255555039e-05;0,0147531515343354;0,0700847192757835;0,029650864038906;0,0186456004227901;0,000558678578653169;0,00223765139520016;0,000436238800475857;0,000208141064900052;6,67949798943927e-08;8,6447396227006e-05;0,000447242316500336;0,000212218803442761;0,000135617035159745;0,00186092674151728;0,819941241345892;0,00125110782071803
"révéler";-0,724036269851041;-0,643664658471041;0,743703932390159;-1,29455248867135;-1,25598936274819;0,185791031842935;0,888545033897394;-0,350013095326231;1,61227115072617;-0,251453605980209;-0,223541010518522;0,258284071348582;-0,449590586772726;-0,436197836333243;0,0645241500474849;0,308586547598332;-0,121557522219408;0,559932439228995;0,0978784526161931;0,0655919455053776;0,0822623086880911;0,234171225483832;0,198770194771701;0,00375490702243936;0,0788598861432184;0,010910355114555;0,227800724654591;0,00146332630746799;0,0011564846265994;0,0015439054188553;0,00467799618923351;0,00440344380436366;9,63540622850201e-05;0,00220383676427439;0,000341970877147399;0,0072559904383025;0,00279139011227591;1,40100267807745;0,00547896425030138
"public";-0,149198965495276;0,301202987497346;-0,50222291251274;0,81030521596108;-0,207393621657871;0,384298407319649;-0,687899467313269;-0,828795917259309;-0,216142360354222;-0,0959220223879865;0,193647453346208;-0,322885867860339;0,520956125992591;-0,133336149843625;0,24707061679828;-0,442259823218391;-0,532844046649483;-0,138960831665729;0,0147488705822091;0,0509695061190922;0,133123422184664;0,325575833128043;0,0192322821938859;0,0570095422801377;0,167728898492113;0,217083190918319;0,0145284541015334;5,93756123136901e-05;0,000241988667336086;0,000672774500072545;0,00175135322558095;0,000114727430996081;0,000393925093501769;0,00126219490829259;0,00183219495788258;0,000124610964418973;0,00266732832950809;0,743718560590965;0,00147534543680928
"projet";-0,303714265770105;-0,38485899339663;-0,085659233215688;1,04519204560924;-0,357103442795516;0,568270244241645;-0,950038313419785;-0,993963547850358;-0,0667287044448798;-0,158202416335329;-0,200470078510623;-0,0446192332842576;0,544432467571376;-0,186012426478112;0,296007583122705;-0,49486762307016;-0,51774793857787;-0,0347584669931072;0,0406062328992423;0,0552879301449282;0,00257303071534682;0,359900342709366;0,0378846502930115;0,0828238461049918;0,212556977265232;0,207446963681077;0,000920026186804208;0,000246040647291594;0,00039507518927644;1,95715329141668e-05;0,00291385991717682;0,000340145360760849;0,000861363192797576;0,00240745799078946;0,00263522312397349;1,18768661910775e-05;0,00266732832950809;0,912412090763252;0,00222053969387455
"enfant";-0,726623480120403;-0,222551668085151;0,98011525716353;-0,185182037913721;-0,671161267659578;0,224524233617327;0,195715661455372;0,081994210771697;0,274088019975852;-0,490620381010729;-0,150268174890822;0,661779496616762;-0,12503598422462;-0,453171974024598;0,151600062559528;0,132148347830833;0,0553629658689507;0,185065818088822;0,301154409180184;0,0239550351578531;0,43647458252324;0,0146384751489788;0,173395184688823;0,0167525167232342;0,0116883265996657;0,00182911326955163;0,0201123567084689;0,00108078875388967;0,000101387326091864;0,00196641990395857;7,01971823381924e-05;0,000922095140364218;0,000103192564908367;7,84103011341824e-05;1,37622151108756e-05;0,000153780783382628;0,002047019415669;0,801561787621644;0,00131521263441361
"lausanne";-0,0371520218291036;-0,313163946824601;0,0863967139331352;0,585218191471881;0,495648218826086;1,31062980192873;-0,895127635294394;-2,15134816197091;-0,50533103331302;-0,0130557225040531;-0,110050042682015;0,0303609727503297;0,205653580505689;0,174177481763654;0,460573022868952;-0,314559946854844;-0,75601281517051;-0,177580153617722;0,000323286338426983;0,0194773871046296;0,00139267949975678;0,0600324173765637;0,0388313452263509;0,234404404460251;0,100397566005643;0,517068040358032;0,0280728736303465;2,73982552147423e-06;0,000194671114875279;1,48167328149747e-05;0,000679819528078148;0,000487646487092308;0,00340971498582717;0,00159047896972691;0,00918712023128219;0,000506885584227687;0,00198498852428509;1,25086651729867;0,00310584612686339
"mondial";1,73874079847565;-0,308073191731243;0,0355109275042506;-0,240473287401396;-0,638304155168302;-0,0458530657882041;0,257914217112588;-0,511683348829432;0,777549465688639;0,817864321805698;-0,144910657323211;0,0167035366429645;-0,113113192193658;-0,300243828999792;-0,0215682444366977;0,121317010820569;-0,240684267279252;0,365741671779567;0,781515943041757;0,0208037057708722;0,000259672806611671;0,0111874107636404;0,0710781942980738;0,000316656314966131;0,00919918865663045;0,0322830509192071;0,0733561774282454;0,00768885318129351;0,00024137911730057;3,20712516969777e-06;0,000147070496873582;0,00103620867034985;5,3472271775493e-06;0,000169177438058481;0,00066587766442785;0,00153761615503382;0,00254326654674028;1,19066096071313;0,00360552164617696
"jeune";-0,507889509498785;0,0478620430353581;0,420063586657456;-1,03750765300581;-0,138362370760215;0,178060102498158;0,634877914528788;-0,962741220514951;0,680288545440089;-0,27721257672247;0,0261237139749686;0,229276067071187;-0,566284919219642;-0,0755199479463963;0,0971874766102045;0,346524469001922;-0,5254764460862;0,371310170951029;0,122114107306102;0,000919548317020562;0,066541366312693;0,381362268450144;0,00611612332493149;0,00874467827262759;0,102079515607143;0,209290895974224;0,102831496435116;0,000560034202906897;4,973458887361e-06;0,000383094695691546;0,00233699984812337;4,15634946643232e-05;6,88349980496189e-05;0,000875097625610991;0,00201231145826882;0,00100476010650671;0,00217108119843682;0,879849747344239;0,00168071119822345
