"";"classe 1";"classe 2";"classe 3";"classe 4"
"privé";1;1;0;1
"mondial";1;1;0;1
"réfléchir";1;1;1;0
"raciste";1;1;1;0
"cacher";0;1;1;1
"poste";1;1;0;1
"envoyer";0,468;1;0,995;0,883
"emploi";1;1;0;1
"culture";1;1;1;0
"banque";1;1;0;1
"époque";1;1;1;0
"charger";1;1;0;1
"type";1;1;0,973;0,001
"résultat";1;1;0;1
"réseau";1;1;1;0
"prochain";1;1;1;0
"obliger";1;0,806;0,055;1
"manif";0;1;1;1
"grave";0,076;1;1;0,573
"complètement";0,155;1;1;0,117
"total";0;1;0,324;1
"prime";1;1;0;1
"actuel";1;1;0;1
"énergie";1;1;0;1
"envie";1;1;0,612;0,001
"porte";1;1;1;0
"subir";0;1;1;1
"magnifique";1;0;1;1
"entier";0,583;1;1;0,083
"produit";1;1;0;1
"personnel";1;1;0;0,46
"millier";0;1;1;1
"condition";0,93;1;0;1
"mec";1;1;1;0
"marché";1;1;0;1
"effectivement";1;1;0,975;0,248
"difficile";1;1;1;0,011
"responsable";0,003;1;0,426;1
"criminel";0;1;1;1
"arabe";0;1;1;1
"imposer";1;1;0;1
"étonner";1;1;0;1
"partager";1;1;1;0
"justifier";0;1;1;1
"journaliste";0;1;1;1
"acte";0;1;1;1
"vérité";0,359;1;1;0
"unir";0;1;0,006;1
"qualité";1;1;0;1
"heureusement";1;0,191;1;0
"fermer";0,982;1;1;0,129
"sérieux";1;1;1;0
"projet";1;0,857;0;1
"musulman";0;1;1;1
"plaisir";1;0,033;1;0
"décision";1;1;1;0,026
"évidemment";1;1;1;0,008
"réduire";1;1;0;1
"photo";1;0,074;1;0
"ordre";0;1;1;1
"obligatoire";1;1;0,001;0,058
"discours";1;1;1;0
"clair";0,772;1;1;0,207
"bosser";1;1;0;1
"sûrement";1;1;1;0,009
"soin";1;1;0;1
"décider";0,168;1;0,657;1
"loyer";1;1;0;1
"héritage";1;1;0;1
"attaquer";0;1;1;1
"renseigner";0,168;1;1;0,002
"prouver";0,052;1;1;0,08
"proposer";1;1;0;1
"national";1;1;1;0,001
"doute";1;1;1;0,001
"cesser";0;1;1;1
"air";1;1;0,891;0,008
"règle";1;1;0,16;0,17
"rentrer";1;1;0,002;1
"lien";1;1;0,48;0,181
"suite";0,072;0,487;1;1
"genocide";0;1;1;1
"dénoncer";0;1;1;1
"coûter";1;1;0;1
"couple";1;1;1;0
"blague";1;1;1;0
"réussir";1;1;0;1
"porter";1;1;1;0
"content";1;0,13;1;0,143
"coeur";1;0;1;0,006
"bloquer";0,013;1;1;1
"augmentation";1;1;0;1
"libérer";0;1;1;1
"onu";0;1;1;1
"action";0;1;0,984;1
"sioniste";0;1;1;1
"président";0;0,19;1;1
"nombreux";1;1;0,002;1
"danger";0,509;1;0,984;0,694
"conflit";0;1;1;1
"climatique";1;1;0;1
"battre";1;1;1;0,009
"proche";1;0,011;0,02;1
"participer";0,106;1;0,065;1
"intéressant";1;1;1;0
"illégal";0;1;1;1
"emji_visage_de_clown";0,401;1;1;0,112
"atteindre";1;1;0;1
"titre";1;1;1;0
"racisme";1;1;1;0
"opinion";1;1;1;0
"limite";1;1;0,041;0,11
"directement";1;1;0;1
"billet";1;0,336;0;1
"bcp";1;1;0,035;1
"tourner";1;1;0;1
"responsabilité";1;1;1;0,005
"métier";1;1;0,003;0,293
"mourir";1;1;1;0,016
"général";1;1;0,216;0,346
"début";0,2;1;1;0,628
"compter";1;1;0;1
"violent";0;1;1;0,22
"zone";0,282;1;0;1
"souci";1;1;1;0
"régime";0,088;1;1;0,771
"sud";0;0,819;1;1
"forcément";1;1;0,009;0,181
"condamner";0;1;1;1
"éducation";1;1;0,181;0,013
"incroyable";1;0;1;1
"différent";1;1;1;0,001
"autorité";0;1;1;1
"intéresser";1;1;1;0
"gars";1;0,262;1;0
"final";1;1;0;1
"attaque";0;1;1;1
"post";1;1;1;0
"lier";1;1;0;1
"forme";1;1;0,638;0,067
"conseil";1;1;0,08;0,383
"commun";1;1;0;1
"accès";1;1;0;1
"svp";1;1;1;0
"région";0,027;1;0,001;1
"mode";1;1;1;0
"gérer";1;1;0,006;1
"frontière";0,404;1;0;1
"frais";1;1;0;1
"erreur";1;1;0,001;0,695
"considérer";1;1;1;0,001
"bout";1;1;1;0
"assumer";0,668;1;1;0,016
"vote";1;0,756;1;0
"voisin";1;1;1;0,045
"ukraine";0;1;1;1
"message";1;1;1;0
"compliqué";1;1;0,82;0,019
"changement";1;1;0;1
"franc";1;1;0;1
"contrôle";0,027;1;0;1
"assurer";1;1;0;1
"appliquer";1;1;0;1
"conséquence";0,047;1;1;0,842
"complice";0;1;1;1
"vol";1;1;0;1
"rire";1;1;1;0
"dangereux";1;1;1;0,018
"consommation";1;1;0;1
"chf";1;1;0;1
"apporter";1;1;1;0,082
"affaire";1;1;0,097;1
"accident";1;1;0;1
"principe";1;1;0,021;1
"oser";1;1;1;0
"naître";0,11;1;1;0,276
"milliardaire";1;1;0;1
"employé";1;1;0;1
"cest";0,676;1;1;0,018
"voie";1;1;0;1
"retour";1;1;0,001;1
"nécessaire";1;1;0;1
"local";1;1;0;1
"engager";1;1;0,098;0,276
"déranger";1;1;1;0
"afrique";0,005;1;0,763;1
"plan";0;1;1;1
"livre";1;1;1;0
"honteux";0,136;0,701;1;0,061
"légal";0;1;0,085;1
"bientôt";1;1;0,918;0,037
"transport";1;1;0;1
"statistique";1;1;1;0
"polluer";1;1;0;1
"neutre";0;0,053;1;1
"médecin";1;1;0;1
"hôpital";0,445;1;0;1
"critiquer";1;1;1;0
"climat";1;1;0;1
"chrétien";0;1;1;1
"cadeau";1;0,888;0;1
"territoire";0;1;1;1
"réellement";1;1;0;1
"monter";1;1;0,291;0,321
"ensemble";1;1;1;0,233
"effort";1;1;0;1
"prisonnier";0;1;1;1
"habiter";1;1;0,001;1
"dépasser";1;1;0;1
"conscience";1;1;0,156;1
