"";"";"";"";"htag_solitude";""
"235";"enfin";"0.00449128879779498";"-0.895988192223703";"0.812464429263967";"518"
"236";"1997";"1.42897510758881";"0.747699700375989";"0.812464429263967";"519"
"237";"tels";"-0.577843247143312";"-0.309422578672011";"0.812454162024046";"520"
"238";"htag_neuchatel";"0.481538624171959";"-0.668883622497615";"0.812454162024046";"521"
"239";"htag_valaiswallis";"1.90830175732136";"0.022943779423164";"0.812207748265945";"523"
"240";"lors";"-0.206185469200576";"-0.221110884819746";"0.812138444396479";"524"
"241";"avant";"0.401171212848984";"-0.16679051592568";"0.81192026554816";"526"
"242";"vouloir";"0.48513104328119";"-0.035487610562633";"0.811850961678694";"527"
"243";"quand";"1.03812131880239";"-0.028603659027315";"0.811845828058733";"528"
"244";"2006";"1.46954805125722";"0.870409590243115";"0.811293963912985";"531"
"245";"partout";"1.40335337383917";"0.505897233407827";"0.811293963912985";"532"
"246";"83";"1.40335337383917";"0.505897233407827";"0.811293963912985";"533"
"247";"htag_vin";"0.910468270638538";"-0.957613593052594";"0.810955144995596";"534"
"248";"htag_breakdance";"0.651721206166847";"-0.220684477584259";"0.810955144995596";"535"
"249";"htag_vigne";"1.30111179607346";"-0.996971986588233";"0.810955144995596";"536"
"250";"lui_même";"0.318943649872895";"-0.972391753355738";"0.810955144995596";"537"
"251";"ainsi";"-0.592531864439594";"-0.279945705488127";"0.810831938116545";"538"
"252";"1987";"1.56209371659426";"0.407841457875076";"0.810811403636703";"540"
"253";"2019";"-0.956753640618155";"0.174937452844236";"0.81078060191694";"542"
"254";"34";"1.29747569250869";"1.15585747788513";"0.81077546829698";"543"
"255";"1993";"1.59742300272642";"-0.232334094421761";"0.810613759268226";"545"
"256";"htag_alcool";"1.15293481575838";"-0.0463460890017627";"0.810613759268226";"546"
"257";"87";"1.14127745380705";"-0.474293853366506";"0.810613759268226";"547"
"258";"presque";"0.875051423149013";"0.0591323486119329";"0.810439216189571";"548"
"259";"de";"0.210945117311303";"-0.131592843529938";"0.810416114899749";"549"
"260";"encore";"0.154480060213168";"-0.0797246169055741";"0.810110664512102";"550"
"261";"100";"0.151241839850926";"-0.00978170696657195";"0.809879651613882";"551"
"262";"déjà";"-0.0155787952751486";"-0.142118428455759";"0.809735910254989";"552"
"263";"au";"0.0302832089299533";"-0.293263778760869";"0.809707675345207";"553"
"264";"entre";"-0.100328338001704";"-0.191094610864525";"0.809697408105286";"554"
"265";"e";"0.283000353702956";"-0.605177381086409";"0.809658905955583";"555"
"266";"oui";"0.531023895451187";"-0.741934560529064";"0.809417625817441";"556"
"267";"ma";"1.42023612375753";"0.746940254156267";"0.809363722807857";"558"
"268";"50";"0.130667890277816";"0.119405172012832";"0.809194313349162";"560"
"269";"2005";"1.49208837532478";"-0.887001988180712";"0.809078806900052";"561"
"270";"htag_cuisine";"1.17986637884175";"1.01125290693905";"0.809078806900052";"564"
"271";"aucun";"-0.532804052630143";"0.224748082571484";"0.809032604320408";"565"
"272";"pendant";"0.696283036314626";"0.605990787830962";"0.808999235790665";"566"
"273";"certains";"0.522770952015182";"-0.286071109177039";"0.808739987982662";"567"
"274";"htag_swissarmy";"1.95870116928591";"0.689960939525374";"0.808534643184245";"568"
"275";"htag_france";"0.0164805214900673";"0.0541629173110357";"0.808534643184245";"569"
"276";"lendemain";"0.0443293864673835";"-0.118423316659434";"0.808380634585431";"570"
"277";"divers";"-0.899281380300281";"-0.0469183799063182";"0.808380634585431";"571"
"278";"htag_valais";"1.60270381610817";"-0.00311586018157988";"0.808198391076835";"572"
"279";"mais";"0.3443731760225";"-0.0655195618114394";"0.807980212228516";"573"
"280";"90";"0.768955000689985";"-0.0881966693212062";"0.80790577473909";"575"
"281";"sous";"0.0216971930302348";"-0.165401711463972";"0.807582356681581";"576"
"282";"dire";"0.843862452723193";"-0.216132631700872";"0.807574656251641";"577"
"283";"htag_dance";"1.43028520205988";"-1.15557352622954";"0.807181934324666";"579"
"284";"htag_chansonfrancaise";"1.57263757254757";"-0.432277015259965";"0.807181934324666";"580"
"285";"1970";"1.04748278536734";"-0.220599776919339";"0.807035626155794";"581"
"286";"parce_que";"1.08667131664427";"0.0697206731977723";"0.806909852466763";"582"
"287";"htag_happybirthday";"1.96822759141588";"0.904762676204503";"0.806909852466763";"583"
"288";"certain";"0.709039864725";"-0.171248016101478";"0.806909852466763";"584"
"289";"faire";"0.350594209713384";"-0.0611536137769952";"0.806861083077139";"585"
"290";"77";"0.0623180364042471";"-0.398762790942866";"0.806683973188503";"586"
"291";"1976";"1.1409047978909";"-0.858590264551067";"0.806483762010046";"590"
"292";"htag_vaud";"0.725885137711348";"-0.878502005749265";"0.806296384881489";"591"
"293";"fort";"-0.0387294071596569";"0.19214794000799";"0.806216813772102";"592"
"294";"toutefois";"0.111864618485415";"-0.249805384873769";"0.806098740513012";"593"
"295";"2030";"-0.632760899526165";"-0.271815176569482";"0.806098740513012";"594"
"296";"toute";"0.809849475505778";"-0.0487958588148196";"0.8059575659641";"595"
"297";"85";"0.0210412181500349";"-0.381510415021037";"0.805919063814396";"596"
"298";"1995";"-0.461193249859475";"-0.320033241324319";"0.805919063814396";"597"
"299";"longtemps";"-0.640710889023308";"-0.0687004687460309";"0.805919063814396";"598"
"300";"ensuite";"-0.573781812288125";"0.157887764568803";"0.805919063814396";"599"
"301";"douze";"-1.00075075919744";"0.0313125659110234";"0.805919063814396";"600"
"302";"qui";"0.318309205066883";"-0.0603366872258256";"0.80584719313495";"601"
"303";"lorsque";"-0.131544216342381";"0.346864643631649";"0.805693184536137";"602"
"304";"htag_avion";"0.692320309605252";"-0.384862091051505";"0.805685484106196";"603"
"305";"htag_animaux";"1.36775535848647";"0.528739939607312";"0.805264527269439";"605"
"306";"2000";"0.73461471556335";"0.20004839950773";"0.804830736382781";"606"
"307";"1998";"1.73342874910594";"0.326675761918144";"0.80469469545383";"608"
"308";"même";"0.657595332590184";"-0.238426830863695";"0.803922085649782";"610"
"309";"hors";"-0.105221381258598";"-0.436981908786896";"0.803657704221819";"612"
"310";"différents";"0.235168650117973";"-0.575848733585579";"0.803657704221819";"614"
"311";"mal";"0.107714401809704";"-0.530756660262044";"0.803652570601859";"615"
"312";"1977";"1.17388500030425";"-0.996380276922512";"0.803644870171918";"616"
"313";"htag_geneve";"1.28296962776326";"0.0373061696181917";"0.803470327093263";"617"
"314";"quant";"-0.744551595840523";"0.147909733560929";"0.803118674125972";"618"
"315";"un";"0.161815117906192";"-0.115963468108269";"0.803008301296822";"619"
"316";"htag_insolite";"0.797595125006981";"-0.810883324801337";"0.802944131047317";"620"
"317";"d_abord";"0.057071998043803";"-0.574906599460318";"0.802376866041687";"621"
"318";"envers";"0.0728952651863289";"-0.36076963173869";"0.801922540675188";"622"
"319";"très";"0.334401924212035";"-0.288789370112435";"0.800151441788833";"623"
