"";"V1"
"1038";12
"1039";22
"1040";3
"1041";3
"1042";2
"1043";17
"1044";0
"1045";14
"1046";21
"1047";7
"1048";12
"1049";8
"1050";14
"1051";17
"1052";11
"1053";14
"1054";0
"1055";10
"1056";17
"1057";21
"1058";14
"1059";15
"1060";3
"1061";0
"1062";15
"1063";9
"1064";10
"1065";4
"1066";11
"1067";20
"1068";21
"1069";0
"1070";20
"1071";0
"1072";16
"1073";3
"1074";11
"1075";17
"1076";15
"1077";12
"1078";0
"1079";15
"1080";14
"1081";0
"1082";11
"1083";8
"1084";0
"1085";3
"1086";0
"1087";21
"1088";0
"1089";8
"1090";21
"1091";22
"1092";10
"1093";22
"1094";16
"1095";20
"1096";20
"1097";0
"1098";15
"1099";0
"1100";15
"1101";5
"1102";10
"1103";9
"1104";21
"1105";17
"1106";0
"1107";1
"1108";12
"1109";1
"1110";11
"1111";0
"1112";22
"1113";11
"1114";9
"1115";0
"1116";22
"1117";0
"1118";21
"1119";14
"1120";1
"1121";21
"1122";12
"1123";17
"1124";13
"1125";15
"1126";8
"1127";3
"1128";8
"1129";16
"1130";3
"1131";1
"1132";22
"1133";12
"1134";11
"1135";17
"1136";21
"1137";20
"1138";14
"1139";0
"1140";10
"1141";20
"1142";20
"1143";12
"1144";21
"1145";14
"1146";16
"1147";0
"1148";0
"1149";8
"1150";14
"1151";5
"1152";12
"1153";15
"1154";20
"1155";0
"1156";15
"1157";16
"1158";22
"1159";12
"1160";12
"1161";16
"1162";21
"1163";0
"1164";8
"1165";3
"1166";17
"1167";16
"1168";1
"1169";21
"1170";14
"1171";16
"1172";8
"1173";0
"1174";3
"1175";20
"1176";9
"1177";21
"1178";14
"1179";20
"1180";21
"1181";1
"1182";0
"1183";8
"1184";0
"1185";21
"1186";10
"1187";11
"1188";20
"1189";9
"1190";0
"1191";22
"1192";20
"1193";12
"1194";1
"1195";8
"1196";10
"1197";12
"1198";14
"1199";1
"1200";12
"1201";20
"1202";22
"1203";1
"1204";0
"1205";22
"1206";22
"1207";21
"1208";10
"1209";12
"1210";0
"1211";16
"1212";12
"1213";21
"1214";0
"1215";0
"1216";17
"1217";11
"1218";16
"1219";2
"1220";14
"1221";12
"1222";14
"1223";16
"1224";15
"1225";22
"1226";11
"1227";0
"1228";22
"1229";17
"1230";11
"1231";0
"1232";0
"1233";17
"1234";0
"1235";9
"1236";22
"1237";12
"1238";17
"1239";15
"1240";0
"1241";10
"1242";10
"1243";22
"1244";14
"1245";0
"1246";9
"1247";21
"1248";22
"1249";14
"1250";20
"1251";21
"1252";21
"1253";9
"1254";21
"1255";21
"1256";5
"1257";21
"1258";15
"1259";20
"1260";15
"1261";3
"1262";10
"1263";0
"1264";21
"1265";11
"1266";3
"1267";15
"1268";0
"1269";11
"1270";0
"1271";1
"1272";22
"1273";16
"1274";0
"1275";21
"1276";14
"1277";14
"1278";14
"1279";1
"1280";0
"1281";0
"1282";1
"1283";8
"1284";0
"1285";0
"1286";0
"1287";0
"1288";11
"1289";12
"1290";17
"1291";21
"1292";8
"1293";3
"1294";1
"1295";0
"1296";0
"1297";12
"1298";3
"1299";11
"1300";14
"1301";1
"1302";13
"1303";0
"1304";21
"1305";20
"1306";0
"1307";0
"1308";0
"1309";17
"1310";22
"1311";21
"1312";5
"1313";21
"1314";0
"1315";0
"1316";17
"1317";8
"1318";11
"1319";22
"1320";12
"1321";12
"1322";22
"1323";16
"1324";15
"1325";16
"1326";14
"1327";12
"1328";10
"1329";15
"1330";15
"1331";12
"1332";22
"1333";22
"1334";12
"1335";12
"1336";22
"1337";22
"1338";16
"1339";22
"1340";9
"1341";13
"1342";17
"1343";6
"1344";20
"1345";3
"1346";17
"1347";20
"1348";16
"1349";0
"1350";1
"1351";8
"1352";17
"1353";22
"1354";14
"1355";7
"1356";1
"1357";21
"1358";16
"1359";20
"1360";22
"1361";14
"1362";17
"1363";21
"1364";0
"1365";17
"1366";1
"1367";0
"1368";0
"1369";1
"1370";20
"1371";21
"1372";14
"1373";0
"1374";11
"1375";1
"1376";22
"1377";0
"1378";21
"1379";14
"1380";17
"1381";11
"1382";0
"1383";10
"1384";0
"1385";11
"1386";0
"1387";14
"1388";0
"1389";20
"1390";12
"1391";11
"1392";15
"1393";0
"1394";0
"1395";17
"1396";3
"1397";0
"1398";17
"1399";0
"1400";20
"1401";14
"1402";21
"1403";21
"1404";6
"1405";20
"1406";0
"1407";0
"1408";17
"1409";8
"1410";0
"1411";16
"1412";0
"1413";3
"1414";14
"1415";0
"1416";12
"1417";17
"1418";22
"1419";15
"1420";16
"1421";0
"1422";0
"1423";20
"1424";15
"1425";0
"1426";1
"1427";20
"1428";11
"1429";8
"1430";12
"1431";0
"1432";17
"1433";14
"1434";21
"1435";0
"1436";12
"1437";20
