ça;1;3;0;7;3;4;11;2;5;3;1;0;9;1;0;1;1;3;4;1;0;1
lors;4;2;2;0;0;2;2;2;9;0;7;6;2;0;7;6;2;0;5;4;4;3
million;0;0;4;0;1;0;0;2;0;0;0;2;0;5;7;3;6;1;0;6;4;9
notre;1;1;0;1;5;0;1;1;3;1;0;0;0;1;0;0;2;13;20;0;6;0
cet;2;0;1;0;3;2;4;2;3;1;2;0;2;1;6;2;1;20;3;3;2;3
leurs;1;0;4;0;6;4;3;2;4;3;1;1;2;3;1;1;1;2;0;4;12;1
ils;1;3;2;5;1;7;4;1;2;1;3;0;6;0;2;2;2;3;2;2;3;2
plein;0;0;3;1;1;0;0;1;4;3;1;1;2;0;0;2;0;43;3;1;0;1
moins;2;0;2;2;3;1;2;1;3;1;3;1;1;2;1;3;6;1;0;4;8;6
htag_archives;1;4;1;2;10;8;5;2;8;0;0;0;4;0;0;1;1;2;6;0;0;3
avant;1;2;3;0;5;0;3;3;7;2;3;1;5;6;0;4;2;5;0;4;1;3
alors;2;1;2;1;8;0;6;0;3;1;2;5;4;3;2;0;5;2;3;2;3;1
2026;9;0;6;0;0;0;0;1;2;5;2;7;0;4;4;1;1;0;1;1;1;11
htag_suisse;0;3;1;3;3;5;3;1;2;0;0;0;0;1;0;1;0;32;4;0;0;3
000;1;1;5;1;0;1;0;0;2;3;4;1;2;2;3;1;2;1;1;10;2;5
toujours;0;0;0;1;4;6;3;0;4;1;3;1;1;1;3;2;1;17;1;1;1;2
aussi;1;0;2;1;5;1;2;1;1;1;1;0;6;0;3;1;2;6;1;1;3;5
2025;2;1;3;0;0;0;0;2;2;1;4;1;0;3;6;2;3;0;2;12;4;3
sous;0;1;1;1;2;1;3;2;2;2;1;5;6;0;4;3;3;0;2;1;5;2
encore;1;2;3;0;3;1;3;2;3;1;0;1;4;2;0;4;5;1;1;2;2;2
même;1;1;2;1;6;2;1;3;5;2;0;2;4;1;3;0;1;4;3;2;3;5
