"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"poste";-0,646;-0,753;15,861;-0,766;-1,236;-0,793;0,827;-0,686;-0,024;-0,632;0,015;33,008;-1,265;-0,793;-0,916;0,107;-0,902;-0,944;-0,699;-1,082;-1,251;9,823
"lieu";-0,922;-1,076;0;-1,095;-1,766;-1,133;-1,666;29,169;-0,276;1,593;0,46;-0,039;-1,807;-0,005;0,519;25,229;-1,289;2,554;1,236;-1,546;-1,787;-1,506
"festival";-0,577;-0,673;-0,673;-0,685;-1,105;29,269;-1,042;0,308;16,294;0,407;0,056;-0,806;-1,13;0,167;0,071;0,196;-0,806;-0,843;-0,625;-0,967;-0,001;-0,942
"emji_drapeau_territoires_palestiniens";-1,062;-1,238;-1,238;-1,26;-2,033;-1,305;-1,917;-1,128;-2,057;-1,04;-0,149;0,287;-2,08;-1,305;-1,507;0,59;428,825;-1,552;-1,15;-1,779;-2,057;-0,249
"centre";-0,853;0,004;-0,995;0,002;-0,186;-1,048;-1,54;-0,906;-1,652;0,055;0,63;7,879;-1,671;1,09;-1,21;18,032;-0,014;-1,246;-0,923;2,246;4,342;-1,392
"sexuel";-0,749;-0,873;-0,873;-0,889;0,366;-0,921;-0,057;-0,795;-1,451;-0,733;9,136;-1,047;-1,467;-0,921;-1,063;0,031;0;4,021;-0,811;56,061;-0,095;-1,223
"rue";-0,577;-0,673;-0,673;0,196;-1,105;-0,709;0,001;0,308;-0,001;-0,565;1,939;-0,806;25,192;-0,709;-0,819;2,937;-0,806;-0,843;3,465;-0,967;-1,117;0,016
"mode";-0,887;-1,035;0;26,587;-0,224;-0,001;8,968;-0,943;-1,719;1,747;-1,297;-1,241;7,795;-1,091;0,604;-1,054;-1,241;0,54;0,009;-1,487;-1,719;-1,449
"meilleur";-0,714;1,947;1,947;-0,848;-1,368;0,036;-1,29;0,112;6,224;-0,7;-1,044;-0,999;-0,073;-0,878;40,666;-0,848;-0,999;0;0,099;-0,013;-1,384;-1,167
"laisser";-0,818;19,594;-0,954;1,341;22,982;-1,006;-1,478;-0,869;0,211;-0,801;0,732;-0,006;-0,169;0,003;-1,161;0,007;-0,006;-1,196;-0,886;-1,371;-0,16;-1,336
"donner";-0,957;-0,003;-1,116;-0,005;-0,306;0,759;13,071;-1,016;-1,854;-0,937;-0,078;6,406;-1,875;-0,011;-1,358;-1,136;-1,338;2,334;9,793;-0,174;-1,854;1,764
"donald";-1,027;-1,197;-1,197;-1,219;-1,966;-1,262;-1,854;-1,091;-1,989;-1,006;499,801;-0,094;-2,012;-1,262;-1,457;-1,219;0,342;-1,501;-1,112;-1,721;-1,989;-1,676
"compte";-0,818;-0,954;19,594;0,007;-1,567;-1,006;-1,478;-0,869;-1,585;-0,801;-1,196;-1,144;-1,603;-1,006;3,555;0,007;-1,144;-1,196;47,444;-0,065;9,229;-0,052
"événement";-0,784;-0,914;0,022;-0,93;-1,501;1,376;-1,415;1,94;-0,126;-0,767;-1,145;0,969;-1,535;1,376;15,908;-0,93;-1,095;-1,145;35,185;-1,313;-0,126;-0,034
"évoquer";-0,853;-0,995;-0,995;-1,012;-0,186;26,825;0,246;0,024;4,342;-0,835;-1,246;-1,192;-1,671;0;-0,017;0,002;-0,014;13,391;0,018;-1,429;-0,196;-1,392
