"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"digital";-1,284;-0,312;-0,001;-0,159;1,657;-0,264;-0,044;26,989;-0,158;-1,6
"difficilement";-0,004;-0,312;-0,001;4,724;1,657;-0,264;0,655;-0,301;-0,158;-1,6
"diaspora";13,96;-0,364;0,659;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"diaboliser";-1,284;-0,312;1,127;-0,159;1,657;-0,264;-1,509;-0,301;4,764;0,544
"deuil";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;0,313;-0,351;-0,185;2,002
"dentaire";-1,498;-0,364;-1,438;-0,186;7,962;-0,307;-1,761;22,327;-0,185;0,238
"densité";-1,498;-0,364;-1,438;-0,186;93,939;-0,307;-1,761;1,392;-0,185;-1,867
"defendre";13,96;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;1,392;-0,185;-0,193
"debut";-0,054;-0,364;-1,438;-0,186;39,149;-0,307;0,313;-0,351;-0,185;-1,867
"daube";-1,498;21,402;0,659;-0,186;1,219;-0,307;-1,761;-0,351;-0,185;-0,193
"danse";-1,498;1,299;7,965;-0,186;1,219;-0,307;-1,761;-0,351;-0,185;-0,193
"daesh";32,722;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;-1,867
"culte";0,578;-0,364;-1,438;-0,186;-0,377;10,315;-0,147;-0,351;-0,185;0,238
"créativité";-1,498;21,402;-1,438;-0,186;-0,377;-0,307;2,259;-0,351;-0,185;-0,193
"créatif";-1,498;-0,364;-0,038;-0,186;-0,377;-0,307;0,313;-0,351;-0,185;5,486
"crâne";-1,284;-0,312;-1,233;-0,159;-0,323;-0,264;-1,509;1,866;4,764;7,512
"cruauté";22,357;-0,364;-1,438;-0,186;1,219;-0,307;-1,761;-0,351;-0,185;-1,867
"croisière";22,357;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;1,392;-0,185;-1,867
"crochet";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;18,776;-0,351;-0,185;-0,193
"cri";7,531;-0,364;-1,438;-0,186;1,219;1,765;-1,761;-0,351;-0,185;-0,193
"couloir";22,357;-0,364;-1,438;-0,186;1,219;-0,307;-1,761;-0,351;-0,185;-1,867
"costard";-1,498;-0,364;7,965;-0,186;-0,377;-0,307;2,259;-0,351;-0,185;-1,867
"cortège";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;2,259;-0,351;-0,185;5,486
"coran";-0,054;-0,364;-1,438;-0,186;-0,377;48,69;-1,761;-0,351;-0,185;0,238
"controversé";0,578;-0,364;-1,438;-0,186;1,219;-0,307;0,313;-0,351;-0,185;0,238
"contre_productif";-1,498;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;3,839;17,612
"continuation";-0,054;-0,364;-1,438;-0,186;-0,377;-0,307;-1,761;-0,351;45,394;2,002
"contestation";0,578;-0,364;-1,438;-0,186;-0,377;-0,307;-0,147;-0,351;-0,185;5,486
"conforme";-0,054;-0,364;-1,438;-0,186;7,962;-0,307;0,313;-0,351;-0,185;0,238
"comédie";-0,054;-0,364;0,659;-0,186;-0,377;-0,307;-1,761;-0,351;-0,185;5,486
"compteur";-0,054;-0,364;-1,438;82,736;1,219;-0,307;-0,147;-0,351;-0,185;-1,867
