"";"";"";"";"tu";""
"158";"ciao";"-0.517224100612416";"0.805825692985733";"0.813403459295677";"356"
"159";"excepté";"1.08977476796131";"0.0258009290293458";"0.813403459295677";"357"
"160";"dedans";"-0.326849937510418";"0.25213746409962";"0.81336652880683";"361"
"161";"ainsi";"0.279904113534475";"-0.257841463594287";"0.813267278118056";"362"
"162";"plusieurs";"0.011754610717294";"-0.230380772218146";"0.813131096940435";"363"
"163";"2019";"0.163416299976492";"-0.620991840254104";"0.812831036718558";"366"
"164";"flop";"-0.492611877709714";"-0.0957394221730618";"0.812831036718558";"367"
"165";"44";"-0.440632181178445";"-0.512434637949446";"0.812720245252019";"370"
"166";"salut";"0.100228456958494";"0.588937044550056";"0.812694855540937";"371"
"167";"volontiers";"-0.462700746459699";"-0.278695919663314";"0.812694855540937";"372"
"168";"40";"-0.634243029475474";"-0.241367108799794";"0.812530976496682";"373"
"169";"pseudo";"0.327741448970344";"0.0330260993387428";"0.812500970474494";"374"
"170";"tel";"0.170672773239792";"0.0982053720539287";"0.812394795319061";"375"
"171";"partout";"0.0878659525736112";"-0.208758766127131";"0.812163979763771";"377"
"172";"euh";"-0.235517142980998";"0.169341079903936";"0.81185237876413";"378"
"173";"ouf";"-0.288468103051086";"0.901493268482381";"0.811757744386461";"379"
"174";"ceci";"0.17893666146842";"-0.209733071084301";"0.811679267097662";"380"
"175";"via";"-0.21598891278396";"-0.352920991028529";"0.811646952919922";"381"
"176";"2010";"-1.12723591427332";"-0.518318532655198";"0.811395363964656";"383"
"177";"cent";"-0.800073342868308";"-0.683317198438767";"0.811395363964656";"384"
"178";"d_abord";"-0.354449480563306";"-0.282373639044337";"0.811395363964656";"385"
"179";"celles_ci";"0.248949433181389";"-0.323819055057306";"0.811132234231626";"388"
"180";"unes";"-0.480018883945497";"0.802874488236632";"0.810887569743018";"390"
"181";"aïe";"-0.521705341367785";"0.0936551173195952";"0.810709841765445";"393"
"182";"mêmes";"-0.111941891472529";"-0.340538615729486";"0.810702917298787";"394"
"183";"pis";"-0.422772318779199";"0.317584908745395";"0.81066598680994";"397"
"184";"16";"-0.491188746371813";"-0.357228623248";"0.810527497476766";"398"
"185";"mien";"-0.609037760807257";"0.155315732106061";"0.810199739388255";"403"
"186";"voire";"-0.099392807094763";"-0.520673456990418";"0.81017204152162";"404"
"187";"celle";"0.202617498247052";"-0.100668120054512";"0.810151268121644";"405"
"188";"toujours";"0.0624860883684919";"0.0999084545214069";"0.81002893587734";"407"
"189";"arrière";"-0.393327405694832";"-0.299472411332486";"0.809731183811017";"409"
"190";"celle_là";"-0.54298750567649";"0.45898291382851";"0.809468054077986";"411"
"191";"98";"-0.979145962490195";"-0.508502076539333";"0.80925570376712";"413"
"192";"diverses";"-0.109383395009596";"-0.425543127575756";"0.80925570376712";"414"
"193";"attention";"-0.0164925248866998";"0.266099540119538";"0.8090410453007";"415"
"194";"concernant";"-0.134536594253206";"-0.331296762633873";"0.808907172278632";"416"
"195";"1950";"0.554413256267111";"-0.221719640784654";"0.808731752456612";"417"
"196";"chacune";"-0.50545539680016";"0.141153726193551";"0.808731752456612";"418"
"197";"ok";"-0.245494367721549";"0.0315931787064349";"0.808676356723342";"419"
"198";"autour";"-0.506943584642569";"0.0842198735761747";"0.808507861367981";"420"
"199";"mince";"-0.684425473994666";"0.0739938134681941";"0.808103934146224";"422"
"200";"26";"0.12676240684368";"0.185657062710954";"0.808076236279589";"423"
"201";"tien";"0.0944777651388941";"0.610391111053918";"0.80806931181293";"424"
"202";"5";"-0.301857982268576";"0.38000907632114";"0.80805315472406";"425"
"203";"jusqu_au";"-0.0345968804391957";"0.93009057938152";"0.807990834524132";"426"
"204";"dommage";"-0.246083776346444";"0.76342236225695";"0.807944671413074";"427"
"205";"21";"-0.211791912818788";"-0.00292454251675711";"0.807930822479756";"428"
"206";"tiens";"-0.0887307180447913";"0.174641348270406";"0.807619221480115";"429"
"207";"mouais";"-1.18481213620558";"-0.163260565349964";"0.807605372546798";"431"
"208";"hein";"-0.050325356116377";"0.0839789061642073";"0.807374556991508";"432"
"209";"13";"0.162902418179107";"0.148218851836206";"0.807266073680522";"433"
"210";"allô";"0.0710498287249242";"0.0852186909260007";"0.807127584347348";"435"
"211";"360";"0.0710498287249242";"0.0852186909260007";"0.807127584347348";"436"
"212";"con";"-0.27171731835392";"0.112844841317915";"0.806998327636386";"437"
"213";"puis";"-0.0990728422042803";"-0.224210002364686";"0.806855221992106";"438"
"214";"quoique";"-0.186071825641057";"-0.184513009643031";"0.806495149725854";"439"
"215";"31";"0.151307855625688";"-0.254753115216835";"0.8062527933928";"441"
"216";"demi";"0.271717025585801";"-0.33488845087957";"0.806178932415107";"442"
"217";"oui";"0.0411289524415028";"0.0391876702026971";"0.806128152992943";"443"
"218";"43";"-0.160923413015154";"-0.501629514741299";"0.806098146970756";"446"
"219";"quelconque";"-0.901290827746752";"-0.615083876934691";"0.805982739193111";"447"
"220";"audit";"-0.862765413622508";"0.0673933729977122";"0.80591811083763";"450"
"221";"adieu";"-0.622931982662994";"0.36108552862081";"0.80591811083763";"451"
"222";"tard";"-0.468541979913154";"0.444136971109531";"0.805751923637821";"452"
"223";"celui_là";"-0.405172594332444";"0.377134768223953";"0.805661905571258";"454"
"224";"2007";"0.677316993787383";"0.005771699601054";"0.805327223016088";"455"
"225";"soi";"-0.0978358350897106";"0.217069607080568";"0.805017930172";"456"
"226";"cinq";"-0.228149051735127";"0.00323429271660667";"0.804879440838826";"457"
"227";"72";"0.588465623777607";"0.0532782896688704";"0.80481942879445";"460"
"228";"2021";"0.236789915401599";"0.201306743813829";"0.804470897305963";"462"
"229";"heu";"-0.586018295387712";"-0.239971387440991";"0.804401652639376";"463"
