"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"htag_foodie";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;4,984;-0,129;-0,171;-0,103;-0,208;-0,085;26,006;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_fitness";-0,125;-0,161;-0,167;-0,143;-0,24;2,371;-0,114;-0,125;-0,24;5,105;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;12,628;-0,259;-0,173
"htag_environnement";9,444;-0,12;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;4,496;5,356;-0,208;-0,194;-0,129
"htag_ecolo";6,629;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;-0,215;-0,173;-0,228;5,943;-0,278;-0,114;-0,197;-0,234;3,583;-0,278;-0,259;4,438
"htag_droitsdesfemmes";-0,125;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;-0,125;2,839;57,241;-0,215;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"htag_cyclisme";-0,125;-0,161;-0,167;-0,143;-0,24;-0,271;-0,114;30,288;-0,24;-0,155;16,822;-0,173;-0,228;-0,137;-0,278;-0,114;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
"htag_cuisine";-0,094;-0,12;-0,125;-0,107;-0,18;-0,203;10,548;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;5,559;4,496;-0,152;-0,208;-0,194;-0,129
"htag_course";-0,094;-0,12;30,946;-0,107;-0,18;3,714;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;-0,194;-0,129
"htag_chorale";-0,094;7,083;-0,125;-0,107;-0,18;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;6,506;-0,171;-0,103;-0,208;-0,085;-0,148;-0,175;-0,152;-0,208;3,951;-0,129
"htag_backtoschool";-0,094;-0,12;-0,125;-0,107;4,35;-0,203;-0,085;-0,094;-0,18;-0,116;-0,161;-0,129;-0,171;-0,103;-0,208;10,548;-0,148;-0,175;-0,152;3,603;-0,194;-0,129
"htag_automne";-0,125;-0,161;-0,167;5,641;-0,24;-0,271;-0,114;-0,125;-0,24;-0,155;3,308;-0,173;-0,228;-0,137;2,29;7,455;-0,197;-0,234;-0,203;-0,278;-0,259;-0,173
