"";"";"";"";"18h45";""
"246";"europe";"0.0808194340198123";"-0.27281645878402";"0.85614681822848";"443"
"247";"état";"0.522203764235866";"-0.704967214929372";"0.85614681822848";"444"
"248";"créer";"-0.467657251285299";"0.375809714605254";"0.85544907005214";"445"
"249";"voyageur";"0.457508592835782";"-0.00592278378897381";"0.855294014901842";"446"
"250";"camp";"0.690184961873748";"-0.236254423814003";"0.855294014901842";"447"
"251";"pluie";"0.633547297390791";"-0.336211138204208";"0.855294014901842";"448"
"252";"enneigé";"0.54528755348792";"0.0482072909976323";"0.855294014901842";"449"
"253";"école";"0.168766577307513";"0.485167349146202";"0.854724355762704";"451"
"254";"présent";"0.257940174053072";"0.295610556376884";"0.854458065395889";"452"
"255";"mort";"0.372536332022775";"0.429189948771335";"0.854350200943508";"453"
"256";"reportage";"0.498001466748526";"0.135411628836039";"0.853881664728477";"456"
"257";"musical";"0.427024112283612";"-0.15092762432196";"0.853881664728477";"458"
"258";"consacrer";"-0.660774645510397";"-0.184769164696405";"0.853881664728477";"459"
"259";"pays";"-0.873749171512703";"-0.311174339289759";"0.853622115889935";"462"
"260";"joyeux";"-0.335544830148021";"0.562030649556923";"0.853564812899608";"463"
"261";"médecin";"-0.893796229475683";"0.175123339843345";"0.852378303923416";"464"
"262";"terme";"0.688529212024658";"0.236131731446256";"0.851882801595291";"465"
"263";"astuce";"0.80786216604778";"0.272880310641886";"0.851882801595291";"466"
"264";"chaussette";"0.2006360347924";"0.120114873310311";"0.851656960398118";"469"
"265";"retraité";"0.528826307928906";"0.407623729497484";"0.851656960398118";"470"
"266";"écolier";"0.132431792791358";"0.952635674245073";"0.850692921854962";"471"
"267";"jeune";"-0.425108647792002";"0.0575335724854701";"0.850571574346033";"472"
"268";"bienvenue";"-0.581758060506286";"-0.0889183606526254";"0.850305283979218";"474"
"269";"règle";"-0.332904343064411";"0.204458368296277";"0.850305283979218";"475"
"270";"culture";"-1.79073956699711";"-0.108984396087955";"0.850305283979218";"476"
"271";"occasion";"0.0539024996048668";"0.376750285057979";"0.85010640889514";"478"
"272";"suivre";"-0.10840667960345";"0.103165187318961";"0.84977944477386";"479"
"273";"valoir";"0.649841456712829";"-0.0460365319633286";"0.8494086607188";"480"
"274";"secret";"0.427256075163441";"-0.0186090543606557";"0.849294054738145";"482"
"275";"infaillible";"0.825970018780978";"0.624576337693566";"0.848808664702431";"483"
"276";"porte";"0.84132252347023";"0.484835906169426";"0.848808664702431";"484"
"277";"magasin";"0.746992407790895";"0.562889700239178";"0.848808664702431";"485"
"278";"groupe";"-0.598886287469599";"0.394519897653333";"0.848808664702431";"486"
"279";"roller";"0.378951096388494";"0.473299541026723";"0.848808664702431";"487"
"280";"adorer";"-0.921401953469616";"0.0312930368948338";"0.848808664702431";"488"
"281";"grand";"0.136819000940724";"0.000114138205201964";"0.848805293938294";"489"
"282";"prêt";"0.605694101589683";"-0.6056407278219";"0.847504178981447";"490"
"283";"féminin";"0.0664599120045066";"0.549658603537904";"0.846536769674154";"491"
