"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"course";1;1;0,005;1;1;0,552;1;0,154;1;1;0,018;0,288;1;1;0,567;1;1;0,457;1;1;1;1
"complet";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,053;0;1;1;1;1
"blanc";0,018;0,566;0,591;0,487;1;0,001;1;1;0,191;1;0,778;1;1;1;0,031;1;1;1;1;1;1;1
"avis";1;1;1;1;0,804;1;0;0,363;0,804;1;1;1;1;1;1;1;0,658;1;0;1;1;1
"armée";1;0,02;1;1;1;1;1;1;1;1;0,605;1;0,644;1;0,79;0;0,544;0,663;1;1;1;0,459
"village";1;1;0,111;1;1;1;1;1;1;1;1;0,121;1;1;0,307;1;1;1;1;1;0,273;0
"rire";0,026;1;1;1;1;1;1;1;1;1;0,128;1;1;1;1;1;1;1;1;0,002;1;0,073
"radio";1;1;1;1;1;1;1;1;1;1;1;0,121;1;1;1;1;1;0,228;1;0,307;0,005;0,121
"neige";0,005;0,415;1;0,347;0,682;0,772;1;1;1;0,393;0,605;1;1;1;0,79;0,003;0,544;1;1;1;1;1
"compte";0,236;1;1;1;1;0,703;1;1;1;1;0,542;1;0,579;1;1;1;1;0;1;1;1;1
"ambiance";1;1;0,015;1;1;0,703;1;0;1;1;0,046;1;1;1;1;1;1;0,598;1;1;1;1
"tête";1;0,308;1;1;1;1;0;1;1;1;1;1;0,511;1;1;1;1;1;1;1;1;1
"tsr";1;1;1;1;0,473;1;1;0,001;1;1;1;1;1;0,186;1;1;1;0,457;1;1;0,001;0,288
"sortir";0,018;1;1;1;1;1;1;1;1;0,046;0,778;0,07;0,82;0,028;1;1;0,711;1;1;0,273;0,919;0,616
"reportage";1;1;1;1;0,162;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0,216;0,189;1
"présent";1;0;0,383;1;1;1;1;1;0,069;1;0,542;0,403;0,579;1;1;1;1;0,598;0,503;1;1;1
"propre";1;0,059;1;1;1;1;1;1;1;1;1;0,073;1;1;1;0,018;1;0,153;1;1;0,189;1
"maison";1;1;1;1;1;0,004;1;1;1;0,341;1;0,403;1;1;0,111;1;1;0,598;0,503;0,72;0,669;1
"joueur";1;1;1;0,018;1;1;1;1;1;1;1;1;1;1;1;1;1;0,086;1;1;0,111;0,035
"droit";1;1;1;1;0,546;1;1;1;0,546;0;1;1;0,511;1;1;1;1;0,529;0,44;0,079;1;1
"vin";1;1;0,005;0;1;0,048;0,122;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"témoignage";1;0,308;1;1;1;1;0,001;1;0,001;0,289;1;1;1;1;1;1;1;0,043;0,44;1;1;1
"simple";1;1;1;1;1;1;1;1;0;0,341;1;1;1;1;0,111;1;0,484;0,063;1;1;0,669;1
"saison";1;1;1;1;0,546;1;1;1;1;0,289;0,476;1;1;1;0;0,158;1;1;1;1;1;0,346
"saint";0,236;1;1;1;1;0,703;1;1;1;1;1;1;0,579;0,278;1;1;0;1;1;1;0,089;0,018
"revenir";1;0,254;1;1;1;1;1;1;1;1;1;1;1;0,186;0,567;1;0,357;0;1;1;1;0,006
"plateau";1;0,201;1;1;1;1;1;1;0,397;1;1;1;1;1;1;1;0,291;0,382;1;0;0,441;1
"piste";1;1;1;1;1;0,898;1;0;1;0,492;1;1;1;1;1;0;0,658;1;1;1;1;0,566
"oublier";0,005;1;1;0,347;1;0;1;1;0,095;1;0,065;1;1;1;1;1;0,544;1;1;1;1;1
"lausannois";0,018;1;0,591;1;1;1;1;1;0,191;1;1;0;1;1;1;1;0,004;1;0,734;1;1;1
"jeunesse";1;0,201;0,216;1;0,397;0,029;1;0,115;0,397;1;1;1;1;1;1;1;1;1;1;0,484;1;1
"haut";1;1;1;0,002;1;0,552;1;1;0,03;1;1;0;1;1;0,567;1;1;1;1;1;1;1
"fêter";1;1;0;1;1;1;1;0,001;1;1;1;1;1;1;0,567;1;0,357;1;1;1;1;0,288
"face";1;1;1;1;1;1;1;1;1;1;1;1;0,579;0,005;1;1;0,484;1;1;0;0,669;1
"dernier";0,236;1;1;0;0,616;1;1;1;1;1;0,542;1;1;0,278;1;1;1;1;1;1;0,003;0,403
"conseil";1;0,02;1;1;0;0,137;1;1;1;1;1;1;0,644;1;1;0,233;1;1;1;1;0,119;1
"commencer";1;0,201;0,216;1;1;1;1;1;1;1;1;1;1;0;1;1;0,291;1;1;1;0,441;1
"automne";1;1;1;1;1;0,898;1;1;1;1;1;1;1;1;1;0,31;1;1;1;1;0,862;0
"art";0;1;0,327;1;0,546;1;1;1;1;1;0,031;1;1;0,232;1;1;1;1;1;0,646;1;1
"appeler";1;0,254;0,271;1;1;1;1;1;1;1;1;1;1;0,186;0,567;1;1;0,457;1;1;1;0
"animal";1;0;1;1;0,745;1;1;1;1;1;1;1;1;1;1;1;1;0,114;1;0;1;0,001
"événement";1;1;0,031;1;1;1;1;0,01;1;1;0,069;1;1;0,015;1;1;1;1;1;1;1;1
"soirée";1;1;1;1;0,318;1;1;1;1;1;0,265;0,174;1;0,102;0,017;1;0,226;1;1;1;1;1
"sembler";0,278;1;1;1;0,682;1;1;1;1;1;1;0;0,644;1;0,79;0,233;1;1;1;0,79;0,737;1
