"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"genève";-14,799;-5,535;-23,027;-0,436;-0,011;54,34;357,425;-10,102;-29,448;-40,904
"sortir";-17,774;-11,229;-3,076;-0,122;-2,305;0,001;-5,074;2,286;127,405;-9,962
"trump";-16,805;-9,891;152,274;-9,103;-3,531;0,029;-12,084;-3,526;-6,071;5,071
"génocide";-19,104;-28,337;1568,196;-0,951;-5,451;-53,97;-37,174;-10,255;-46,055;-31,901
"défendre";-19,047;-17,232;118,475;2,657;-3,578;-2,274;-16,536;-0,358;-1,586;4,674
"israélien";-18,933;-26,025;2120,638;-14,481;-5,402;-55,507;-36,841;-10,163;-73,629;-61,241
"perdre";-16,009;-22,648;-4,917;-5,642;-3,312;36,696;-6,434;-0,61;15,578;3,881
"prix";-18,418;-14,695;-0,202;-12,128;-5,255;420,478;15,33;-6,169;-49,32;-41,153
"finir";-12,915;-12,325;-0,544;0,018;-3,5;6,588;22,054;-0,778;6,574;-6,019
"écrire";-15,952;-8,738;-8,341;0,321;376,92;-47,969;-16,263;0,317;1,157;76,054
"emji_mains_en_prière";1392,192;-12,627;-5,775;-12,296;-2,234;-26,566;-15,647;-5,629;-0,095;-26,31
"attendre";-9,204;-13,052;0,198;-0,312;0,726;-3,248;-4,928;6,24;15,686;5,84
"emji_visage_faisant_un_clin_d_oeil";-16,877;-2,769;-17,209;-2,675;-0,108;-9,429;0,261;0,192;147,909;-2,722
"servir";-16,122;-22,838;-3,023;7,02;-1,902;16,417;-2,643;12,406;-0,359;6,869
"mort";-17,276;-11,537;465,214;-2,911;-4,929;-25,516;-3,059;0,496;-2,757;-16,133
"gouvernement";-15,724;-18,556;316,143;-1,583;-3,234;-2,09;-7,037;-3,049;-9,291;-1,086
"otage";-9,543;-20,84;1767,591;-6,147;-4,848;-52,88;-30,864;-9,121;-61,068;-59,832
"montrer";-17,733;-24,003;-0,042;0,814;-1,792;-23,924;-9,114;1,663;1,485;126,199
"emji_visage_en_pleine_réflexion";-11,643;0,757;-0,48;-3,725;-2,128;-0,828;-0,162;-2,444;12,678;2,997
"emji_drapeau_suisse";472,887;-4,523;-16,596;-0,016;0,006;-2,18;-2,311;-2,494;-2,202;-7,517
"jeune";-13,169;-21,125;-14,971;-1,299;-4,897;-0,07;-6,202;57,257;105,855;-1,788
"nouveau";-11,81;-14,997;-3,617;-5,311;-0,76;5,09;1,963;11,15;14,235;-0,281
"gros";-17,048;-12,616;-20,667;-1,25;-1,631;47,074;8,844;0,004;1,623;-0,163
"côté";-17,619;-10,682;-0,468;0,015;-3,188;-2,33;4,687;0,952;71,768;-9,811
"simplement";-13,449;-25,527;-4,088;-0,145;-0,156;27,388;0,015;0;-15,579;42,563
"service";-12,608;-26,154;-12,507;-0,565;-1,525;78,863;-6,426;217,581;-2,282;-3,871
"meilleur";1,371;-5,543;-18,519;-5,74;2,121;3,195;5,747;-0,047;5,27;-0,072
"revenir";-17,048;-24,849;-17,577;-7,629;-1,631;367,22;-0,824;0,165;-28,007;-1,652
"oublier";-13,281;-16,054;8,706;-0,381;-4,929;10,229;6,214;0,132;-2,757;0,005
"espérer";-9,81;-12,96;-5,376;2,435;0,299;-2,857;-10,834;-1;173,333;-9,864
"réalité";-16,877;-26,64;-3,38;-4,78;-2,986;-3,365;-9;4,677;-2,209;191,976
"assurance";-16,135;-21,316;-39,876;-10,177;-4,604;1190,188;-13,026;-8,661;-64,839;-60,872
"agir";-16,819;-26,543;2,439;22,262;-1,578;-7,507;-2,618;0,011;-4,252;71,135
"créer";-16,42;-25,863;-0,369;0,015;-2,862;92,79;0,759;-0,76;-1,644;-1,671
"ville";-6,496;-18,001;-9,983;14,948;-0,382;-1,724;238,407;-4,578;-4,033;-5,268
"emji_visage_boudeur";-0,117;443,409;-0,379;0,585;-2,722;-8,051;-7,601;-3,261;-16,036;-22,861
"europe";-13,174;-20,336;37,698;-2,324;0,029;0,317;0,445;0,005;1,869;-2,108
"manquer";-12,552;-13,322;-12,395;-1,036;-0,575;2,042;-0,302;1,442;44,832;0,087
"pauvre";-11,601;-3,775;-14,428;-0,674;-0,424;134,294;-2,085;-8,355;4,328;-13,332
"animal";-2,693;-15,474;-20,589;-7,382;-4,23;-27,315;14,27;-1,824;275,001;-15,818
"justice";-4,324;-22,53;107,267;0;-2,661;-7,673;-16,874;0,101;0,093;3,296
"fin";-14,078;-17,609;6,69;-2,253;-1,42;2,674;-4,056;-1,393;10,854;1,981
"respecter";-15,565;-24,406;58,765;74,574;-0,027;-16,093;4,027;-0,544;-6,771;0,001
"santé";-13,567;-22,433;-27,991;-5,121;-1,304;370,41;10,233;-3,317;-21,636;-15,847
"situation";-15,907;-22,916;-0,173;1,194;-2,723;-3,626;-6,509;0,967;4,823;51,257
"protéger";-15,622;-24,504;-0,094;221,999;-4,457;-11,49;-1,584;28,549;0,032;0,219
"justement";-15,736;-22,626;-4,796;0;-2,677;1,096;-6,276;-0,166;-5,586;130,248
"emji_visage_roulant_des_yeux";-14,084;420,803;-8,916;-1,958;0,298;-5,207;-2,592;-1,542;-6,781;-9,184
"seulement";-15,508;-10,333;-0,67;4,252;0,108;10,62;21,846;0,123;-9,285;0,049
"rapport";-15,052;-9,671;-0,698;-1,676;-2,493;-2,366;-4,453;5,131;-8,17;126,426
"frontalier";-14,369;-11,515;-33,255;-10,522;0;477,686;4,42;-5,779;-35,703;-19,651
"appeler";-11,099;-7,153;10,892;0,206;-1,178;-6,346;-1,651;-4,464;2,034;16,46
"augmenter";-14,426;-13,166;-23,223;-12,595;-2,325;489,244;12,621;-7,744;-37,889;-29,292
"école";-14,653;-25,012;-12,541;-8,918;19,866;0,213;2,436;0,273;131,353;-17,855
"extrême";-14,312;-11,428;-1,747;-0,3;-4,084;-25,607;-16,063;-7,683;-33,573;456,979
"mot";-12,491;-11,777;10,142;-4,331;6,16;-33,64;-20,065;-2,824;0,83;119,194
"normal";-14,54;-13,346;-12,309;0;12,152;58,866;5,009;-0,88;-1,819;-0,468
"heure";-9,932;-10,733;-7,391;19,469;0,005;-0,231;194,303;-0,2;-4,72;-14,017
"dernier";-14,653;-13,526;2,566;0,725;-0,296;-2,863;0,525;-0,344;1,369;11,383
"mois";-14,027;-19,735;-18,755;-2,855;-4,002;445,442;-0,905;-0,228;-20,707;-18,488
"essayer";-14,71;-15,289;-0,266;-0,117;-4,197;-1,491;-0,936;-4,294;69,893;0,654
"policier";-12,095;-24,137;-4,965;1652,619;-2,249;-47,045;-21,226;-2,645;-1,742;-3,715
"chercher";-12,661;-15,289;-1,629;-0,406;-4,197;3,082;-4,926;0,261;14,95;8,197
"gagner";-11,248;-22,68;-20,529;-4,694;-0,805;479,166;-7,133;-1,252;-21,226;-11,138
"malheureusement";-10,71;-16,965;0,706;-2,281;-1,091;-7,216;-0,9;2,663;62,781;0,002
"terroriste";-11,473;-23,069;1446,646;-7,956;-3,856;-47,096;-26,299;-5,33;-40,52;-40,982
"solution";-13,856;-19,446;0,172;-1,833;-3,954;10,669;1,578;0,098;7,763;-0,425
"liberté";-9,322;-12,905;-2,928;16,427;-3,775;-18,895;-8,264;-0,11;-1,449;140,185
"civil";-13,629;-21,11;803,869;-2,604;-3,889;-21,721;-22,244;17,576;-22,411;-33,43
"canton";-13,231;-11,292;-26,185;-0,086;1,472;224,872;35,075;-5,181;-29,5;-15,828
"étranger";-13,515;-18,869;-4,887;-6,317;47,404;28,947;-5,286;-0,148;-5,519;28,057
"pire";-12,776;-9,106;3,699;-3,098;0,054;-16,026;41,294;-3,34;25,516;-3,08
"manière";-13,8;-19,35;-7,291;5,322;-0,91;-0,63;-0,434;-0,668;-2,202;93,172
"expliquer";-13,743;-10,56;0,005;-0,174;-3,921;8,976;-2,256;-0,182;-16,908;59,949
"argument";-11,643;-7,728;-8,181;-2,639;-3,905;-9,846;-10,33;1,24;-9,56;250,075
"emji_drapeau_territoires_palestiniens";1338,869;-14,349;15,755;-5,385;-2,399;-26,134;-14,207;-4,513;-29,04;-33,064
"aide";-13,629;-17,118;34,164;-0,007;-2,113;14,092;-5,44;-0,001;1,207;-4,717
"simple";-11,473;-13,361;-4,887;-0,003;2,822;14,656;-0,015;-2,369;0,689;4,693
"apprendre";-13,174;-20,336;-9,584;-4,609;521,516;-21,861;-6,963;1,531;41,621;1,917
"triste";-4,787;-8,471;-3;-0,381;-3,791;-12,235;-9,67;-1,252;288,778;-23,355
"international";-11,078;-22,389;257,171;77,032;-0,771;-13,001;-3,024;-5,121;-22,209;-4,376
"ouvrir";-13,231;-18,389;-0,828;-0,086;-0,133;-0,115;-1,783;-2,246;50,169;1,4
"étude";-13,003;-18,005;-27,717;-9,34;0,038;61,827;-3,704;0,245;-15,903;75,897
"honte";-13,06;-4,637;1,894;1,718;-0,76;-4,02;-12,192;-0,478;102,335;-9,423
"bas";-12,833;-3,438;-3,882;-0,681;-0,097;95,535;-2,03;0,019;-2,297;-1,629
"acheter";-10,852;-9,275;-9,034;-9,242;-1,918;16,598;415,736;-3,395;-16,92;-34,341
"possible";-9,212;-16,264;-1,605;-0,791;-0,122;28,297;1,282;0,006;1,127;-0,569
"propre";-13,174;-16,358;-2,857;-1,472;1,498;-0,018;-0,189;-0,505;22,626;7,396
"avis";-12,719;-10,498;-11,285;0,023;1,725;-17,301;-16,629;-0,055;7,183;124,942
"façon";-10,74;-9,106;-3,802;0,203;-1,888;-0,403;1,637;1,788;14,798;1,266
"voter";-6,932;-17,141;-18,658;-7,094;-0,07;7,499;-9,735;-0,036;-5,7;138,108
"terre";-10,345;-15,033;182,747;-2,832;-1,784;-7,676;1,004;-0,028;0,013;-11,864
"sécurité";-12,776;-15,695;-0,866;132,428;-3,645;7,475;-2,655;0,887;-2,211;-0,053
"interdire";-11,98;-12,584;-8,504;42,893;0,13;-16,494;103,763;-0,814;0,769;-0,984
"mauvais";-12,264;-13,046;-7,848;-1,791;-0,606;-1,624;0,678;2,164;8,925;24,05
"voiture";-8,164;-8,016;-25,344;-3,765;-3,434;-7,866;1147,633;-4,556;-32,655;-48,379
"super";-3,989;2,761;-14,883;-3,973;1,944;11,499;6,871;-0,311;0,103;-2,316
"choix";-6,773;-16,854;-6,826;-1,058;-3,516;15,465;-1,566;194,372;0,716;-3,485
"initiative";-4,036;-15,033;-18,391;-6,999;1,911;28,447;-12,56;3,395;-0,875;38,346
"égalité";-9,163;-9,666;-25,401;-6,003;-3,191;-11,359;-15,589;2665,813;-37,859;0,034
"respect";-1,158;-16,758;0,012;2,443;0,098;-31,541;-15,776;3,515;178,127;-9,291
"répondre";-11,98;-12,584;-2,083;-3,724;-0,553;-18,014;0,001;-0,814;-7,159;197,355
"foutre";-6,879;-3,904;-0,997;4,613;-1,799;0,006;-7,029;-1,907;96,944;-17,275
"terme";-11,469;-19,576;1,269;-0,692;-1,549;-3,969;-3,579;-0,659;0,012;73,743
"mériter";-0,32;-11,756;0,485;0,028;0,202;14,48;-12,56;-0,659;4,429;-0,497
"équipe";0,11;0,031;-8,905;-1,395;-1,028;1,836;-1,929;-0,421;38,412;-8,69
"majorité";-12,378;-18,981;-4,044;-4,015;0,087;19,652;0,6;5,038;-8,169;23,191
"important";-12,321;-16,854;-6,826;-0,004;-1,769;0,02;-0,633;5,114;46,27;0,141
"sembler";-12,151;-18,595;-0,002;0,093;-0,585;0,927;0,171;-0,868;-5,768;45,293
"victime";-6,509;-16,375;70,589;-2,608;-3,434;-16,67;-19,174;64,828;2,987;0,803
"taxe";-11,071;-12,867;-22,975;-9,666;-3,159;695,167;-10,243;-0,099;-39,7;-33,028
"entendre";-11,866;-6,462;1,297;-0,073;-0,031;-8,493;-4,081;-0,004;57,001;-0,003
"risque";-11,753;-10,557;-15,229;0,558;-3,353;25,805;25,119;-0,744;-4,125;2,043
"classe";-6,141;-8,847;-24,368;-8,162;-0,02;503,28;-9,727;-4,349;-18,633;-22,137
"également";-9,613;-17,725;1,082;-0,761;0,96;9,769;10,289;0,663;-7,263;0,945
"israel";-11,128;-16,856;1280,718;-7,722;-3,175;-40,752;-19,482;-5,974;-35,407;-42,157
"feu";-9,838;-14,184;215,203;5,529;-3,386;-30,126;29,23;-4,467;-1,886;-24,709
"pareil";-9,838;-6,462;-12,338;-0,856;-0,533;0,336;34,465;0,576;1,266;0,685
"manifestant";-9,613;-13,807;12,973;2125,363;-3,321;-40,234;-20,474;-6,248;-39,672;-35,365
"maladie";-9,556;-17,628;-26,381;-10,112;-3,305;669,255;-2,869;-2,765;-35,038;-31,041
"occuper";-11,526;-13,619;10,515;-1,387;-0,472;9,107;-0,537;0,71;17,966;-17,013
"baisser";-11,299;-15,131;-25,681;-7,868;-3,224;636,051;0,093;-4,171;-42,973;-36,092
"absolument";-7,89;-12,215;-3,162;-1,508;-1,622;-0,214;-7,201;0,619;0,434;66,23
"nombre";-10,391;-17,735;0,333;6,692;-0,287;25,257;17,461;0,498;-12,981;-2,426
"manger";-10,844;-12,493;-22,418;-5,721;-3,094;-2,235;766,236;-3,935;-19,029;-17,602
"taxer";-10,674;-16,084;-26,38;-9,319;-1,346;641,86;-6,765;-5,73;-35,823;-18,551
"nouvelle";-0,673;-1,236;-4,054;-4,508;-3,208;43,776;-0,745;-0,122;0,373;-2,179
"effet";-11,185;-6,785;-21,201;0,344;-1,476;-0,116;89,01;1,829;-1,419;2,102
"arme";-9,163;-13,055;187,212;0,853;-3,191;-6,828;-4,147;-1,399;-1,891;-1,173
"emji_visage_avec_des_symboles_dans_la_bouche";-3,998;473,663;-7,73;-0,552;-1,141;-12,325;-2,54;-2,146;-7,744;-12,291
"crime";-10,844;-18,51;758,461;-1,861;-3,094;-24,561;-18,932;-1,267;-24,227;-10,738
