"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"guerre";-29,497;-32,365;-6,126;-10,167;-7,091;-30,532;-39,764;-10,943;-24,462;-20,38;-21,274;-11,804;-9,639;1857,772
"argent";-32,17;-31,627;-6,236;-16,339;-5,311;-31,556;-16,6;-10,076;-23,883;257,09;710,467;-15,148;-4,267;-25,637
"emji_feu";2478,801;-10,17;-1,139;-9,261;-1,67;-11,402;-12,619;-11,968;-10,178;-19,8;-19,93;-9,501;-14,728;-13,157
"politique";-28,251;-47,214;-4,013;-4,107;-0,414;-9,918;-23,413;305,415;-0,637;-2,985;-0,958;43,083;67,511;-0,507
"accord";-24,141;-22,184;0,081;-8,901;0,111;-7,35;-0,432;0,003;1,598;0,209;5,968;0,009;4,042;45,592
"laisser";-29,785;-44,155;-1,263;2,322;-1,945;53,774;0,429;-0,682;1,034;-0,474;0,907;0,001;7,676;-1,195
"partir";-27,175;-33,691;-2,318;0,355;0,057;-0,517;-0,602;27,943;-2,185;-5,869;248,527;0,014;-0,007;-16,518
"sentir";-21,29;-26,804;-2,308;-6,175;-0,311;13,811;-0,818;-3,94;2,171;-6,582;-2,167;11,585;206,545;-17,532
"devenir";-29,388;-39,486;-3,832;-0,745;0,394;1,354;6,142;0,005;-5,172;0,891;157,135;2,994;0,88;-28,125
"besoin";-18,904;-32,539;-3,684;2,421;0,091;0,118;-0,556;-0,046;-0,055;30,51;36,195;0,426;4,913;-19,893
"place";-24,744;-41,035;192,242;0,177;-0,134;-0,162;8,147;-0,015;0,133;7,622;-0,36;0,322;6,707;-7,091
"palestine";103,117;-41,632;-5,268;2,682;-2,688;-28,901;-36,067;-8,911;-7,659;-37,756;-34,354;-3,355;-1,574;719,459
"hamas";-25,029;-31,948;-4,852;-20,77;-5,616;-39,3;-47,133;-20,274;-31,961;-44,417;-46,638;-17,219;-38,908;2835,47
"travailler";-25,311;-27,012;-4,906;-5,641;-0,055;-1,996;-12,474;-11,657;-12,527;104,045;583,604;-3,934;-5,798;-45,776
"français";-26,159;-13,686;-0,791;-11,315;289,895;-6,529;-9,68;-0,193;1,851;2,775;227,305;0,003;-1,755;-35,006
"connaître";-22,904;-20,249;-0,25;-2,368;6,418;-0,567;-5,795;0,004;14,88;-2,641;-11,004;31,844;145,736;-9,78
"peuple";-21,838;-39,445;-1,769;-0,511;-2,443;-17,828;-20,951;14,385;-14,609;-4,141;0,074;-0,015;12,341;311,289
"continuer";-14,598;-35,236;-0,75;-0,227;-1,278;-1,503;2,817;-0,36;-0,123;0,608;0,215;-0,288;-0,852;82,7
"changer";-22,119;-28,529;-1,814;0,292;-5,883;-0,3;1,969;-8,195;-1,6;25,707;-4,159;-3,616;244,331;-20,261
"raison";-23,842;-18,6;-0,175;0,663;-0,084;45,053;-0,032;0,496;-1,437;0,178;-4,562;2,607;15,93;-2,939
"manifestation";-24,069;-36,171;-2,846;4295,942;-5,401;-37,416;-42,996;-13,841;-24,95;-32,335;-40,5;-9,878;-10,763;1,424
"arriver";-25,198;-18,902;0,319;0,006;5,564;0,455;-1,831;-0,882;0,945;22,771;26,982;0,055;0,134;-7,149
"etc";-22,94;-34,191;-0,029;-1,203;-3,305;4,813;63,434;-4,765;-6,454;67,655;0,385;-0,844;-1,809;-4,265
"humain";-16,618;-36,766;-4,731;-0,198;-5,477;22,758;-0,268;-0,015;-7,218;-16,412;-15,468;8,13;170,867;3,301
"plutôt";-24,803;-22,846;-1,589;-2,665;-3,706;-0,932;-0,101;-0,419;-3,733;0,532;2,46;6,409;169,629;-5,877
"rendre";-19,935;-24,844;-0,543;-0,682;-0,311;9,843;-0,008;-2,729;-0,809;-5,988;-1,837;0,85;44,412;17,56
"utiliser";-23,448;-31,119;-1,378;0,178;-3,414;-5,028;2,288;0,004;-5,322;4,625;-0,769;149,299;1,888;1,226
"gauche";-21,026;-10,694;-4,48;-0,441;-3,341;-26,366;-6,491;2301,962;-13,094;-9,686;-3,907;-7,765;-16,703;-10,077
"sujet";-21,701;-16,739;-4,611;-4,636;-2,029;0,015;-24,292;-0,055;9,554;-21,327;-15,828;436,79;130,303;-26,433
"moment";-19,488;-22,436;0,064;4,975;-0,27;100,17;-15,448;1,426;1,629;-0,211;-1,154;-0,014;0,254;-0,342
"cause";-21,195;-32,776;-0,465;25,627;-3,378;1,193;2,461;0,312;-12,103;0,678;-7,257;-0,958;53,428;2,622
"population";-23,279;-36,854;-2,701;1,898;-3,378;-2,38;-3,802;-4,986;-10,93;0,229;71,827;0,155;8,639;30,799
"impôt";-21,869;-30,319;-2,444;-15,943;-3,075;-37,13;-38,324;-11,968;-26,531;142,234;1465,703;-16,211;-35,015;-45,488
"exemple";-20,632;-27,968;0,675;0,116;-0,807;0,594;7,455;-1,458;-0,839;3,47;21,407;3,616;3,784;-8,522
"beau";-1,609;-7,628;-1,334;-6,355;3,092;480,757;-1,636;-0,014;-7,636;-4,35;-2,725;-0,92;-3,64;-36,82
"part";-23,053;-26,723;-0,033;0,933;-0,001;-0,676;-9,095;-5,921;-1,821;0,512;36,343;1,852;70,925;-0,777
"paix";-3,661;-13,617;-4,206;2,274;-4,869;-7,06;-28,451;-4,995;-12,338;-28,22;-24,579;-10,866;-3,569;893,83
"aimer";-5,151;-5,121;-2,557;-1,036;-3,208;129,786;-10,276;-0,211;7,065;-9,967;-1,717;0,107;16,572;-16,723
"coup";-20,913;-18,409;-1,309;5,609;-0,221;0,124;8,705;0,38;54,151;-0,019;3,865;-3,422;-10,364;-2,64
"emji_visage_souriant_avec_une_goutte_de_sueur";-14,461;922,869;0,005;-5,484;-0,493;-10,259;-6,29;-7,682;-2,461;-3,126;-9,516;-4,575;-9,969;-26,725
"entreprise";-20,63;-34,306;-3,999;-16,77;-4,629;-32,652;-1,111;-18,419;-28,173;198,735;789,238;-11,544;-14,104;-34,494
"genre";-22,207;-17,174;-2,505;-2,07;-1,732;10,818;-7,011;0,298;86,457;-9,596;-12,172;6,218;103,996;-27,657
"droite";-21,306;-22,036;-4,13;-4,02;-2,955;-18,331;-22,631;2909,174;-27,426;-9,511;-1,829;-6,39;-16,58;-9,06
"gaza";-15,613;-31,721;-4,174;-4,164;-4,831;-30,526;-35,597;-11,681;-29,741;-19,253;-33,717;-14,062;-30,406;1981,835
"compte";-21,982;-23,163;0,167;-1,961;1,003;-4,912;-7,594;-0,132;69,58;7,892;0,541;2,593;16,738;-5,817
"tellement";-10,541;0,022;-4,152;-1,698;-1,587;109,151;-6,836;5,813;12,724;-4,88;-6,842;-9,128;10,621;-19,868
"lire";-17,647;-14,97;-0,311;0,006;0,012;-2,672;-25,029;-1,618;928,982;-17,979;-18,123;-0,86;-4,257;-10,703
"ca";-18,387;-3,169;-2,189;-3,491;-2,775;0,963;-0,44;-0,004;208,01;0,051;-0,051;-9,81;-7,978;-2,222
"violence";-20,124;-35,592;-3,901;217,801;-4,516;186,369;-40,953;6,28;-2,284;-27,399;-31,118;0,717;15,478;-1,92
"social";-21,25;-29,24;-2,331;-5,003;-2,943;4,416;-18,011;-0,5;-1,565;84,71;61,848;2,4;16,198;-32,286
"importer";-19,621;-9,944;3,725;-0,159;2,249;-0,073;-0,041;0,03;-5,949;-6,928;-8,156;-1,964;279,728;-3,473
"emji_visage_qui_pleure_à_chaudes_larmes";3,404;1179,087;-2,109;-7,932;-2,442;-17,458;-11,807;-9,714;-9,799;-15,148;-12,378;-10,067;-14,494;-20,588
"société";-21,193;-31,129;-4,108;-7,346;-2,931;53,205;-9,361;0,584;-11,618;2,129;13,239;43,5;37,928;-22,285
"manifester";-18,499;-34,206;-3,988;2852,043;-4,617;-25,047;-37,633;-5,331;-17,613;-22,645;-28,014;-11,495;-8,127;13,059
"permettre";-21,531;-33,777;-1,09;2,397;27,49;0,015;13,478;0,043;-4,933;13,569;7,889;1,012;1,259;-11,454
"niveau";-18,611;-22,72;115,212;-11,352;464,837;0,044;-0,003;-2,517;-1,22;2,636;0,366;21,139;5,234;-42,579
"famille";-5,283;-20,282;-4,119;-0,005;0,025;74,739;-10,501;0,071;-5,455;3,931;1,734;-1,174;-1,558;4,258
"système";-20,405;-36,09;1,185;-9,532;-1,404;-8,207;-1,765;0,039;-11,744;79,188;240,118;-0,038;4,119;-37,817
