"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"darius";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"dard";-0,166;-0,293;-0,032;25,129;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"daech";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;8,436
"cérémonie";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;5,491;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"cérébral";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;2,042;5,257;-0,314;-0,411
"célébration";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"cyclique";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;11,44;-0,411
"cuve";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;-0,411
"cupidité";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;5,257;-0,314;1,28
"cumuler";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;2,042;-0,153;1,991;-0,411
"cuisson";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;25,311;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"cuisinier";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"cueillette";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;1,991;-0,411
"css";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;30,603;-0,309;-0,153;-0,314;-0,411
"csc";4,775;-0,293;-0,032;5,345;25,576;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"cs";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;2,042;-0,153;-0,314;-0,411
"créancier";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;11,655;-0,153;-0,314;-0,411
"crânien";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;5,257;-0,314;-0,411
"crs";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;2,208;2,198;-0,309;-0,153;-0,314;-0,411
"croûte";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"croisade";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;1,28
"cro";-0,166;2,209;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"cribler";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"creer";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"crayon";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;12,343;-0,294;2,042;-0,153;-0,314;-0,411
"craquer";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;1,991;1,28
"crampon";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"crade";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;12,343;-0,294;-0,309;-0,153;-0,314;-0,411
"cpp";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;1,28
"cow_boy";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;11,44;-0,411
"coutera";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;2,042;-0,153;-0,314;-0,411
"courtois";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;-0,294;2,042;-0,153;-0,314;-0,411
"couronner";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"cotiseront";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;29,146;-0,153;-0,314;-0,411
"corrélée";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;5,491;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"correspondance";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;2,198;-0,309;-0,153;-0,314;-0,411
"coquille";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"coque";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;25,311;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"coq";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;-0,314;-0,411
"convoquer";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;11,44;-0,411
"convivialité";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"convivial";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"conventionnel";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"convaincant";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;2,198;-0,309;-0,153;-0,314;-0,411
"contributeurs";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;25,719;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"contreproductif";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"contravention";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"contracter";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;9,955;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"contraceptif";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;8,436
"contest";4,775;12,347;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"consolider";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;1,28
"consoler";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"connor";-0,166;2,209;-0,032;-0,151;25,576;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"connard";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;1,28
"conjointement";22,823;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"conforter";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"confortablement";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"conformité";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;2,042;5,257;-0,314;-0,411
"conflict";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;11,44;1,28
"confisquer";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;1,28
"conditionné";-0,166;-0,293;-0,032;-0,151;-0,037;27,243;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"compétions";-0,166;-0,293;29,811;5,345;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"comptoir";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;5,257;-0,314;-0,411
"compresser";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;2,198;2,042;-0,153;-0,314;-0,411
"comportments";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"complétement";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;-0,411
"compatible";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"comms";4,775;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"commentes";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;12,343;-0,294;-0,309;-0,153;1,991;-0,411
"combustion";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;25,311;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"combiner";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;5,257;1,991;-0,411
"combinaison";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;-0,411
"colporter";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"colonne";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;12,343;-0,294;-0,309;-0,153;-0,314;-0,411
"collision";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;2,198;-0,309;-0,153;-0,314;-0,411
"colline";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"coke";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;2,042;-0,153;-0,314;-0,411
"cohabiter";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"cocotte";-0,166;2,209;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;-0,411
"cocaïne";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"cocasse";-0,166;-0,293;-0,032;25,129;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"clément";-0,166;-0,293;-0,032;5,345;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"clouer";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;9,955;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"cloche";-0,166;-0,293;-0,032;-0,151;25,576;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"clivage";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"clause";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;-0,314;1,28
"classé";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;-0,411
"clash";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"clarté";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;1,991;1,28
"claquette";-0,166;2,209;-0,032;-0,151;25,576;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"claquer";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;2,208;2,198;-0,309;-0,153;-0,314;-0,411
"circulaire";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;1,991;-0,411
"cingler";4,775;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"cimetière";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;21,879
"chèvre";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;1,637;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"chávez";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;25,719;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"christianisme";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;8,436
"chouine";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;1,991;-0,411
"chiotte";-0,166;-0,293;-0,032;-0,151;25,576;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"chiite";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"chemise";-0,166;-0,293;-0,032;-0,151;-0,037;27,243;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"charline";-0,166;-0,293;-0,032;25,129;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"chandelle";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;2,198;2,042;-0,153;-0,314;-0,411
"chambouler";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;1,991;-0,411
"chaleureux";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;5,491;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"chaire";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;5,257;1,991;-0,411
"chair";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;5,257;-0,314;-0,411
"chaines";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;2,042;5,257;-0,314;-0,411
"chagrin";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"chad";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"cgn";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"cessation";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;21,879
"cervelas";-0,166;2,209;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"central";-0,166;-0,293;29,811;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"centimètre";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;5,257;1,991;-0,411
"center";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"cbd";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;12,343;-0,294;-0,309;-0,153;-0,314;-0,411
"cb";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;30,603;-0,309;-0,153;-0,314;-0,411
"catalogue";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;5,257;-0,314;-0,411
"castro";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;8,436
"caste";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;11,44;-0,411
"casserole";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;5,491;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"casi";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;-0,309;5,257;-0,314;1,28
"casanier";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;2,042;-0,153;1,991;-0,411
"carlos";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;5,257;-0,314;1,28
"capturer";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;5,257;-0,314;1,28
"captivité";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"candidature";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;1,991;-0,411
"camping";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;11,655;-0,153;-0,314;-0,411
"camoufler";-0,166;12,347;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"camer";4,775;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;11,655;-0,153;-0,314;-0,411
"calédonie";-0,166;-0,293;280,174;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"calibre";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;1,28
"calculette";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;1,991;-0,411
"cadrer";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;2,208;2,198;-0,309;-0,153;-0,314;-0,411
"cadence";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"cachette";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"cachet";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"cabinet";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;-0,314;1,28
"bz";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;1,991;-0,411
"buste";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;1,637;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;-0,411
"burnouts";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;-0,314;-0,411
"bull";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;60,831;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"brélaz";4,775;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"brics";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;2,198;-0,309;-0,153;-0,314;1,28
"brice";-0,166;30,707;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"brebis";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;1,28
"brasser";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;5,257;1,991;-0,411
"branler";-0,166;2,209;-0,032;5,345;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"bowling";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;25,311;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"boutonneux";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;12,343;-0,294;-0,309;-0,153;-0,314;-0,411
"boussole";-0,166;-0,293;29,811;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"bourre";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;1,991;-0,411
"bourg";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"bouleverser";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;2,198;-0,309;-0,153;1,991;-0,411
"bouillie";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;-0,411
"boug";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;12,343;-0,294;-0,309;-0,153;-0,314;-0,411
"bouchonner";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;9,955;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"bonté";-0,166;-0,293;-0,032;-0,151;-0,037;10,811;-0,356;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"bonnement";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;-0,293;-0,294;2,042;-0,153;1,991;-0,411
"bonhomme";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;1,28
"bondir";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;-0,153;-0,314;1,28
"bonder";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;2,042;-0,153;-0,314;-0,411
"bombardier";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;2,198;-0,309;-0,153;-0,314;-0,411
"bom";4,775;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;1,28
"bleri";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;21,879
"blast";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;2,208;-0,294;-0,309;5,257;-0,314;-0,411
"bizzarement";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;9,955;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"biologiste";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;25,311;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"binational";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;12,301;-0,309;-0,153;-0,314;-0,411
"bille";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;2,042;-0,153;1,991;-0,411
"bien_pensant";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;5,491;2,208;-0,294;-0,309;-0,153;1,991;-0,411
"biche";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;2,198;-0,309;5,257;-0,314;-0,411
"biarritz";4,775;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"bertarelli";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;11,655;-0,153;-0,314;-0,411
"berset";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;2,198;-0,309;-0,153;1,991;-0,411
"belligérant";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;5,257;-0,314;8,436
"beauty";-0,166;-0,293;-0,032;-0,151;25,576;-0,33;1,637;5,491;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"beast";-0,166;-0,293;-0,032;-0,151;25,576;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;1,991;-0,411
"beach";4,775;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"bavière";-0,166;2,209;-0,032;-0,151;25,576;-0,33;-0,356;-0,148;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"bannière";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;1,637;5,491;-0,293;-0,294;2,042;-0,153;-0,314;-0,411
"bandé";-0,166;-0,293;-0,032;5,345;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;1,28
"banditisme";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;11,655;-0,153;-0,314;-0,411
"bananier";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;2,198;11,655;-0,153;-0,314;-0,411
"banane";4,775;2,209;-0,032;-0,151;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;-0,411
"banalises";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;8,436
"banalisation";-0,166;-0,293;-0,032;-0,151;-0,037;1,84;-0,356;-0,148;-0,293;-0,294;-0,309;24,772;-0,314;-0,411
"ban";-0,166;2,209;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;2,208;-0,294;-0,309;5,257;-0,314;-0,411
"ball";-0,166;-0,293;-0,032;5,345;-0,037;-0,33;1,637;-0,148;-0,293;-0,294;-0,309;-0,153;1,991;-0,411
"balfour";-0,166;-0,293;-0,032;-0,151;-0,037;-0,33;-0,356;-0,148;-0,293;-0,294;-0,309;-0,153;-0,314;21,879
