"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"132";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"133";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62
"134";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;64;64;64
"135";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44
"136";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;52;52;52;52;52;52;52;52;52
"137";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;53;53;53;53;53;53;53;53;53
"138";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"139";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"140";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;55;55;55;55;55;55;55;55
"141";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47
"142";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"143";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63
"144";2;5;6;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;50;50;50;50;50;50;50;50;50;50
"145";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"146";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;56;56;56;56;56;56;56
"147";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;52;52;52;52;52;52;52;52;52
"148";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;53;53;53;53;53;53;53;53;53
"149";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;69
"150";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;66;66
"151";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"152";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"153";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"154";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"155";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"156";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"157";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"158";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;53;53;53;53;53;53;53;53;53
"159";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"160";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"161";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"162";2;5;6;8;10;12;12;16;16;16;16;16;16;16;16;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;67;67
"163";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47
"164";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"165";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;47;47;47;47;47;47;47;47;47;47;47;47
"166";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;63;63;63;63
"167";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"168";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;45;45;45;45;45;45;57;57;57;57;57;57;57
"169";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"170";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;52;52;52;52;52;52;52;52;52
"171";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62
"172";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;69
"173";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
"174";2;5;7;7;7;7;14;14;14;14;22;22;22;22;22;22;22;37;37;37;37;37;37;37;37;53;53;53;53;53;53;53;53;53
"175";2;5;6;9;9;9;9;9;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"176";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"177";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"178";2;5;6;8;10;13;13;13;13;20;20;20;26;26;26;26;26;26;26;26;43;43;43;43;43;43;54;54;54;54;54;54;54;54
"179";2;5;6;9;9;9;9;9;19;19;19;24;24;29;29;29;29;29;29;29;29;29;46;46;46;46;46;46;59;59;59;59;59;59
"180";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
"181";2;5;6;9;9;9;9;9;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"182";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"183";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;39;39;39;44;44;44;44;44;44;44;44;44;44;44;44;44
"184";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"185";2;5;6;8;10;13;13;13;13;20;20;20;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"186";2;5;7;7;7;7;15;15;15;15;15;15;15;15;15;15;34;34;34;34;34;34;34;49;49;49;49;49;49;61;61;61;61;61
"187";2;5;6;9;9;9;9;9;19;19;19;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;62;62;62;62
"188";2;5;6;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;50;50;50;50;50;50;50;50;50;50
"189";2;5;6;8;10;12;12;17;17;17;17;17;17;17;31;31;31;31;31;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
