"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"mobarrez";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"meurtre";0;1;0,158;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"media";1;1;1;1;1;1;0,025;1;1;0,015;1;1;1;1;1;0,056;1
"matériau";1;1;1;0,306;1;1;1;1;0,116;0;1;1;1;1;1;0,213;1
"maternité";1;0,306;0,004;1;1;1;1;1;1;1;0,183;1;1;1;1;0,213;1
"marquant";1;1;1;1;1;1;1;1;0,116;1;0,001;1;1;1;1;0,213;0,089
"marcher";1;1;1;1;0,205;1;0,067;1;1;1;1;1;1;1;1;0,128;0,045
"maintien";0,002;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"luxe";1;1;1;1;0,103;1;1;1;1;1;1;0;1;1;1;1;1
"lecornu";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"kit";1;1;1;1;0,103;0,022;1;1;0,022;1;1;1;1;1;1;1;1
"julie";1;1;1;1;1;1;1;1;1;0,045;0;1;1;1;1;1;1
"john";1;1;1;1;0,103;1;1;1;1;1;0,045;1;1;0,019;1;1;1
"jeunesse";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,128;1
"jelassi";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,045
"jambe";1;1;1;1;1;1;1;1;1;1;0;1;0,113;1;1;0,128;1
"islamiste";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"interruption";1;1;1;0,306;1;1;0;1;1;1;1;1;1;1;1;1;1
"insécurité";1;0,002;0,158;1;0,205;1;1;1;1;1;1;1;1;1;1;1;1
"individuel";0,316;0,415;1;1;0,427;1;1;1;0,179;1;0,265;1;1;1;0,191;1;1
"indice";0,223;1;1;1;1;1;1;1;1;0,089;1;1;0,193;1;0,125;0,213;1
"inacceptable";1;0,415;0,011;1;1;1;0,191;0,203;1;1;1;1;1;1;0,191;1;1
"immunitaire";1;1;1;1;1;1;1;1;0,022;0;1;1;1;1;1;1;1
"hériter";1;1;0,074;1;1;1;1;1;1;0,015;1;1;1;0,019;1;1;1
"hébergements";1;1;1;0,098;1;1;0,025;1;1;1;1;1;1;1;0,025;1;1
"hybride";1;0,002;1;1;0,205;1;1;1;1;1;1;1;1;1;1;0,128;1
"house";0,002;1;1;1;1;1;1;1;1;1;1;0,173;1;0,107;1;1;0,089
"habituer";1;0,002;1;1;1;1;0,067;1;1;1;0,106;1;1;1;1;1;1
"grégory";0,061;1;1;0,098;1;1;1;1;1;1;1;1;1;1;1;0,056;1
"gouvernemental";1;0,197;1;1;1;1;1;1;1;1;1;1;1;1;1;0,128;0
"front";0,061;1;0,074;1;1;1;1;1;1;1;1;0,041;1;1;1;1;1
"francophone";1;1;1;1;0,205;1;1;1;0;1;1;1;1;1;0,067;1;1
"fragile";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"fr";1;1;1;1;0,103;1;0,025;1;1;1;1;1;1;1;1;0,056;1
"floride";1;1;1;1;1;1;1;1;1;1;0,045;1;0,048;1;1;1;0,015
"fischer";1;0,098;1;1;1;1;1;1;1;1;0,045;1;1;0,019;1;1;1
"fiscal";1;0,098;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"fermement";0;1;1;0,197;0,205;1;1;1;1;1;1;1;1;1;1;1;1
"fameux";1;1;1;1;1;1;1;1;1;1;0,001;0,001;1;1;1;0,213;1
"extérieur";1;0,306;0,254;1;1;1;0,125;1;1;1;1;1;0,001;1;1;1;1
"exportation";1;1;0,254;1;1;1;1;1;1;1;0,183;1;1;1;1;1;0
"excuse";0;1;1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1
"exclusivement";1;0,098;1;1;0,103;1;1;1;1;1;1;1;1;1;1;0,056;1
"estimation";1;0,415;1;1;0,427;1;0,191;1;0,179;1;0,265;1;1;0,167;1;1;1
"espagnol";1;1;1;1;1;1;1;0,203;1;1;1;0,253;1;0,001;1;0,007;1
"enregistrement";1;1;1;0,098;0,103;1;1;1;1;1;1;1;1;0,019;1;1;1
"empreinte";1;1;1;0,197;1;1;1;1;1;0,045;0,106;1;1;1;1;1;0,045
"emji_vague";1;0,306;1;1;1;1;1;1;1;1;1;0,001;0,001;1;1;1;1
"emji_projecteur_cinématographique";1;1;1;0,197;0,205;1;1;1;1;0,045;1;0,099;1;1;1;1;1
"emji_journal";1;0,197;0,158;1;1;1;1;1;1;1;1;0,099;1;1;1;0,128;1
"emji_haut_parleur";0,008;1;0,011;0,415;1;1;1;0,203;1;1;1;1;1;1;1;1;1
"emji_drapeau_union_européenne";1;1;1;1;0,205;0;1;1;1;1;1;1;1;1;1;1;1
"emji_drapeau_australie";1;0,415;1;1;1;0,179;1;0,203;1;1;1;1;0;1;1;1;1
"emji_billet_en_euros";1;1;1;0,197;0,205;1;1;0,073;1;1;1;0,099;1;1;1;1;1
"détresse";1;1;0,158;1;0,205;1;1;1;1;0,045;1;1;0,113;1;1;1;1
"dérober";1;1;1;1;1;1;1;1;1;1;1;0,041;0;1;1;1;1
"déploiement";1;1;0,001;1;1;1;1;0,073;1;1;1;1;1;1;1;0,128;1
"dépense";1;1;1;0,098;1;1;1;1;1;1;1;1;1;1;0,025;1;0,015
"dépendant";1;0,306;1;0,306;1;0,116;1;1;1;1;1;1;1;1;0,125;1;0,089
"déficit";1;1;1;1;1;1;1;0;0,061;1;1;1;1;1;1;0,128;1
"déclin";1;0;1;1;0,317;1;1;1;1;1;1;0,173;1;1;1;1;1
"décharge";1;1;1;0,098;0,103;1;1;0,028;1;1;1;1;1;1;1;1;1
"douche";1;0,415;1;1;1;1;0;1;1;0,143;1;1;1;1;1;1;1
"dormir";1;0,197;1;1;1;1;0,067;1;0,061;1;1;1;1;0,056;1;1;1
"documentaire";1;1;1;1;1;1;1;1;0,061;1;1;1;1;0;1;1;0,045
"division";1;1;1;1;1;1;1;0,073;1;1;0;1;1;1;1;1;1
"divertissement";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
"diversifier";1;1;1;1;0,103;0,022;1;1;1;1;1;0,041;1;1;1;1;1
"distributeur";1;1;1;1;0,317;1;1;1;1;1;1;1;0,001;1;0,125;0,213;1
"distribuer";1;1;0,254;0,306;1;1;1;1;1;1;1;0,173;0,193;1;1;0,213;1
"descendre";1;1;0,254;1;1;1;1;0;1;1;1;1;1;1;0,125;1;0,089
"convenir";1;1;0,001;1;1;1;1;0,073;1;1;1;1;1;1;1;1;0,045
"controverse";0;1;1;1;1;1;1;1;0,061;1;1;1;1;0,056;1;1;1
"contraire";1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1
"contraignant";1;1;0,001;1;1;1;1;1;1;1;1;1;1;1;0,067;1;0,045
"contemporain";1;1;1;1;1;1;1;1;1;1;1;0;1;0,056;1;1;1
"consulter";0,316;1;1;1;1;0,001;0,191;1;0,001;1;1;1;1;1;1;1;1
"considérable";1;1;1;0,197;0,205;1;1;1;1;1;1;1;1;1;1;0,128;0,045
"conscience";1;1;1;1;1;1;1;1;0;1;0,183;1;1;0,107;0,125;1;1
"confort";1;0;1;1;1;1;0,025;1;1;1;1;1;1;1;1;1;1
"concurrence";1;1;1;0,306;0,008;1;1;1;0,116;1;1;1;1;1;0,125;1;1
"concert";1;1;1;1;1;1;1;0,203;1;1;0,265;0,253;1;0;1;1;1
"commerçant";1;1;1;0,007;0,008;1;0,125;1;1;1;1;1;1;1;1;1;1
"combiner";1;0,197;1;1;1;1;1;1;1;1;0,106;0;1;1;1;1;1
"com";1;0,098;1;1;1;1;1;1;1;1;0,045;1;1;0,019;1;1;1
"colère";0,223;1;1;1;1;1;1;0;0,116;1;1;1;1;1;1;1;1
"classe";0,316;0,415;1;0,415;1;0,179;0,191;1;1;1;1;0,253;1;1;1;1;1
"circonstance";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"chemin";1;1;1;1;0,205;1;0,067;0,073;1;1;1;1;1;0,056;1;1;1
"chaux";1;0,098;1;1;0,103;1;1;1;1;0,015;1;1;1;1;1;1;1
"chasse";1;1;1;0,415;1;0,179;1;1;0,179;1;1;0,253;0,278;1;1;0,303;1
"cesser";1;1;0,011;1;1;1;1;1;0,179;1;0,265;1;1;1;0,191;0,303;1
"camp";0;1;0,158;1;1;1;1;1;1;1;1;1;1;1;1;0,128;1
"calendrier";1;1;1;0,306;0,317;1;1;1;1;1;1;0,173;1;0,107;1;1;0,089
"bulle";1;1;1;0;0,205;1;1;1;1;1;1;1;1;1;1;1;1
"briser";0,223;1;0,004;1;1;1;1;1;0,116;0,089;1;1;1;1;1;1;1
"brigade";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0,056;1
"blocus";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,045
"blatten";0,061;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"birdlife";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"be";1;1;1;1;1;0,061;1;1;1;1;1;1;0,113;1;1;0;1
"baptiser";1;1;1;0,306;1;1;0;1;1;1;1;1;1;1;0,125;0,213;1
"balle";1;1;1;1;1;1;1;0,134;1;1;0,001;1;0,001;1;1;1;1
"axer";1;1;0,158;1;1;1;1;1;0,061;1;1;1;1;1;0,067;0,128;1
"aviation";1;1;0,254;1;0,317;1;1;1;1;1;1;0,001;1;1;1;0,213;1
"avc";1;0;1;1;1;1;1;1;1;0,015;1;1;1;1;1;1;1
"avancer";1;1;1;1;1;1;1;1;1;0;0,106;1;1;1;0,067;1;1
"autonomie";1;0,002;0,158;0,197;1;1;1;1;1;1;1;1;1;1;1;1;1
"automobiliste";1;1;1;0,007;1;0,116;1;1;1;1;0,183;1;1;1;0,125;1;1
"automatiquement";1;1;1;1;0,103;0,022;1;1;1;1;1;1;1;1;1;0,056;1
"automatique";1;0,415;1;0,415;1;1;0,191;1;1;1;1;1;0,005;1;1;0,303;1
"attirant";1;1;1;1;1;1;1;1;0,116;1;1;0;1;0,107;1;1;1
"assureur";1;1;1;0,197;1;1;1;1;0,061;1;1;1;1;1;0;1;1
"assumer";1;0;1;1;0,427;1;1;0,002;1;1;1;1;1;1;1;1;1
"associé";1;1;1;0,415;1;1;1;1;0,001;0,143;1;1;1;1;0,001;1;1
"approbation";1;1;0,158;1;1;1;0,067;0,073;1;1;1;1;1;1;1;1;0,045
"apparition";1;1;1;1;1;0;0,125;1;1;0,089;1;0,173;1;1;1;1;1
"anniversaire";1;1;1;1;1;1;1;0,134;1;1;0,001;1;1;1;1;1;0
"amener";1;0,306;1;1;1;0,116;1;1;1;0,089;1;1;0,193;0,107;1;1;1
"alimentation";1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"aire";1;0,197;1;1;0,205;0,061;1;1;1;1;1;1;1;1;1;0,128;1
"accusé";0;1;0,158;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"abattre";1;1;1;1;0,317;0,116;0,125;1;1;1;1;1;0,001;1;1;1;1
"étendue";1;1;1;0,197;1;1;1;0,073;1;0,045;1;1;0,113;1;1;1;1
"équitable";0,061;1;1;0,098;1;1;1;0,028;1;1;1;1;1;1;1;1;1
"épuiser";1;0,306;0,254;1;1;1;1;1;0,116;1;0,183;1;1;1;0,125;1;1
"énorme";0,135;1;1;1;1;1;0,067;1;1;1;0,106;1;0,113;1;1;1;1
"émerger";1;0,197;1;1;1;1;1;1;0,061;1;1;0,099;1;1;1;0,128;1
"élite";0,061;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"éditeur";1;1;1;1;1;1;1;1;0,061;1;1;0,099;1;0,056;1;0,128;1
"écraser";1;1;1;1;1;1;1;1;0,061;0,045;0,106;1;0,113;1;1;1;1
"échapper";0,061;1;1;0,098;1;1;1;1;1;1;1;1;1;1;0,025;1;1
"échanger";1;1;1;1;1;1;1;1;1;0,015;0,045;1;1;1;1;1;0,015
"yves";1;1;1;1;0,103;1;1;0,028;1;1;1;1;1;0,019;1;1;1
"vêtement";1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,025;1;1
"vérification";0,135;0,197;0,158;1;1;1;0,067;1;1;1;1;1;1;1;1;1;1
"vélo";1;1;1;1;1;1;0,025;1;1;1;0,045;1;1;1;0,025;1;1
"vecteezy";1;0,306;1;0,306;1;0,116;1;1;0,116;0,089;1;1;1;1;1;1;1
"valaisan";1;1;1;0,197;0,205;1;1;1;1;1;0,106;1;1;1;1;0,128;1
"valable";1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;0,025;1;0,015
"user";1;1;1;1;1;1;1;1;0,022;1;0,045;1;1;1;1;1;0,015
"usager";1;1;1;0,098;0,103;1;0,025;1;1;1;1;1;1;1;1;1;1
"uni";0,135;1;0,158;1;1;1;1;0,073;1;1;1;1;0,113;1;1;1;1
"téléphonique";1;1;0,158;1;1;1;1;1;0;1;0,106;1;1;1;1;1;1
"téléphone";1;1;1;0,007;1;1;1;1;1;1;0,183;1;1;0,107;0,125;1;1
"trentaine";1;1;0,074;1;0,103;1;1;1;1;1;1;1;1;1;1;0,056;1
"ti";1;1;1;1;1;1;0,067;1;1;1;1;1;0;1;0,067;1;1
"thaïlandais";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0,045
"tendu";1;1;1;1;1;1;1;0;1;1;0,106;1;1;1;1;0,128;1
"sylvestre";1;1;1;0,197;1;0,061;0;1;1;1;1;1;1;1;1;1;1
"surnommé";1;1;1;1;1;0,022;1;1;1;1;1;1;1;1;1;1;0
"suprême";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"suffisamment";1;1;1;1;1;0,061;1;1;1;1;1;0,099;1;1;0,067;0,128;1
"stockage";1;1;1;0,002;0,205;1;1;1;1;0,045;1;1;1;1;1;1;1
"stable";1;0,002;1;0,197;0,205;1;1;1;1;1;1;1;1;1;1;1;1
"spécifiquement";1;0,197;1;1;1;1;1;1;1;0;1;1;1;1;1;0,128;1
"souhait";1;0,197;1;1;1;1;1;0;1;1;0,106;1;1;1;1;1;1
"sonder";1;1;1;1;1;0,022;1;1;1;1;1;1;1;1;0;1;1
"solliciter";0,223;1;1;1;1;0,116;1;1;0;1;0,183;1;1;1;1;1;1
"solide";1;0,197;0,158;1;1;1;1;1;1;0,045;1;1;1;1;1;0,128;1
"solidarité";1;0,098;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"soigner";1;1;0,074;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"simplement";1;1;1;1;0,103;1;1;1;1;1;0,045;1;1;1;0,025;1;1
"set";1;1;1;1;1;1;1;1;1;1;0;0,099;1;1;1;1;1
"sauver";1;1;1;0,098;1;0,022;1;1;1;1;1;1;1;0,019;1;1;1
"sain";1;0,007;0,254;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"résoudre";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,015
"résolution";1;0,197;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"réputation";1;1;1;1;0,103;0,022;1;1;1;1;1;1;1;1;1;1;0,015
"réguler";1;1;1;0,306;0,317;1;1;1;1;1;1;1;1;1;0,125;0,002;1
"réglementation";1;0,197;1;0,002;1;1;1;1;0,061;1;1;1;1;1;1;1;1
"réellement";0,223;0,306;1;1;1;0,116;1;1;1;1;1;1;1;1;0;1;1
"robot";1;1;1;1;0,205;0,061;0,067;1;1;0,045;1;1;1;1;1;1;1
"rivière";0,135;0,197;1;1;0,205;0,061;1;1;1;1;1;1;1;1;1;1;1
"rigoureux";1;1;1;1;1;0,022;1;1;0,022;1;1;0,041;1;1;1;1;1
"retombée";1;1;1;1;1;1;1;1;1;0,015;1;0,041;1;1;1;0,056;1
"retenir";1;1;0;1;1;1;1;1;1;1;1;1;1;0,107;0,125;1;1
"ressortissant";0,002;1;0,254;1;1;1;0,125;0,134;1;1;1;1;1;1;1;1;1
"rer";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"repos";1;1;1;1;0,317;0,116;1;1;0,116;1;0,183;1;1;1;0,125;1;1
"reporter";1;1;0,074;1;1;1;1;1;1;1;1;0;1;1;1;1;1
"renforcement";0,061;1;1;1;1;1;1;1;1;0,015;1;1;1;1;1;0,056;1
"remise";0,135;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,045
"recrutement";0,223;1;1;1;0,317;0,116;1;1;1;1;0,183;0,173;1;1;1;1;1
"recommandation";1;0,197;1;1;0,205;1;1;1;0;1;1;1;1;1;1;1;1
"rechercher";1;1;1;1;1;1;1;1;1;1;1;1;0;0,019;1;1;1
"radical";1;1;0,074;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"quinzaine";0;1;1;1;0,002;1;1;1;1;1;1;1;1;1;1;1;1
"pétition";1;1;1;0,098;1;0,022;1;0,028;1;1;1;1;1;1;1;1;1
"psychologique";1;0;1;1;1;0,061;1;1;1;1;1;1;1;1;1;1;1
"prévalence";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"préoccupant";1;0,002;1;1;1;0,061;1;1;1;1;1;1;0,113;1;1;1;1
"prématuré";0,061;1;1;1;0,103;1;1;1;1;0,015;1;1;1;1;1;1;1
"précarité";1;1;1;0,197;0,205;1;0,067;0,073;1;1;1;1;1;1;1;1;1
"propager";0,135;1;1;1;1;1;1;1;1;1;0,106;1;0,113;1;1;0,128;1
"promesse";0,135;1;0,158;0,197;1;1;1;1;1;0,045;1;1;1;1;1;1;1
"progression";1;1;1;1;1;1;0,025;1;1;1;0,045;1;1;1;1;0,056;1
"progresser";1;1;1;1;1;0,061;1;1;1;0,045;0,106;1;1;1;1;0,128;1
"profondeur";1;1;1;1;0,205;1;0,067;1;1;1;0,106;1;1;1;1;0,128;1
"procédé";0,061;1;1;1;1;1;1;1;1;0,015;1;1;1;1;1;0,056;1
"procéder";1;1;0,158;1;1;1;1;0,073;1;1;0,106;1;0,113;1;1;1;1
"procureur";0;1;1;1;0,205;1;1;1;1;1;1;1;1;1;1;1;0,045
"principe";0,223;1;0,004;0,007;1;1;1;1;1;1;1;1;1;1;1;1;1
"pratiquer";1;0,098;1;0,098;1;1;1;1;1;0,015;1;1;1;1;1;1;1
"pologne";1;1;1;0,197;0,205;1;0,067;1;1;1;1;0,099;1;1;1;1;1
"plaisir";1;1;1;1;1;0,022;1;1;1;0,015;1;0,041;1;1;1;1;1
"physiquement";0,135;0,002;1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1
"pfister";0,135;1;0,158;1;1;1;1;1;1;1;1;1;1;1;0,067;0,128;1
"petra";1;0,306;1;0,306;1;1;0,125;1;1;1;1;1;1;1;0;1;1
"passion";1;1;1;1;1;1;1;1;1;1;0;0,041;1;1;1;1;1
"partiellement";0,061;1;1;1;1;1;1;0,028;1;1;1;1;0,048;1;1;1;1
"paraître";0,135;1;0,158;1;1;1;1;1;1;1;0,106;1;1;1;1;0,128;1
"pacifique";0,223;0,306;1;1;1;1;1;1;1;1;1;0,173;0,193;1;1;1;0,089
"osav";1;1;1;1;1;0,022;1;1;0;1;1;1;1;1;1;1;1
"orosz";1;0,306;1;0,306;1;1;0,125;1;1;1;1;1;1;1;0;1;1
"ordonnance";1;1;0,158;0,002;0,205;1;1;1;1;1;1;1;1;1;1;1;1
"ordinaire";1;1;1;0,306;1;1;1;0,134;1;1;1;0,173;1;1;1;0,002;1
"opérateur";1;1;1;0,098;1;1;0,025;1;1;1;1;1;0,048;1;1;1;1
"option";1;0,197;1;1;1;1;0,067;1;0,061;1;1;0,099;1;1;1;1;1
"omar";1;1;0;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1
"océan";1;0,098;0,074;1;1;1;1;1;1;1;1;0,041;1;1;1;1;1
"occidental";1;1;1;1;0,103;0,022;1;1;1;1;1;1;1;1;1;0,056;1
"nyon";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,056;1
"nouvelliste";0,135;1;1;0,197;1;1;1;1;1;1;0,106;0,099;1;1;1;1;1
"nettoyage";1;1;0,158;0,197;1;0;1;1;1;1;1;1;1;1;1;1;1
"mémoire";0,135;1;1;1;0,002;1;1;1;1;1;1;1;1;1;0,067;1;1
"mâchoire";1;1;1;1;1;0,022;1;1;1;1;0,045;1;1;0,019;1;1;1
"mur";1;1;1;1;0,103;1;1;1;1;1;0,045;1;1;1;1;0,056;1
"molécule";1;1;1;1;1;0,022;1;1;1;0;1;1;1;1;1;1;1
"moderniser";1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,213;1
"minimiser";0,135;1;1;0,197;1;0,061;1;1;1;0,045;1;1;1;1;1;1;1
"migrer";1;0,306;1;0,306;1;0,116;1;1;0,116;1;1;1;1;1;0,125;1;1
"mention";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,128;1
"matthias";1;1;1;0,007;1;0;1;1;1;0,089;1;1;1;1;1;1;1
"masculin";0,135;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0,128;1
"marathon";1;1;0,074;1;1;1;1;0,028;1;1;0,045;1;1;1;1;1;1
"maps";1;1;1;1;1;0,061;1;1;0,061;1;1;0,099;0,113;1;1;1;1
"légume";1;1;1;1;1;1;1;1;0;1;0,045;1;1;1;1;1;1
"légal";1;1;0,254;0,306;0,317;1;1;0,134;1;1;1;1;1;1;1;0,213;1
"luisier";1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"luire";1;1;0,074;1;1;1;1;1;1;1;1;1;1;1;0,025;1;0,015
"loup";1;1;1;1;1;1;1;1;1;0,015;1;1;0,048;0,019;1;1;1
"livrer";1;1;1;1;1;1;1;1;1;1;1;1;1;0,019;1;0,056;0,015
"lisbonne";1;1;1;1;1;0,022;1;1;1;1;1;1;0,048;1;1;0,056;1
"lausannois";1;1;1;1;0,002;1;1;1;1;1;1;1;1;0,056;1;0,128;1
"lachenal";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"kareem";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"jet";1;1;1;1;1;1;0,067;1;1;1;0,106;1;1;1;1;0;1
"isolement";1;0;0,074;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"ir95";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"invoquer";1;1;0,158;1;1;1;1;1;1;1;1;1;1;1;0;1;0,045
"intègre";1;1;1;1;1;1;1;1;1;0,015;1;1;1;0,019;1;0,056;1
"intention";0,002;1;1;1;1;1;1;1;1;0,089;1;1;1;1;0,125;0,213;1
"informatique";1;1;1;0;1;1;1;1;1;1;1;1;1;0,056;1;1;1
"inflation";1;1;1;0,197;1;1;1;1;1;1;1;1;1;1;0;1;0,045
"infection";1;1;1;1;1;0,022;1;1;0,022;0,015;1;1;1;1;1;1;1
"incarcération";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"inaugurer";1;0,197;1;0,197;1;1;1;0,073;1;1;1;0,099;1;1;1;1;1
"impossible";0,061;1;1;1;1;1;1;1;1;1;1;0,041;1;1;1;0,056;1
"ii";0,223;1;1;1;1;1;1;1;1;1;0,001;1;1;1;1;1;0
"héros";1;1;1;1;0,103;1;1;1;1;1;0,045;1;0,048;1;1;1;1
"hug";1;1;1;1;1;1;1;1;0,116;0;1;1;1;1;1;1;1
"homicide";1;1;1;1;1;1;1;0,028;1;1;1;1;1;1;0,025;1;0,015
"hana";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"génétique";1;0,197;1;1;1;0,061;1;1;1;0;1;1;1;1;1;1;1
"généralement";1;0,098;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"gène";1;0,098;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"guider";1;1;1;0,098;1;1;1;0,028;0,022;1;1;1;1;1;1;1;1
"gravité";0,061;1;1;1;1;1;0,025;0,028;1;1;1;1;1;1;1;1;1
"garçon";0,135;0,197;1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;0,045
"garantie";1;1;1;1;1;1;1;0,028;0,022;1;1;1;1;1;0,025;1;1
"fumée";0,223;1;1;0,306;1;1;1;1;1;1;1;1;0;1;1;1;1
"fouiller";1;1;1;1;1;0,022;1;1;1;1;1;0,041;1;1;1;0,056;1
"formel";0,135;0,002;1;1;1;1;1;1;1;0,045;1;1;1;1;1;1;1
"for";1;1;1;1;0,103;1;1;1;1;1;1;0,041;1;1;1;0,056;1
"fondamental";1;1;0,074;1;1;1;1;1;1;0,015;1;1;1;1;1;0,056;1
"fond";0,135;1;0,158;0,197;1;1;1;1;1;1;1;1;1;1;1;1;0,045
"fier";1;1;0,158;1;1;1;1;1;1;1;0;1;1;0,056;1;1;1
"feuille";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,056;1
"fedak";1;0,098;1;1;1;1;0,025;1;1;1;1;1;0,048;1;1;1;1
"façon";1;1;1;1;1;1;1;1;1;1;0,106;1;1;0,056;1;0,128;0,045
"exécution";0,135;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"explosion";1;1;1;1;1;0,022;1;1;1;1;1;1;0,048;1;1;0,056;1
"existant";1;0,306;0,254;0,306;1;1;0,125;0,134;1;1;1;1;1;1;1;1;1
"exigence";1;0,098;1;1;1;1;1;1;1;0,015;1;1;1;1;1;1;0,015
"exact";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"evan";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"entretenir";1;1;1;1;1;1;0,025;0,028;0,022;1;1;1;1;1;1;1;1
"engouement";1;0,197;1;1;1;0,061;1;1;1;1;1;0,099;1;0,056;1;1;1
"engin";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"emprisonnement";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"emporter";1;1;1;1;0,103;0,022;1;1;1;1;1;1;1;0,019;1;1;1
"emji_téléphone_portable";1;0;1;1;1;1;1;1;0,022;1;1;1;1;1;1;1;1
"emji_toque_universitaire";1;0,306;0,254;1;1;1;1;0,134;1;1;1;1;1;1;0,125;0,213;1
"emji_tennis";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"emji_père_noël";1;1;1;1;1;1;1;1;1;1;0,045;0,041;1;1;0,025;1;1
"emji_poing_levé";0,135;1;1;1;0,002;1;1;1;1;1;1;1;1;0,056;1;1;1
"emji_microscope";1;1;1;1;1;1;1;1;0;0,045;1;1;1;1;1;1;1
"emji_interdiction_de_fumer";1;0,306;1;0,007;1;1;1;1;0,116;1;1;1;1;1;1;0,213;1
"emji_immeuble_de_bureaux";1;1;1;0,098;1;1;1;1;0,022;1;1;1;0,048;1;1;1;1
"emji_goutte_d_eau";1;0,306;1;1;1;0;1;1;0,116;1;1;1;0,193;1;1;1;1
"emji_feuille";1;1;1;1;1;0;1;1;0,061;1;1;0,099;1;1;1;1;1
"emji_couronne";0,061;1;1;1;1;1;1;1;1;1;0,045;1;1;1;1;1;0,015
"emji_cotillons";1;1;1;1;1;0,116;0,125;0,134;1;1;0,183;1;1;1;0,125;1;1
"emji_coeur_rouge";1;0,197;1;1;1;0,061;1;1;1;0;1;1;1;1;1;1;1
"emji_bébé";1;0,002;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"emji_bougie";0,135;1;1;1;0,205;1;1;0,073;0,061;1;1;1;1;1;1;1;1
"effacer";1;1;1;1;1;1;1;1;1;1;0;0,041;1;1;1;1;1
"détermination";1;1;0,074;1;1;1;1;1;1;1;0,045;1;1;1;1;1;0,015
"dépôt";0;1;1;0,197;1;1;1;1;1;1;1;1;1;1;0,067;1;1
