"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"fin";1;1;0,876;0,124;1;0,348;0,829;0,146;1;1;0,02;1;0,291;0,314;1;1;1
"cliquer";0,304;1;0,405;1;0;0,848;1;0,086;0,848;1;1;1;0,467;1;1;1;1
"national";1;1;1;1;0,775;1;1;0,187;1;1;0,694;1;0,735;1;0;0,052;0,017
"jeune";1;0;1;1;1;1;1;1;0,253;0,915;0,916;0,469;0,96;1;1;0,63;0,915
"passer";1;0,795;1;1;0,836;0,354;0,045;1;1;1;0,041;1;1;1;0,394;0,195;0,58
"offrir";1;1;1;1;0,022;0,64;0;1;0,64;0,001;1;0;1;1;1;1;0,961
"?";1;0,883;1;1;0,225;1;1;1;0,001;1;0;1;1;0,607;1;1;1
"heure";0,616;1;0,39;1;1;1;0;0,284;1;1;0,461;1;0,217;1;0,593;0,577;1
"enfant";1;0;0;1;1;1;1;1;0,018;0,217;1;0,979;1;1;0,105;1;1
"social";0,279;0,002;1;0,9;0,283;1;1;0,613;0,99;1;1;0,157;1;1;1;0,252;1
"unir";0,424;0,664;0,512;1;1;1;1;1;1;0,913;1;1;0,339;0,993;1;1;0
"près_de";1;1;1;0,641;1;0,785;1;1;1;0,065;0,609;0,238;0,291;0,74;1;0,035;1
"police";1;1;1;1;0,88;1;1;0,702;1;1;1;1;0;1;1;0,22;1
"homme";0,009;0,002;0,876;1;1;0,785;1;1;1;1;0,264;1;0;1;1;1;1
"décembre";1;1;1;0,673;1;1;0;0,159;1;1;0,638;0,257;1;0,766;1;0,755;0,674
"aller";1;1;1;0,003;0,916;1;1;1;1;1;0,009;1;1;0,222;1;0,572;0,524
"service";1;0,341;1;0,044;1;1;0;1;1;1;1;1;0,005;1;1;1;1
"devenir";1;0,502;1;0,092;1;1;1;0,25;1;1;0;0,144;1;0,168;1;1;0,821
"photo";0,036;1;0,014;1;0;1;1;0,005;1;1;1;1;1;1;1;1;1
"équipe";1;1;1;1;0,433;1;1;1;1;0,038;0;0,471;1;1;1;0,213;1
"nouvelle";1;1;1;0,868;1;0;0;1;1;0,376;1;0,764;1;0,168;1;1;1
"demander";0,339;0,993;1;0,138;0,017;1;0,285;0,688;1;1;1;1;0,96;1;0,641;0,308;1
"révéler";1;0;1;1;0,715;1;1;1;0;0,001;1;0,516;1;1;1;0,684;1
"retrouver";0,165;1;1;1;0,131;1;1;1;0,034;0,401;0,769;1;0,365;1;1;1;1
