"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17"
"emji_appareil_photo_avec_flash";0,14;-2,921;-0,411;-0,347;-6,268;0,854;-0,3;-0,39;0;2,988;28,724;-3,133;-3,553;-0,736;7,046;4,361;-1,415
"emji_main_avec_index_pointant_à_droite";0,61;-1,864;0,02;0,351;13,155;0,664;1,447;2,498;0,108;-2,077;0,051;0,092;-0,083;-4,222;-2,804;-1,639;-6,058
"monde";-2,894;3,891;-0,065;-3,827;-0,002;-0,473;-1,791;-1,897;-0,473;-3,286;71,349;1,657;-2,555;1,492;-0,543;-0,003;-1,376
"grand";-4,092;-2,434;-6,656;1,603;-4,034;-0,943;0,894;5,383;-3,899;1,768;16,881;8,077;-2,049;-0,823;-4,09;3,992;1,768
"dernier";-0,591;2,035;0,189;0,017;-0,612;-0,012;-1,523;0,078;-0,012;-4,586;11,313;-2,189;-2,469;-0,001;0,778;1,378;0,012
"afp";14,471;-0,627;6,809;-2,713;-4,466;0,139;-5,393;-1,759;-1,493;1,373;-0,36;0,192;0,09;6,807;-1,625;0,028;0,003
"genève";-1,69;-0,031;-0,845;-0,031;0,06;-1,96;37,498;1,925;0,138;1,448;-0,355;-1,189;-0,416;-0,025;-0,077;-0,049;-3,573
"lien";1,288;-5,298;0,824;-3,583;140,177;0,012;-0,941;2,069;0,012;-3,161;-7,296;-2,982;0,85;-3,523;-2,164;-2,156;-5,339
"également";0,322;5,935;-1,78;-2,513;-5,908;-2,224;1,987;-0,02;6,289;-5,597;-0,239;0,249;-2,112;-0,86;0,841;3,848;5,518
"nouveau";-2,375;-3,674;-0,165;3,052;0,212;1,198;2,257;0,179;-0,179;5,994;-1,781;0,344;-5,284;0,026;1,007;0,084;-1,597
"emji_chaînons";0,854;-4,597;0,506;-4,597;154,811;0,084;-0,67;2,784;-0,055;-4,896;-6,691;-4,277;0,463;-3,095;-1,782;-1,709;-4,896
"rester";-0,811;4,293;0,073;0,651;-3,116;0,663;-0,091;0,422;0,663;0,284;-1,333;-6,509;1,328;0,136;1,556;-3,128;0
"jour";1,132;-2,629;3,072;0,009;-1,532;-0,018;-0,53;-0,619;-3,014;-0,227;5,499;-2,252;0,658;-0,004;-0,53;2,586;1,445
"pays";-3,051;0,813;22,631;-0,005;-2,42;-0,544;-0,618;2,268;-0,544;-3,4;0,001;-4,52;-1,212;-0,472;-0,037;0,166;14,709
"notamment";-0,925;0,019;1,706;0,839;-0,098;0,078;-0,575;1,104;0,581;1,115;-0,072;-0,411;-1,461;0,134;-2,926;0,141;-0,214
"emji_caméscope";-0,02;5,803;-3,324;-0,001;-0,006;-0,508;0,188;-1,956;-1,74;-0,311;-0,231;8,545;2,736;3,238;-1,847;-2,856;0,006
"souligner";0,006;18,922;-0,298;-0,701;0,475;2,096;-4,294;0,596;2,096;-0,099;-5,503;-0,865;-2,239;-0,937;0,74;0,338;-1,832
"bio";0,733;-4,795;1,17;-4,795;140,419;0,056;-0,744;2,563;0,056;-2,878;-6,862;-4,43;0,381;-3,216;-1,889;-1,834;-5,021
"conseil";-1,824;-2,739;-0,954;19,738;1,207;-4,09;-0,821;22,19;-0,733;-1,715;-5,042;-4,904;-5,179;-1,952;9,71;3,128;3,046
"permettre";-1,408;-2,384;0,002;5,669;-2,515;0,236;2,187;-0,036;0,236;9;-0,977;-0,191;-1,08;-1,182;-2,982;7,171;-0,167
"annoncer";-0,591;-8,359;9,931;-0,536;-2,683;-1,396;1,99;24,732;-2,952;-2,494;-4,059;-0,969;0,131;4,585;-1,523;0,492;8,528
"prévoir";-0,307;-1,979;1,022;12,691;-0,049;-3,513;26,846;2,356;-5,707;-2,991;-7,035;-4,585;-3,103;-0,611;0,379;3,134;2,271
"face";0;0,243;-4,289;0,899;3,204;0,026;-1,041;2,823;-0,94;-3,983;19,092;-3,166;-0,107;-4,271;-0,214;0,315;-0,047
"public";5,444;-6,475;-3,683;2,859;-0,231;-0,044;0,058;14,056;1,878;-4,833;-0,03;-2,446;0,508;3,997;-3,363;-0,128;-0,295
"canton";-1,184;0,016;-2,986;9,836;6,578;-0,374;3,236;5,398;0;-1,236;-4,259;-0,783;-0,938;-3,342;3,236;-0,25;-3,116
"place";-0,201;-3,257;-0,334;-0,07;0,04;0,011;14,606;0,376;-3,269;-2,948;2,191;-0,645;1,993;-1,278;1,707;1,64;-2,948
"fédéral";-0,447;0,21;-3,324;0,894;0,791;-1,74;-0,027;0,917;-0,508;-1,423;-2,513;-4,444;-1,155;-3,585;7,971;9,68;10,59
"femme";0,214;35,78;-0,048;-3,731;-2,165;-1,632;-3,698;-3,816;-0,002;-1,329;5,662;0,038;0,007;0,404;-1,735;-0,316;2,028
"projet";-1,306;-5,886;-0,546;12,312;6,004;-0,439;2,931;-0,026;-0,439;0,018;-2,374;-2,265;-4,534;0,404;-0,506;10,397;-0,259
"novembre";-0,058;-4,769;1,764;0,263;0,217;-2,901;-0,168;11,926;-0,131;-0,837;-0,003;-0,395;-0,011;1,097;-1,146;2,473;-0,837
"viser";-0,298;-1,914;4,558;12,736;9,228;0,011;-2,611;2,576;-1,027;0,823;-5,606;-1,698;-1,938;-2,338;-1,133;-0,243;0,103
"état";2,349;-0,888;11,629;-2,065;-0,963;-0,439;-0,506;4,964;-1,632;-1,329;-4,413;-4,293;5,282;-3,463;-1,735;-0,316;35,211
"prendre";-0,298;0,752;0,061;-1,914;-0,007;-0,206;0,002;4,617;-1,027;-0,727;0,478;-3,309;0,014;-0,154;5,039;0,242;-0,071
"américain";-0,839;-5,07;11,45;0,142;-3,078;-1,216;-3,185;-3,287;-1,216;-2,781;1,055;-3,698;-0,045;0,069;-3,185;-0,092;161,667
"voir";0,001;-3,445;-2,902;0,028;2,63;1,69;-0,401;-0,005;0,451;-3,06;9,652;-2,066;-0,886;0,548;0;3,039;-1,19
"mondial";-1,767;1,466;-0,066;-1,012;-4,567;-0,074;-2,81;-0,132;-2,72;-0,713;78,121;0,541;-1,527;3,516;-0,995;-0,007;-0,713
"franc";-2,972;-3,923;-0,083;33,906;5,474;-3,707;2,651;-0,049;-1,74;-3,343;-2,513;0,016;-1,155;-1,633;-0,027;6,645;-0,311
"président";20,297;-4,67;1,904;-2,614;-1,221;-2,841;-2,934;23,358;-1,018;-2,562;-3,502;-3,406;-1,658;-0,943;-0,144;4,929;22,841
"groupe";-0,203;-0,515;1,792;-0,013;1,084;0,557;-2,32;1,852;-2,247;-0,409;-0,965;-0,068;2,827;9,51;-2,32;-1,151;-0,409
"fin";-0,732;-1,293;0,024;2,36;-0,012;0,879;0,047;2,11;-1,116;-2,671;5,418;-1,617;1,113;1,013;-1,197;-1,968;-0,058
"cliquer";1,058;-3,092;0,692;-4,912;119,122;0,037;-0,191;2,953;0,037;-3,924;-5,362;-3,094;0,529;-4,208;-0,996;-3,641;-3,924
"national";-2,28;-1,515;-1,117;-0,503;0,082;-1,266;-0,275;1,738;-0,228;-2,837;0,155;-1,807;0,115;-1,18;21,032;3,782;5,72
"jeune";-1,368;24,2;-5,358;-0,233;-0,002;-0,006;-1,791;-1,897;1,308;0,011;0,011;0,525;0,003;0;-1,791;0,232;0,011
"passer";-0,092;0,067;-5,92;-0,045;0,043;0,859;4,033;-2,254;-0,694;-3,631;4,195;-0,001;-0,453;-0,035;0,726;1,681;0,307
"offrir";-3,051;-0,304;-5,544;-0,005;5,224;0,218;15,691;-2,015;0,218;10,267;-2,583;15,855;-4,774;-3,646;-0,618;-1,399;0,002
"?";-3,639;0,022;-3,912;-2,346;1,474;-0,058;-2,748;-1,016;10,483;-2,399;69,338;-0,253;-1,462;0,264;-0,082;-1,617;-0,008
"heure";0,251;-0,829;0,739;-0,829;-2,081;-3,518;29,339;1,149;0;-1,282;0,545;-4,218;1,523;-1,478;0,286;0,312;-1,282
"enfant";-3,886;14,632;13,415;-2,614;-4,769;-2,841;-1,095;-0,181;5,632;1,525;-1,575;0,001;-0,005;-0,081;2,626;-0,572;-2,562
"social";1,173;9,836;-2,986;0,016;1,151;-1,525;-0,435;0,255;0;-0,21;-2,236;2,003;-2,341;-1,428;-0,002;1,314;-1,236
"unir";0,641;0,189;0,43;-3,789;-3,87;-0,606;-0,662;-2,457;-0,606;0,012;-2,841;-0,961;0,914;0;-2,381;-0,204;120,218
"près_de";-0,732;-0,363;-0,932;0,218;-2,89;0,075;-0,193;-1,279;-1,116;3,416;0,261;1,392;1,113;0,11;-0,193;4,437;-0,058
"police";-0,003;-4,275;-0,594;-0,879;0,023;-2,601;-0,897;0,146;-2,601;-2,346;-0,261;-3,118;178,475;-2,515;-2,686;1,507;-0,633
"homme";6,84;9,863;0,024;-4,869;-1,369;0,075;-1,197;-3,157;-2,962;-0,88;1,247;-0,002;34,128;-1,036;-3,059;-3,951;-0,058
"décembre";-0,785;-1,366;-0,194;0,178;-1,444;-1,166;36,324;1,979;-3,023;-2,726;0,222;1,288;-1,858;0,088;-0,219;0,097;0,177
"aller";-0,008;-0,17;-3,912;8,671;0,011;-0,875;-0,082;-1,016;-0,875;-0,008;6,888;-0,253;-1,462;1,489;-0,945;0,319;0,407
"service";-4,135;0,906;-0,993;4,049;-0,457;-1,166;36,324;-0,264;-0,177;-2,726;-0,532;-3,625;7,783;-0,138;-1,249;-0,072;-0,073
"devenir";-0,264;0,451;-4,989;2,831;-0,146;-0,342;-3,504;1,325;-1,473;-1,19;18,076;2,13;-2,271;1,899;0;-2,479;0,051
"photo";4,38;-4,769;6,048;-2,704;33,782;-0,131;-0,168;7,851;-0,131;-0,837;-1,639;-0,395;-0,503;-2,806;-1,146;-1,897;-2,617
"équipe";-0,829;-1,251;-0,983;-1,251;0,616;-0,327;-0,368;-2,024;-0,327;4,283;33,778;0,519;-0,681;-0,289;-0,368;1,55;-1,713
"nouvelle";-2,584;-0,714;-0,013;0,028;-1,917;19,729;13,7;-0,463;-0,342;0,783;-0,81;0,09;-0,886;1,899;-1,569;-0,22;-1,19
"demander";0,913;0;-3,239;2,195;5,733;-0,473;1,141;0,162;-3,643;-3,286;-0,203;-0,93;0,003;-0,407;0,218;1,038;-0,284
"révéler";-1,495;18,426;-3,41;-4,02;0,133;-0,544;-1,904;-0,062;16,646;10,267;-2,583;0,423;0;-1,685;-0,618;0,166;-3,4
"retrouver";1,923;-0,042;0;-1,911;2,278;-0,005;-2,442;-0,027;4,502;0,707;0,086;-0,111;0,82;-0,001;-2,442;-1,281;-0,48
"jeudi";0,005;-1,997;0,309;-0,69;-2,072;-0,693;3,945;11,011;-0,693;-0,518;0,063;-1,075;0,042;-0,633;0,312;1,927;0,002
"ville";-1,984;-4,769;-0,873;0,263;1,001;-2,901;4,989;-0,208;0,095;-0,837;0,305;6,065;-0,011;-2,806;0,832;0,966;0,24
"travail";-1,767;3,116;-2,013;-0,204;19,85;-0,922;1,081;0,951;-0,074;-0,713;-1,448;-1,371;-3,445;-0,05;2,954;0,271;-2,454
"politique";2,975;-0,17;0,914;-0,17;-1,008;-0,875;-2,748;25,752;0,208;-0,673;-1,386;-3,19;-1,462;-0,806;-0,945;-0,002;12,625
"partir";0,313;-2,258;-0,032;3,562;-0,94;-0,829;6,32;5,904;-0,829;-2,346;-3,206;-3,118;-1,398;0,306;-0,065;0,372;8,32
"initiative";-1,417;-0,062;-0,443;24,946;18,786;-2,423;-0,754;1,458;-2,423;-2,185;-1,142;-1,075;-3,068;-2,343;0,312;0,013;0,002
"fois";-0,785;2,197;-4,445;-1,366;-1,444;-0,177;7,725;-1,333;-1,166;1,235;5,163;1,288;-3,828;-0,138;0,69;2,165;-0,073
"lausanne";-0,681;-2,704;-4,266;-1,221;2,357;-1,067;47,044;4,624;0,095;-0,837;-0,448;-3,479;0,248;-0,989;-1,146;7,577;-2,617
"prochain";-0,581;-4,571;-0,087;2,911;-4,668;-2,78;2,786;8,536;-2,78;-2,508;6,258;-3,334;-3,521;0,193;-0,122;12,112;3,973
"prix";-2,055;-2,47;-2,209;7,582;1,612;-1,502;-1,552;-0,156;-0,109;-0,051;-1,852;27,75;-0,328;-0,088;0,271;0,026;-0,051
"international";-1,625;-0,139;26,565;-2,258;-4,366;-0,043;-0,065;-0,965;-0,829;-0,633;0,591;0,68;-0,303;3,916;-0,897;0;1,995
"indiquer";-0,839;-0,455;5,203;-0,022;-3,078;-1,216;2,061;-0,295;-1,216;-2,781;-0,027;-3,698;0,142;2,529;4,326;9,908;-0,966
"santé";0,438;11,076;-0,334;-0,606;-0,095;0,011;-1,461;-0,393;50,759;0,917;-4,029;-1,936;-2,132;-3,161;-1,461;-0,163;-0,144
"étude";-4,387;42,232;-2,654;-0,051;-3,267;0,611;-3,312;-3,418;21,529;59,811;-3,953;-3,845;-4,061;-3,102;0,511;-0,877;-2,892
"semaine";0,313;-2,258;1,014;-2,258;0,505;-0,829;3,319;5,904;-0,829;-0,004;-0,261;0,031;-3,293;-2,515;-0,897;3,406;1,995
"mesure";0,292;-0,141;-2,986;13,235;6,578;0,405;-0,435;5,398;-0,374;-3,116;-4,259;-0,783;-0,938;-3,342;-0,002;0,357;-0,21
"trump";1,932;-2,841;11,365;-2,841;-2,901;-1,728;-1,785;-1,842;-0,224;-1,559;-0,481;-2,072;-0,522;-1,671;-1,785;-2,305;213,526
"sécurité";-0,098;-4,969;8,382;-0,012;-0,457;-0,177;0,69;0,588;-1,166;-2,726;-1,769;-1,68;20,881;-2,924;-0,219;2,165;0,177
"lundi";0,013;-0,042;1,495;0,946;-0,681;-2,364;7,646;1,581;-2,364;-2,132;-1,082;0,116;0,82;-0,591;-0,708;0,024;0,005
"dimanche";-1,214;-1,742;6,766;-0,515;-0,561;-2,247;2,035;1,852;-2,247;-2,026;3,042;-2,694;1,016;0,648;-0,002;0,06;0,863
"désormais";-0,003;0,037;1,014;0,574;-0,168;6,767;0,191;-0,09;-0,829;-2,346;-0,261;-1,251;-0,303;-0,026;-0,065;0,372;-0,004
"temps";-1,625;0,037;-1,858;-0,139;-0,94;-2,601;1,276;0,146;1,432;-0,633;15,743;-0,222;-1,398;-2,515;-0,065;6,069;0,458
"jean";0,033;-1,515;-2,572;-0,503;19,55;-0,228;1,937;0,003;-0,228;-2,837;-0,621;-0,022;-3,983;-1,18;27,3;-0,114;-1,01
"situation";-0,121;0,142;15,485;-0,455;1,884;0,736;-0,247;3,989;-0,202;-2,781;-3,801;-3,698;7,457;-2,983;-1,301;-0,092;-2,781
"population";-3,476;3,805;0,212;3,805;-0,873;3,813;-0,848;1,235;-0,783;-0,001;-3,132;-3,047;0,578;-2,458;1,383;1,638;-2,292
"noël";-2,209;-0,868;-2,375;-0,055;-0,912;-1,615;1,618;-0,22;-0,163;-1,456;0,029;25,046;-2,045;5,158;4,522;0,674;-1,456
"connaître";0,061;-0,461;-0,267;-1,658;-0,503;5,316;-2,26;-2,332;0,627;0,033;0,182;-2,624;-0,091;60,322;-0,574;-1,087;-0,374
"vie";-1,767;5,38;0,105;-4,472;0,004;6,173;-2,81;-0,132;0,174;7,649;-1,448;0,541;0;1,382;-0,101;-3,629;-0,713
"partie";-1,417;0,841;3,159;2,248;-2,072;-2,423;-0,754;-0,816;-0,693;0,637;-0,167;-1,075;-0,201;0,455;-0,024;4,102;0,637
"ligne";-0,581;-0,241;2,054;-1,081;-0,278;-0,97;82,249;-2,964;-0,091;-0,754;-0,369;0,479;-0,419;-0,897;-1,044;0,227;-2,508
"octobre";-0,275;-1,911;24,275;-1,911;-1,984;0,433;-0,708;0,298;-2,364;-2,132;18,433;-0,111;-0,17;0,514;-2,442;-1,281;0,707
"expliquer";-0,681;0,263;-2,25;0,263;-2,797;5,38;-1,146;0,718;0,095;1,423;1,352;-0,395;0,248;-2,806;0,832;0,154;-0,837
"enquête";10,378;4,335;-1,63;-0,69;0,086;-0,693;-2,503;0,254;-0,693;-0,518;-2,986;-1,075;29,364;-2,343;-0,024;-3,232;0,002
"droit";5,726;-0,879;1,014;-0,139;-0,94;-2,601;-0,897;9,686;-2,601;-0,004;0,017;-3,118;-1,398;0,306;6,32;-0,393;0,458
"couper";0,027;-1,12;-1,002;-1,12;1,006;-0,681;2,968;17,632;-0,681;-0,614;2,106;-0,817;-0,863;-0,659;-0,704;0,036;0,334
"atteindre";-1,148;3,088;-3,218;-0,461;-3,674;-0,522;-0,574;-2,332;2,398;11,254;6,225;0,225;-0,091;-2,116;2,192;0,914;-1,974
"rendre";5,147;-0,204;0,105;0,431;-1,078;-0,922;-0,101;-1,068;0,174;-0,713;1,708;-1,371;-1,527;10,719;-0,101;-3,629;1,747
"français";28,18;-0,572;-1,481;-0,026;-0,62;-0,606;-0,007;1,712;-2,305;-2,079;13,74;-0,089;-1,087;2,285;-0,662;-3,075;-2,079
"mort";10,378;-3,983;13,032;-3,983;-0,743;0,379;-2,503;-0,04;-2,423;-2,185;-1,142;0,089;11,994;1,987;-0,754;-1,347;0,002
"marquer";0,514;-0,943;-2,458;-0,943;-2,806;-1,671;0,136;7,911;0,172;0,315;0,806;0,894;-2,116;-0,164;-0,223;0,578;5,524
"déclarer";10,881;0,032;2,987;-0,221;-1,307;-0,327;-0,368;-0,409;-0,327;-0,215;8,266;-2,277;-0,01;-0,289;-1,962;-0,03;-0,215
"violence";3,875;4,857;1,235;-3,028;-3,093;-1,842;-1,903;-0,369;-1,842;-1,661;-0,581;0,599;25,935;-0,255;-0,33;-0,017;-0,187
"mois";7,646;-1,095;0,228;0,91;0,063;-0,257;-1,844;0,053;0,103;-1,61;-0,531;0,004;0;1,464;-0,293;-0,662;-0,16
"réseau";7,874;1,184;-1,407;1,184;-0,561;0,557;-0,002;-2,395;0,557;-0,409;0,145;0,184;0,112;-0,51;-2,32;-0,172;-2,026
"nombre";-2,834;39,23;0,047;-1,493;-1,555;-2,072;-0,488;-0,537;-0,441;1,146;-0,795;-2,484;-2,624;-2,004;5,559;9,694;-0,307
"lancer";-0,14;-1,575;0,028;-0,001;3,146;-2,13;0,611;0;-2,13;-0,34;3,491;-0,795;0,182;0,806;-2,2;2,838;-0,34
"gouvernement";0,433;-0,111;-0,031;-1,018;0,958;-1,728;-1,785;71,362;-1,728;-1,559;-0,481;-2,072;-2,188;-0,193;0,103;-0,606;1,946
"continuer";-0,532;3,116;2,212;3,116;-1,078;-2,72;-0,995;0,951;-2,72;-0,713;0,462;4,024;-3,445;1,382;1,081;-1,686;-2,454
"christian";-1,984;2,534;-2,25;-0,32;1,001;-2,901;-1,146;-3,093;-0,131;-0,837;-1,639;-3,479;-0,503;-2,806;117,148;0,966;0,24
"gaza";-2,834;-3,406;319,595;-3,406;-3,479;-2,072;-0,488;2,333;-2,072;-1,869;-2,554;-0,742;-0,85;-2,004;-0,488;-2,764;-1,869
"victime";46,444;3,453;0,427;-0,868;-0,912;-1,615;-1,668;-1,721;-1,615;-0,089;-0,386;-1,936;2,863;-1,562;-0,191;0,003;-1,456
"ouvrir";4,096;-0,63;-0,396;0,147;-0,058;-2,364;-0,014;-0,027;0,433;0,005;-0,14;2,859;0,82;-0,591;-2,442;-0,238;0,707
"france";28,18;-1,826;-1,481;-0,572;-0,62;-2,305;-0,007;0,347;-0,606;-2,079;-0,114;5,911;-1,087;2,285;1,887;-1,215;-0,444
"décision";11,54;-2,524;-0,087;0,003;0,315;-2,78;0,105;18,047;-2,78;-0,754;-0,369;-0,321;-1,592;-2,689;0,105;5,193;-2,508
"vendredi";-2,442;-1,095;6,627;0,082;-1,146;0,103;12,548;0,053;-1,785;-1,61;-2,2;-2,14;0;0,136;-1,844;8,022;0,219
"suite";4,361;-3,789;0,43;-0,572;-0,62;-0,606;0,416;1,712;-0,001;-2,079;-0,114;-0,961;8,727;2,285;-0,662;-1,215;0,012
"risque";-1,082;1,464;-0,228;-1,575;-1,639;5,619;-0,531;-0,581;72,222;1,045;-0,851;-2,554;-0,069;-2,06;0,001;-1,023;-1,921
"cas";-0,203;1,184;-1,407;-1,742;-0,023;13,981;-0,618;-2,395;0;-0,409;0,145;-2,694;-0,115;-2,173;13,241;0,815;0,021
"attendre";1,581;-0,181;0,178;-1,172;-3,093;0,077;-0,33;0,035;-1,842;-1,661;2,162;0;2,002;0,105;0,053;0,347;0,179
"association";16,164;-0,572;-1,481;-0,572;-0,62;0,492;-0,662;0,347;0,492;-0,444;-1,023;-0,961;-1,087;-0,551;0,416;4,636;0,012
"suivre";-0,708;0,082;0,228;-0,144;-0,168;-0,257;-0,293;3,391;1,323;0,219;-2,2;-0,488;0;1,464;0,076;-0,662;0,219
"européen";-0,027;0,054;-2,709;-0,181;0,718;7,443;-0,33;0,962;0,077;1,638;-0,581;-2,209;-0,003;0,105;-0,33;-0,017;-0,187
"soutenir";1,253;-0,17;4,534;1,603;5,398;-0,058;-0,082;9,285;-0,875;-0,008;-1,386;-3,19;-0,34;-0,806;-2,748;-3,549;-0,673
"rapport";-0,829;44,382;0,136;-3,122;-0,25;-0,327;-0,368;-0,409;0,055;-1,713;-2,341;-2,277;-0,681;-0,289;6,609;1,55;-1,713
"ministre";-1,281;-3,789;19,367;-0,026;-3,87;-0,606;-2,381;17,509;-0,606;-2,079;-2,841;-2,764;2,631;-2,229;-0,662;0,04;30,654
"mardi";0,313;-0,879;0,172;-4,275;1,614;-0,829;3,319;5,904;-2,601;-2,346;-0,261;-1,251;0,51;-2,515;-0,897;1,507;8,32
"lieu";2,447;1,318;-0,267;-0,005;-0,503;-0,522;0,54;-0,627;-2,188;-1,974;0,182;6,596;3,037;-0,471;-0,574;-1,087;-0,374
"effet";-1,281;2,64;-3,39;-0,572;-1,897;-2,305;-0,662;1,712;19,37;2,755;1,021;-0,961;-2,919;-2,229;-0,007;11,939;-2,079
"créer";-0,891;-0,264;0,975;-1,331;0,008;-0,364;-2,021;0,01;3,177;0,115;-0,686;-0,637;-2,478;18,286;0,865;1,402;-1,765
"christophe";0,946;-1,15;-2,17;-0,279;28,81;-0,111;0,91;0,054;-0,111;-2,562;-1,575;-1,493;-3,597;-2,748;24,539;-0,572;-0,795
"centre";-0,17;-0,461;-0,267;0,291;1,213;0,001;0;0,462;-0,522;-0,374;-0,908;1,374;1,126;-2,116;-2,26;0,914;0,95
"toucher";-0,111;6,354;-0,191;3,599;-1,555;2,762;0,688;0;-2,072;-1,869;-2,554;-0,021;1,374;-0,395;0,004;-0,961;-0,307
"samedi";1,153;-3,311;0,071;-0,31;-1,471;-2,014;5,888;0,004;-0,402;-1,817;0,325;-0,689;22,697;-0,358;-0,447;0,188;-0,276
"pexels";-2,28;75,3;-4,625;-0,503;-0,558;0,029;-1,354;-3,353;11,645;41,828;-3,877;-0,557;-3,983;-3,042;-1,354;-4,196;-1,01
"montrer";-1,082;5,965;-3,132;-3,502;-0,003;-2,13;-2,2;-0,581;9,837;-1,921;-0,851;-0,034;15,009;0,014;2,36;-1,023;1,045
"donald";0,514;-2,748;12,062;-2,748;-2,806;-1,671;-1,726;-1,782;-0,193;-1,507;-0,433;-2,004;-0,471;-1,617;-1,726;-2,229;221,237
"mercredi";1,749;-1,095;0,228;-2,934;-1,146;-1,785;1,193;7,006;-1,785;-1,61;9,279;-0,488;0;0,136;-0,293;-0,662;1,786
"israélien";-1,524;-1,832;231,401;-1,832;-1,871;-1,114;-1,151;-0,008;-1,114;-1,005;-1,374;-1,336;-0,068;-1,078;-1,151;-1,486;-1,005
"autorité";0,061;-1,658;1,957;-1,658;-3,674;2,398;-0,574;-0,003;0,001;-1,974;-2,697;-0,85;73,222;-2,116;-2,26;2,631;-1,974
"région";-0,768;0,791;1,235;0,054;-0,208;-0,292;3,391;0,035;-0,292;-1,661;0,527;5,203;-0,627;-1,782;-1,903;-0,72;0,179
"animal";-0,376;1,938;-2,127;-2,378;-0,691;62,646;-1,494;-1,542;2,349;-1,305;-1,783;-1,734;-0,284;2,541;0,33;0,046;-1,305
"nombreux";-1,839;11,247;-2,092;1,339;-1,149;-0,091;-1,044;-1,12;-0,091;-0,023;0,405;3,806;-3,521;0,193;2,786;-1,756;0,316
"début";-0,044;-1,251;0,136;0,683;-0,25;0,055;-0,368;0,859;-1,899;-0,215;4,584;-0,587;1,826;-0,289;-1,962;0,287;0,145
"événement";-2,834;-3,406;-1,191;0,001;-1,555;-2,072;-2,14;20,623;-0,441;-0,307;16,423;17,169;1,374;0,025;-2,14;-2,764;-0,307
"record";-1,75;-0,455;-0,311;-2,104;-0,485;-1,28;-1,322;-1,364;-1,28;-1,154;56,741;0,292;-0,164;3,333;-1,322;4,365;-0,004
"nuit";-1,979;-0,654;0,006;-2,378;-2,428;-1,446;75,028;-1,542;-1,446;-1,305;0,106;1,453;3,724;0,447;-0,105;-1,929;-0,035
"beutler";-3,395;2,071;-1,705;-0,084;0,06;-2,482;-0,801;-2,646;-0,02;-0,555;-3,059;-2,976;-1,272;-2,4;123,45;1,778;0,573
