jusqu;1;0;1;3;0;1;1;0;1;1;0;0;1;0;0;2;1
j;0;1;1;0;0;0;0;0;0;0;2;2;0;1;0;1;0
or;0;0;0;1;0;0;0;1;0;0;2;2;0;2;1;1;4
eux;1;2;2;0;0;1;1;0;0;1;2;0;4;1;2;0;1
comment;0;3;0;0;3;1;0;0;1;1;3;1;0;0;0;0;0
celles;0;3;1;1;0;0;0;1;1;1;1;0;0;0;4;1;0
80;1;4;0;1;1;1;1;2;0;0;2;1;2;0;0;0;1
2021;2;1;1;1;2;0;0;0;1;0;2;2;1;1;1;1;2
quant;0;0;1;5;0;1;1;2;0;0;1;1;0;1;1;3;0
quand;1;1;0;0;1;2;0;0;2;1;3;0;1;1;0;2;1
pourtant;1;1;0;0;0;0;0;1;0;1;2;1;0;0;3;0;1
mieux;0;2;0;0;0;2;1;0;2;2;0;1;0;0;1;2;0
sept;0;0;9;1;1;0;0;1;0;0;0;2;1;0;1;1;1
puis;0;0;0;0;1;2;1;1;0;1;3;1;1;1;1;3;0
presque;1;2;0;1;0;1;0;0;1;0;3;1;0;0;0;1;0
concernant;2;3;5;1;2;0;0;0;0;1;1;0;1;0;0;0;0
90;0;3;0;1;2;0;1;0;0;1;2;0;0;0;0;0;1
suivant;1;1;1;2;4;1;1;0;0;0;0;0;1;1;1;2;1
pourquoi;2;2;0;0;1;2;0;0;1;0;4;1;0;0;1;0;0
là;0;1;1;0;0;0;1;2;0;1;1;1;1;1;1;1;0
derrière;0;0;0;0;1;1;0;0;2;0;1;0;1;2;0;1;0
ailleurs;0;0;3;2;1;1;0;2;2;0;1;1;0;0;2;0;2
500;0;0;3;0;0;2;0;0;0;3;1;1;3;0;1;2;1
26;0;2;2;1;0;1;0;1;0;0;3;0;1;2;0;0;1
tels;0;2;1;3;0;0;0;0;2;0;2;1;0;0;0;2;0
maintenant;0;1;0;2;1;1;0;2;0;0;1;0;0;0;1;1;0
lorsque;1;1;2;0;0;1;0;0;1;1;3;0;1;0;0;0;0
autant;1;2;0;1;1;0;0;0;1;1;3;1;0;0;1;1;0
alerte;1;1;0;0;0;2;0;1;0;0;0;0;3;0;1;1;0
31;0;2;1;0;1;0;1;0;0;0;5;1;0;1;1;0;0
29;0;1;1;0;0;1;3;0;0;0;1;1;0;1;0;1;0
x;0;2;1;1;0;0;0;1;0;0;1;0;2;0;0;0;0
tard;3;1;1;0;0;0;0;1;0;2;1;0;2;0;0;0;0
parfois;0;0;0;2;1;2;0;0;2;0;0;0;0;0;2;0;0
lorsqu;1;1;0;0;0;1;0;1;1;2;2;0;2;1;0;1;0
48;1;0;2;1;0;1;0;0;0;0;0;0;0;1;0;1;0
ça;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0;0;0
quelque;0;0;0;2;0;0;0;2;0;0;3;1;0;0;0;0;1
loin;0;0;0;1;1;0;0;0;0;2;0;1;0;0;1;0;0
39;2;2;0;0;0;0;0;0;1;0;1;0;1;0;0;1;2
34;0;4;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1
32;0;2;0;3;2;0;0;0;0;1;1;0;0;0;0;1;1
2020;1;2;0;1;2;0;0;0;1;0;2;1;0;0;1;2;1
150;0;1;0;4;1;0;0;0;1;0;1;0;0;0;2;1;0
mal;0;2;0;2;0;0;1;0;1;1;0;1;1;1;1;0;0
juste;0;1;0;0;2;0;0;0;1;0;2;0;0;2;1;0;0
huit;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;0
2000;1;0;2;2;0;0;0;1;0;0;1;1;0;3;0;0;0
jusqu_au;0;0;1;1;0;0;2;0;2;0;1;0;1;0;0;2;0
hors;0;0;1;2;3;1;0;0;1;0;1;1;2;0;0;0;0
gare;0;0;0;2;0;0;5;1;0;0;0;0;3;0;0;0;0
envers;1;3;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1
certain;0;0;2;0;1;1;0;1;0;0;4;0;0;0;2;1;0
400;1;1;0;2;1;1;0;2;0;0;0;0;0;1;1;1;0
2018;2;0;0;1;0;0;0;0;1;0;4;0;0;2;0;1;0
vite;0;2;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0
neuf;0;1;0;0;2;0;0;1;0;0;0;1;2;2;0;0;0
me;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1
d_abord;0;1;1;0;0;1;0;0;1;0;1;2;1;1;0;1;0
2017;3;1;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0
1000;0;0;0;1;0;2;0;0;0;0;1;1;0;0;0;1;0
vingt;1;3;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0
